,2019-06-30,2018-06-30,2017-06-30,2016-06-30,2015-06-30,2014-06-30,2013-06-30,2012-06-30,2011-06-30,2010-06-30,2009-06-30,2008-06-30,2007-06-30,2006-06-30,2005-06-30
net-income-loss,404.592,315.588,342.284,352.409,352.886,345.273,307.133,254.85,226.986,190.085,146.448,110.303,66.302,88.211,64.785
total-depreciation-amortization-cash-flow,150.795,119.96,112.157,86.849,73.056,73.454,78.28,85.856,70.616,61.563,53.963,59.485,48.141,41.619,29.126
other-non-cash-items,80.718,60.416,49.496,46.987,22.055,20.839,18.498,8.561,1.295,16.048,15.341,21.093,46.358,0.479,-9.574
total-non-cash-items,231.513,180.376,161.653,133.836,95.111,94.293,96.778,94.417,71.911,77.611,69.304,80.578,94.499,42.098,19.552
change-in-accounts-receivable,-18.013,-32.356,-63.604,-27.307,-28.259,-35.108,-37.267,-20.293,-30.799,-24.742,-32.897,-16.083,-25.612,-28.287,-27.996
change-in-inventories,,,,,,,,,,,,,,,
change-in-assets-liabilities,-47.575,-160.726,-19.257,12.121,-22.849,5.814,-28.678,-37.938,12.034,-16.012,20.916,10.642,-12.035,-2.432,5.826
total-change-in-assets-liabilities,-177.054,9.062,-89.884,61.688,-64.817,-48.298,-1.088,33.892,-15.707,-79.483,23.125,-53.045,-69.695,-31.281,-13.258
cash-flow-from-operating-activities,459.051,505.026,414.053,547.933,383.18,391.268,402.823,383.159,283.19,188.213,238.877,137.836,91.106,99.028,71.079
net-change-in-property-plant-equipment,-68.71,-62.581,-62.219,-58.534,-62.502,-72.722,-63.579,-47.135,-66.609,-56.855,-107.929,-51.068,-77.556,-102.749,-39.691
net-change-in-intangible-assets,-8.632,-8.876,-9.257,-9.295,-9.442,-8.434,-8.203,-13.972,-6.431,-4.786,-4.528,-5.639,-3.965,-3.115,-2.819
net-acquisitions-divestitures,-951.383,-0.902,-7.274,-1041.864,-29.407,-3.852,-5.418,-53.322,-22.45,-10.66,-2.394,1.686,-1.912,-10.526,-54.425
net-change-in-short-term-investments,-46.717,-14.495,-6.464,-8.497,-9.813,-10.85,-2.225,-4.297,-2.426,0.0,-2.267,14.95,-19.95,0.002,12.03
net-change-in-long-term-investments,,,,,,,,,3.95,1.05,,-2.049,-1.622,-2.386,-1.873
net-change-in-investments-total,-46.717,-14.495,-6.464,-8.497,-9.813,-10.85,-2.225,-4.297,1.524,1.05,-2.267,12.901,-21.572,-2.384,10.157
investing-activities-other,-0.264,-14.97,3.324,-7.564,-31.907,0.871,1.425,17.111,17.455,12.94,7.819,4.267,-0.412,-1.1,
cash-flow-from-investing-activities,-1075.706,-101.824,-81.89,-1125.754,-143.071,-94.987,-78.0,-101.615,-76.511,-58.311,-109.299,-37.853,-105.417,-119.874,-86.778
net-long-term-debt,,,,,,,,,,,,,,,
debt-issuance-retirement-net-total,807.485,-796.2419,-95.0,856.306,-1.536,-2.201,49.779,144.399,-25.161,-38.438,41.702,7.36,-10.47,53.625,-3.264
net-common-equity-issued-repurchased,13.883,-15.084,38.32,-74.364,-121.494,-168.815,-117.019,-330.252,-68.692,-35.86,-43.701,-74.93,36.168,34.389,28.46
net-total-equity-issued-repurchased,13.883,-15.084,38.32,-74.364,-121.494,-168.815,-117.019,-330.252,-68.692,-35.86,-43.701,-74.93,36.168,34.389,28.46
total-common-preferred-stock-dividends-paid,-211.712,-199.497,-186.346,-168.13,-157.262,-141.518,-97.204,,,,,,,,
financial-activities-other,-29.013,-15.871,-19.841,-1.228,24.501,15.218,10.517,8.748,14.51,13.169,3.87,3.813,12.398,9.753,
cash-flow-from-financial-activities,580.643,-1026.694,-262.867,612.584,-255.791,-297.316,-153.927,-177.105,-79.343,-61.129,1.871,-63.757,38.096,97.767,25.196
net-cash-flow,-41.573,-633.234,90.501,14.185,-188.481,29.682,66.507,74.274,246.491,73.126,94.572,63.286,38.248,77.359,13.278
stock-based-compensation,52.073,48.412,45.925,46.408,47.855,43.457,38.157,30.586,30.809,29.734,25.515,20.741,17.505,15.305,
common-stock-dividends-paid,-211.712,-199.497,-186.346,-168.13,-157.262,-141.518,-97.204,,,,,,,,
