,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
net-income-loss,5687.0,5309.0,5953.0,5144.0,1774.0,4128.0,5275.0,3433.0,4178.0,4636.515
total-depreciation-amortization-cash-flow,1765.0,1501.0,1189.0,836.0,786.0,897.0,1150.0,1272.0,1184.0,697.492
other-non-cash-items,7025.0,3057.0,1198.0,562.0,1343.0,550.0,475.0,836.0,480.0,-470.412
total-non-cash-items,8790.0,4558.0,2387.0,1398.0,2129.0,1447.0,1625.0,2108.0,1664.0,227.08
change-in-accounts-receivable,-591.0,-391.0,-71.0,-1076.0,-172.0,681.0,223.0,-498.0,-60.0,-322.193
change-in-inventories,-226.0,93.0,-38.0,-434.0,-203.0,-56.0,-203.0,-87.0,-73.0,165.347
change-in-accounts-payable,190.0,425.0,-1187.0,1503.0,-193.0,-426.0,-731.0,1497.0,-695.0,210.324
change-in-assets-liabilities,-423.0,-34.0,-3.0,1000.0,214.0,493.0,156.0,-206.0,-38.0,450.263
total-change-in-assets-liabilities,-1050.0,93.0,-1299.0,993.0,-354.0,692.0,-555.0,706.0,-866.0,503.741
cash-flow-from-operating-activities,13427.0,9960.0,7041.0,7535.0,3549.0,6267.0,6345.0,6247.0,4976.0,5367.336
net-change-in-property-plant-equipment,,,,,,,,,,
net-acquisitions-divestitures,,,,,,,,,,
net-change-in-long-term-investments,368.0,563.0,-2956.0,48.0,308.0,1775.0,-1397.0,-688.0,-92.0,-4.207
net-change-in-investments-total,368.0,563.0,-2956.0,48.0,308.0,1775.0,-1397.0,-688.0,-92.0,-4.207
investing-activities-other,,,118.0,,,,,1870.0,-1870.0,0.417
cash-flow-from-investing-activities,-1006.0,-274.0,-6074.0,-12936.0,-926.0,879.0,-2418.0,553.0,-5031.0,-486.355
net-long-term-debt,-72.0,-25.0,5617.0,16642.0,-17.0,,14586.0,,,-34.766
net-current-debt,3301.0,23.0,-23.0,-19.0,12.0,-601.0,1000.0,,,
debt-issuance-retirement-net-total,3229.0,-2.0,5594.0,16623.0,-5.0,-601.0,15586.0,,,-34.766
net-common-equity-issued-repurchased,-11941.0,-1156.0,-5765.0,-7431.0,-433.0,27.0,,,,
net-total-equity-issued-repurchased,-11941.0,-1156.0,-5765.0,-7431.0,-433.0,27.0,,,,
total-common-preferred-stock-dividends-paid,-5580.0,-4107.0,-3717.0,-3294.0,-2661.0,-2555.0,,,,
financial-activities-other,-104.0,-247.0,-40.0,-146.0,-194.0,-313.0,-13655.0,-6783.0,65.0,-4846.385
cash-flow-from-financial-activities,-14396.0,-5512.0,-3928.0,5752.0,-3293.0,-3442.0,1931.0,-6783.0,65.0,-4881.151
net-cash-flow,-2014.0,4203.0,-3299.0,51.0,-1247.0,3694.0,5874.0,17.0,10.0,-0.17
stock-based-compensation,421.0,365.0,353.0,282.0,241.0,212.0,187.0,163.0,167.0,156.718
common-stock-dividends-paid,-5580.0,-4107.0,-3717.0,-3294.0,-2661.0,-2555.0,0.0,0.0,,
