,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31
net-income-loss,-22.063,-20.578,-14.7318,-23.404,-21.8842,-0.1462
total-depreciation-amortization-cash-flow,1.263,2.943,2.0805,1.0254,0.558,0.0184
other-non-cash-items,1.222,1.106,0.7302,13.0268,-2.2062,0.0242
total-non-cash-items,,,,,,
change-in-accounts-payable,-0.508,0.264,0.6772,0.2192,0.1903,0.0201
change-in-assets-liabilities,-0.137,0.497,0.314,-1.159,-0.0178,-0.0008
total-change-in-assets-liabilities,0.823,1.771,0.8499,0.6203,21.941,0.0254
cash-flow-from-operating-activities,,,,,,
net-change-in-short-term-investments,,,,,,
net-change-in-investments-total,,,,,,
cash-flow-from-investing-activities,-265.729,-1.73,3.0298,-13.47,,
net-long-term-debt,,,,,2.5,0.2604
net-current-debt,-3.833,-0.077,-0.0949,,,
debt-issuance-retirement-net-total,-3.833,-0.077,-0.0949,,2.5,0.2604
net-common-equity-issued-repurchased,305.0,22.999,11.5706,25.4151,0.0,-0.0025
net-total-equity-issued-repurchased,,,,,,
financial-activities-other,-0.892,-0.522,-1.1273,-3.2009,-0.3323,
cash-flow-from-financial-activities,300.275,22.4,10.3485,22.2142,2.1677,0.2579
net-cash-flow,15.791,5.912,2.307,0.0127,0.5762,0.1796
stock-based-compensation,,,,,,
