,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
net-income-loss,-90.751,-42.809,-44.261,-28.4538,-23.7888,-19.4038,-24.7904,-34.3447,-15.2906,-4.5394
total-depreciation-amortization-cash-flow,0.414,0.219,0.08,0.065,0.011,0.0062,0.0046,0.3327,2.3397,0.1245
other-non-cash-items,29.584,0.166,5.546,7.8224,11.3169,1.7129,3.1711,6.9738,10.8024,0.8911
total-non-cash-items,29.998,0.385,5.626,7.8874,11.3279,1.7192,3.1757,7.3065,13.1422,1.0156
change-in-accounts-receivable,,,,,,,,,,
change-in-assets-liabilities,-9.119,45.415,0.035,-0.5558,-0.0545,-0.0041,0.0025,-0.0432,-0.0164,0.8026
total-change-in-assets-liabilities,-4.205,44.284,3.753,1.8691,-2.5126,-0.1115,0.2349,1.9694,-3.066,0.0399
cash-flow-from-operating-activities,-64.958,1.86,-34.882,-18.6973,-14.9735,-17.7961,-21.3798,-25.0688,-5.2144,-3.4839
net-change-in-property-plant-equipment,,,,,,,,,,
net-acquisitions-divestitures,,,,,,,,,,
net-change-in-long-term-investments,-135.057,-14.777,36.343,-64.7974,,,,,,
net-change-in-investments-total,-135.057,-14.777,36.343,-64.7974,,,,,,
investing-activities-other,,,,,-0.082,,,,,
cash-flow-from-investing-activities,-135.397,-15.642,36.196,-64.8555,0.2774,-0.0065,-0.0032,-0.012,,-0.0026
net-long-term-debt,,,,,,,,-1.2194,1.7506,1.9054
net-current-debt,,,,,,,,-1.573,3.5244,1.723
debt-issuance-retirement-net-total,,,,,,,,-2.7924,5.2749,3.6284
net-common-equity-issued-repurchased,159.793,67.24,0.153,81.5693,16.726,24.3746,4.8968,49.9888,15.1843,
net-total-equity-issued-repurchased,,,,,,,,,,
financial-activities-other,,,,,,,,0.2887,-0.7551,-0.0765
cash-flow-from-financial-activities,159.793,67.24,0.153,81.5693,16.726,24.3746,4.8968,47.4852,19.7042,3.5519
net-cash-flow,-40.562,53.458,1.467,-1.9836,2.0298,6.572,-16.4862,22.4044,14.4898,0.0654
stock-based-compensation,,,,,,,,,,
