,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,-153.04,-305.25,-48.359,-31.428,-174.638,-117.346,-29.54,-1.283,-18.926,-30.113,-39.834,-268.405,-0.877,-0.186
total-depreciation-amortization-cash-flow,97.531,102.317,96.813,43.46,16.934,16.386,10.16,3.83,2.207,0.564,1.823,0.184,,0.003
other-non-cash-items,4.512,62.501,3.525,-53.544,69.437,41.368,-0.764,-20.129,10.78,8.469,8.925,252.042,0.26,-0.863
total-non-cash-items,102.043,164.818,100.338,-10.084,86.371,57.754,9.396,-16.299,12.987,9.033,10.748,252.226,0.26,-0.86
change-in-accounts-receivable,20.397,58.011,-25.637,-4.845,-3.273,0.754,0.763,-1.719,-2.888,-0.74,0.59,-0.554,,
change-in-inventories,4.59,-3.539,-6.607,-4.953,-0.67,1.892,-5.807,2.17,-8.156,-0.636,-2.104,-0.317,,
change-in-accounts-payable,-26.083,20.171,-19.819,-18.122,-3.852,1.829,1.247,-1.784,1.498,-0.547,-1.225,-0.607,0.095,
change-in-assets-liabilities,-58.763,-56.732,-35.906,223.954,0.749,-4.061,-3.152,0.436,0.283,0.374,0.025,-0.789,,-0.064
total-change-in-assets-liabilities,-58.144,48.352,-19.933,205.536,-2.112,3.939,-5.271,-0.918,-12.773,-2.378,-0.208,-0.77,0.095,-0.026
cash-flow-from-operating-activities,-109.141,-92.08,32.046,164.024,-90.379,-55.653,-25.415,-18.5,-18.712,-23.458,-29.294,-16.949,-0.522,-0.897
net-change-in-property-plant-equipment,-26.635,-39.253,-17.146,-10.846,-4.734,-3.326,-1.472,-1.953,-0.774,-0.122,-0.378,-0.489,,
net-change-in-intangible-assets,0.0,0.0,-5.0,-5.0,,,,,,,,,,
net-acquisitions-divestitures,,,15.878,-79.0,-1.683,20.528,-19.092,-28.186,-1.323,-17.632,0.048,2.751,,
net-change-in-short-term-investments,0.0,0.0,-0.01,0.0,,0.0,-0.809,0.0,0.0,9.997,,,,
net-change-in-long-term-investments,0.516,-7.414,-14.424,-4.375,0.742,13.115,-3.396,-2.013,-0.65,-14.797,,-5.0,,1.064
net-change-in-investments-total,0.516,-7.414,-14.434,-4.375,0.742,13.115,-4.205,-2.013,-0.65,-4.8,,-5.0,,1.064
investing-activities-other,,,,,,,,17.316,-0.033,-0.05,,,,
cash-flow-from-investing-activities,-26.119,-46.667,-20.702,-99.221,-5.675,30.317,-24.769,-14.836,-2.78,-22.604,-0.33,-2.738,,1.064
net-long-term-debt,55.0,,,,,170.184,,,,,,,,
net-current-debt,-7.764,58.911,-43.771,6.984,-1.926,-4.42,3.752,-4.827,-2.842,0.212,-2.454,6.385,,
debt-issuance-retirement-net-total,47.236,58.911,-43.771,6.984,-1.926,165.764,3.752,-4.827,-2.842,0.212,-2.454,6.385,,
net-common-equity-issued-repurchased,93.673,2.132,8.576,25.921,12.928,23.425,2.279,98.24,0.074,51.708,15.383,36.407,0.638,
net-total-equity-issued-repurchased,93.673,2.132,8.576,25.921,12.928,23.425,2.279,96.448,0.074,81.708,15.383,36.407,0.638,
total-common-preferred-stock-dividends-paid,,,,,,-3.015,,-4.704,,,,,,
financial-activities-other,,,,0.1,-3.739,-2.539,,,,,,0.152,,
cash-flow-from-financial-activities,140.909,61.043,-35.195,33.005,7.263,183.635,6.031,86.917,-2.768,81.92,12.929,42.944,0.638,
net-cash-flow,4.974,-77.234,-24.865,96.691,-88.891,158.437,-44.155,53.5,-24.642,35.98,-16.695,23.257,0.116,0.167
stock-based-compensation,21.761,28.307,42.693,26.074,14.779,10.983,5.131,6.953,6.519,4.174,6.73,7.373,0.26,
common-stock-dividends-paid,,,,,,-3.015,,-4.704,,,,,,
