,2019-04-30,2018-04-30,2017-04-30,2016-04-30,2015-04-30,2014-04-30,2013-04-30,2012-04-30,2011-04-30,2010-04-30,2009-04-30,2008-04-30,2007-04-30,2006-04-30,2005-04-30
net-income-loss,82.876,200.974,170.893,187.184,223.261,200.612,210.272,212.815,225.385,212.254,199.635,224.858,208.336,198.425,183.698
total-depreciation-amortization-cash-flow,82.773,83.816,120.13,87.536,44.523,42.446,46.002,42.209,41.339,39.474,30.346,26.28,25.501,23.676,26.862
other-non-cash-items,-350.847,-47.896,-44.448,-18.981,40.27,42.058,40.883,14.534,31.897,14.995,21.407,23.638,9.263,7.374,2.386
total-non-cash-items,-268.074,35.92,75.682,68.555,84.793,84.504,86.885,56.743,73.236,54.469,51.753,49.918,34.764,31.05,29.248
change-in-accounts-receivable,227.907,60.211,-103.181,-57.249,-40.696,-49.784,17.226,0.468,3.784,24.185,-90.908,-3.282,-12.246,-24.112,-31.365
change-in-inventories,11.547,-60.475,-0.961,-118.351,-21.754,-41.501,-39.096,16.859,-26.639,-12.09,24.161,-27.036,-3.817,-26.539,-22.033
change-in-accounts-payable,44.189,-12.103,59.654,119.69,10.286,13.828,41.347,-6.847,9.664,9.215,-35.61,9.231,7.739,4.562,18.6
change-in-assets-liabilities,-50.799,-20.906,-30.359,-39.445,-35.754,-27.651,4.328,3.172,-17.064,-26.228,-2.435,-1.76,6.096,-18.868,0.987
total-change-in-assets-liabilities,233.356,-57.999,-83.856,-99.41,-45.363,-89.28,2.038,51.6,-36.009,-1.238,-127.383,-9.397,0.405,-65.517,-5.641
cash-flow-from-operating-activities,48.158,178.895,162.719,156.329,262.691,195.836,299.195,321.158,262.612,265.485,124.005,265.379,243.505,163.958,207.305
net-change-in-property-plant-equipment,,,,,,,,,,,,,,,
net-acquisitions-divestitures,,,,-1106.583,-10.515,-145.815,-14.65,-22.62,-52.187,-53.672,-124.776,-22.694,-12.665,-39.228,-72.855
net-change-in-short-term-investments,,,,,40.775,,,,,,,,,,
net-change-in-long-term-investments,,,,48.744,-0.543,-99.672,,,,,,,,13.382,-5.364
net-change-in-investments-total,,,,48.744,40.232,-99.672,,,,,,,,13.382,-5.364
investing-activities-other,401.461,60.25,48.212,736.559,21.346,-4.236,6.595,,,,,,,-100.0,
cash-flow-from-investing-activities,340.727,16.987,1.193,-400.634,-9.599,-283.764,-30.038,-52.27,-89.009,-83.476,-157.094,-58.685,-23.009,-174.999,-109.752
net-long-term-debt,-16.0,-43.0,39.0,20.0,,,,,,,,,,,
debt-issuance-retirement-net-total,-265.542,-57.754,12.762,337.625,,,-125.0,325.0,,-22.0,-108.034,474.976,-120.017,-20.031,-176.269
net-common-equity-issued-repurchased,,-87.5,-125.384,-200.0,-40.239,-76.269,-166.394,-348.758,-85.213,12.184,12.244,-622.986,19.205,20.354,20.223
net-total-equity-issued-repurchased,,-87.5,-125.384,-200.0,-40.239,-76.269,-166.394,-348.758,-85.213,12.184,12.244,-622.986,19.205,20.354,20.223
total-common-preferred-stock-dividends-paid,-99.468,-99.199,-95.91,-90.597,-81.76,-85.657,-43.767,-54.741,-49.992,-11.886,,,,,
financial-activities-other,9.764,14.291,6.369,-4.159,-28.936,1.725,4.063,0.44,1.983,1.747,2.147,0.765,-103.14,1.101,0.775
cash-flow-from-financial-activities,-355.246,-230.162,-202.163,42.869,-150.935,-160.201,-331.098,-78.059,-133.222,-19.955,-93.643,-147.245,-203.952,1.424,-155.271
net-cash-flow,32.662,-31.975,-42.494,-209.807,82.352,-240.32,-68.553,185.116,48.074,182.526,-150.099,66.373,17.399,-8.157,-54.611
stock-based-compensation,33.425,36.532,19.025,28.851,23.07,16.932,35.202,13.371,12.594,10.552,7.73,7.723,7.757,0.75,
common-stock-dividends-paid,-99.468,-99.199,-95.91,-90.597,-81.76,-85.657,-43.767,-54.741,-49.992,-11.886,0.0,,,,
