,2019-09-30,2018-09-30,2017-09-30,2016-09-30,2015-09-30,2014-09-30,2013-09-30,2012-09-30,2011-09-30,2010-09-30,2009-09-30,2008-09-30,2007-09-30,2006-09-30,2005-09-30
net-income-loss,1233.0,311.0,1100.0,976.0,695.0,1185.0,1293.0,1170.0,1271.0,1317.61,1231.603,1126.996,890.033,752.28,722.263
total-depreciation-amortization-cash-flow,2253.0,1978.0,1088.0,1114.0,891.0,562.0,546.0,511.0,494.0,491.416,464.604,471.963,441.104,402.332,382.669
other-non-cash-items,-524.0,-406.0,847.0,-262.0,-142.0,52.0,-279.0,13.0,114.0,-198.304,13.783,75.348,159.206,159.772,1.614
total-non-cash-items,1729.0,1572.0,1935.0,852.0,749.0,614.0,267.0,524.0,608.0,293.112,478.387,547.311,600.31,562.104,384.283
change-in-accounts-receivable,-51.0,-170.0,-93.0,-128.0,-2.0,-7.0,-1.0,-30.0,-27.0,-73.933,-81.53,-4.61,-112.411,-19.977,-34.332
change-in-inventories,-149.0,246.0,-46.0,69.0,200.0,-189.0,-145.0,-92.0,-117.0,-116.841,-91.462,-49.362,-122.863,-99.505,-57.371
change-in-accounts-payable,-470.0,867.0,134.0,368.0,145.0,199.0,366.0,17.0,129.0,155.995,123.576,-15.657,103.392,100.636,107.929
change-in-assets-liabilities,1213.0,-46.0,-366.0,90.0,-69.0,-120.0,-60.0,102.0,-239.0,-33.936,-22.059,-32.245,-25.214,-122.496,-0.897
total-change-in-assets-liabilities,543.0,897.0,-371.0,399.0,274.0,-117.0,160.0,-3.0,-254.0,-68.715,-71.475,-101.874,-272.585,-249.627,79.098
cash-flow-from-operating-activities,3330.0,2865.0,2550.0,2559.0,1730.0,1746.0,1717.0,1693.0,1638.0,1586.859,1658.486,1617.787,1229.947,1104.173,1220.749
net-change-in-property-plant-equipment,,,,,,,,,,,,,,,
net-acquisitions-divestitures,477.0,-14621.0,-9.0,158.0,-8414.0,-40.0,600.0,-103.0,-492.0,-21.377,51.022,-41.259,-319.557,-231.464,62.051
net-change-in-short-term-investments,,,,-1.0,,,-225.0,-138.0,122.0,34.55,-338.228,-46.321,-30.167,-18.633,-43.775
net-change-in-long-term-investments,,,,,840.0,-171.0,,,,0.963,0.84,-5.666,-3.881,-9.672,-1.171
net-change-in-investments-total,,,,-1.0,840.0,-171.0,-225.0,-138.0,122.0,35.513,-337.388,-51.987,-34.048,-28.305,-44.946
investing-activities-other,-261.0,-217.0,-148.0,-133.0,-147.0,-84.0,-99.0,-99.0,-64.0,-81.636,-85.9,-38.491,-85.922,-44.656,-62.566
cash-flow-from-investing-activities,-741.0,-15733.0,-883.0,-669.0,-8318.0,-948.0,-311.0,-894.0,-1033.0,-693.628,-1067.05,-776.854,-1018.148,-783.946,-380.223
net-long-term-debt,-2520.0,1090.0,7482.0,-752.0,6158.0,,,1446.0,991.0,-0.076,738.921,-1.114,-100.79,-0.828,-104.522
net-current-debt,485.0,,-200.0,-500.0,497.0,-4.0,-199.0,2.0,34.0,-200.193,1.196,-5.938,-121.102,121.563,157.103
debt-issuance-retirement-net-total,-2035.0,1090.0,7282.0,-1252.0,6655.0,-4.0,-199.0,1448.0,1025.0,-200.269,740.117,-7.052,-221.892,120.735,52.581
net-common-equity-issued-repurchased,,,4607.0,,,-409.0,-406.0,-1465.0,-1416.0,-699.907,-517.603,-364.605,-319.445,-301.086,-426.505
net-total-equity-issued-repurchased,,,4607.0,,,-409.0,-406.0,-1465.0,-1416.0,-699.907,-517.603,-364.605,-319.445,-301.086,-426.505
total-common-preferred-stock-dividends-paid,-984.0,-927.0,-677.0,-562.0,-485.0,-421.0,-386.0,-368.0,-361.0,-345.713,-316.877,-278.506,-239.81,-212.431,-182.236
financial-activities-other,-205.0,-220.0,-234.0,54.0,21.0,27.0,23.0,15.0,37.0,23.202,14.667,64.335,55.118,50.609,40.594
cash-flow-from-financial-activities,-3223.0,-58.0,10977.0,-1761.0,6190.0,-807.0,-968.0,-370.0,-714.0,-1222.687,-79.696,-585.828,-726.029,-342.173,-515.566
net-cash-flow,-646.0,-12943.0,12638.0,117.0,-436.0,-29.0,219.0,496.0,-41.0,-178.255,563.767,318.995,-488.807,-42.601,323.512
stock-based-compensation,261.0,322.0,174.0,196.0,166.0,113.0,100.0,89.0,73.0,79.374,86.574,100.585,107.706,108.613,70.199
common-stock-dividends-paid,-984.0,-927.0,-677.0,-562.0,-485.0,-421.0,-386.0,-368.0,-361.0,-345.713,-316.877,-278.506,-239.81,-212.431,-182.236
