,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
net-income-loss,-302.269,15.188,25.02,24.772,4.551,-26.12,-2.639,9.151
total-depreciation-amortization-cash-flow,326.811,69.221,51.221,31.804,8.505,4.138,3.927,3.079
other-non-cash-items,97.044,9.586,20.094,-12.273,10.162,38.107,8.862,2.897
total-non-cash-items,423.855,78.807,71.315,19.531,18.667,42.245,12.789,5.976
change-in-accounts-receivable,-2.333,7.735,-15.128,-50.771,-43.13,-29.774,-23.833,-13.437
change-in-inventories,-3.932,13.813,-44.342,-41.657,-50.334,-14.109,-13.995,-1.402
change-in-accounts-payable,-80.412,23.088,-5.906,43.202,56.505,36.138,31.854,12.504
change-in-assets-liabilities,5.612,-4.615,0.367,34.37,4.173,-2.153,0.83,-0.253
total-change-in-assets-liabilities,-86.544,41.259,-65.009,-14.856,-32.786,-9.898,-5.144,-2.588
cash-flow-from-operating-activities,35.042,135.254,31.326,29.447,-9.568,6.227,5.006,12.539
net-change-in-property-plant-equipment,,,,,,,,
net-acquisitions-divestitures,,,,,,,,
net-change-in-long-term-investments,,-0.1,,-1.459,-4.0,-4.5,-1.5,-0.994
net-change-in-investments-total,,-0.1,,-1.459,-4.0,-4.5,-1.5,-0.994
investing-activities-other,,,,0.027,0.472,-0.029,0.829,-0.188
cash-flow-from-investing-activities,-11.235,-633.319,-85.967,-311.573,-66.084,-20.292,-4.849,-6.747
net-long-term-debt,-85.5,439.0,-6.0,117.0,-25.542,-10.54,-7.893,-0.252
net-current-debt,-11.95,148.995,39.255,,-62.622,35.602,23.39,-6.5
debt-issuance-retirement-net-total,-97.45,587.995,33.255,117.0,-88.164,25.062,15.497,-6.752
net-common-equity-issued-repurchased,4.098,7.875,4.448,162.031,67.64,,-3.894,
net-total-equity-issued-repurchased,4.098,7.875,4.448,162.031,169.455,,-3.894,
total-common-preferred-stock-dividends-paid,,,,,,-1.684,-10.868,-1.109
financial-activities-other,-5.221,-21.507,-2.709,12.738,3.209,-0.204,-0.892,
cash-flow-from-financial-activities,-98.573,574.363,34.994,291.769,84.5,23.174,-0.157,-7.861
net-cash-flow,-74.766,76.298,-19.647,9.643,8.848,9.109,0.0,-2.069
stock-based-compensation,18.172,7.281,5.412,3.936,2.871,0.886,0.915,1.41
common-stock-dividends-paid,,,,,,-1.684,-10.868,-1.109
