,2019-06-30,2018-06-30,2017-06-30,2016-06-30,2015-06-30,2014-06-30,2013-06-30,2012-06-30,2011-06-30,2010-06-30,2009-06-30,2008-06-30,2007-06-30,2006-06-30,2005-06-30
net-income-loss,4.6,133.3,17.4,117.2,80.2,176.2,147.2,112.151,100.71,152.303,84.615,47.845,-34.962,-38.189,-39.978
total-depreciation-amortization-cash-flow,73.0,54.4,48.3,26.8,25.0,13.8,8.9,9.069,7.219,7.084,9.449,8.781,7.544,6.855,6.092
other-non-cash-items,43.2,-80.3,34.9,74.8,76.0,60.2,58.7,49.387,37.444,23.098,44.121,30.252,12.742,4.715,2.262
total-non-cash-items,116.2,-25.9,83.2,101.6,101.0,74.0,67.6,58.456,44.663,30.182,53.57,39.033,20.286,11.57,8.354
change-in-accounts-receivable,-18.2,-9.1,0.5,-25.9,-34.4,-24.4,-67.2,-34.986,-14.918,-21.66,-19.901,-21.06,-15.933,-5.698,-5.486
change-in-inventories,8.0,7.9,-1.2,-14.6,-0.8,-15.8,6.6,-3.426,0.203,,,,,,
change-in-accounts-payable,1.1,4.0,-3.0,,-3.1,-1.5,8.0,-1.249,0.287,-5.307,-10.707,9.121,3.959,-0.093,3.959
change-in-assets-liabilities,-4.4,4.3,4.7,-8.3,-2.6,-8.5,0.1,-0.36,-1.039,-0.039,0.991,1.058,-3.331,0.527,2.491
total-change-in-assets-liabilities,-37.1,8.5,5.6,-52.5,-40.7,-60.0,-40.9,-28.803,-14.543,-27.399,-54.143,16.858,-11.175,-1.408,6.076
cash-flow-from-operating-activities,83.7,115.9,106.2,166.3,140.5,190.2,173.9,141.804,130.83,155.086,84.042,103.736,-25.851,-28.027,-23.304
net-change-in-property-plant-equipment,-8.6,-8.4,-6.1,-5.0,-23.9,-14.3,-11.4,-9.408,-3.792,-7.895,-7.525,-13.675,-11.4,-7.68,-6.736
net-change-in-intangible-assets,,,,,,,,-0.75,-2.0,0.3,0.0,,,,
net-acquisitions-divestitures,-278.5,,-216.1,-37.0,-20.1,-223.5,,-8.799,-79.417,,,,,,
net-change-in-short-term-investments,,,,,,,-5.0,,,,,,,,
net-change-in-long-term-investments,0.7,-3.2,75.9,-49.4,84.9,220.7,-58.5,-2.831,30.919,-68.973,-196.717,-17.281,-35.361,-65.049,26.353
net-change-in-investments-total,0.7,-3.2,75.9,-49.4,84.9,220.7,-63.5,-2.831,30.919,-68.973,-196.717,-17.281,-35.361,-65.049,26.353
investing-activities-other,,,,,,,,-17.1,-0.1,-0.1,-2.1,-0.349,0.02,-0.1,-0.1
cash-flow-from-investing-activities,-286.4,-11.6,-146.3,-91.4,40.9,-17.1,-74.9,-38.888,-54.39,-76.668,-206.342,-31.305,-46.741,-72.829,19.517
net-long-term-debt,225.0,-90.0,99.0,,,,,,,,,,,,
net-current-debt,,,-1.0,,,,,,,,,,,,
debt-issuance-retirement-net-total,225.0,-90.0,98.0,,,,,,,,,,,,
net-common-equity-issued-repurchased,-41.3,36.9,-25.6,-68.3,-180.7,-222.9,-88.5,-103.438,-175.43,-49.088,84.209,21.871,117.451,149.92,2.466
net-total-equity-issued-repurchased,,,,,,,,,,,,,,,
financial-activities-other,-1.4,-41.9,-0.6,,3.4,11.1,7.9,34.193,58.831,,-136.133,,,,
cash-flow-from-financial-activities,182.3,-95.0,71.8,-68.3,-177.3,-211.8,-80.6,-69.245,-116.599,-49.088,-51.924,21.871,117.451,149.92,2.466
net-cash-flow,-17.7,8.5,33.9,4.4,-0.7,-39.3,17.7,33.671,-40.159,29.33,-174.224,94.302,44.859,49.064,-1.321
stock-based-compensation,,,,,,,,,,,,,,,
