,2019-06-30,2018-06-30,2017-06-30,2016-06-30,2015-06-30,2014-06-30,2013-06-30,2012-06-30,2011-06-30,2010-06-30,2009-06-30,2008-06-30,2007-06-30,2006-06-30,2005-06-30
net-income-loss,1365.0,259.0,1294.0,1431.0,1215.0,1166.0,334.0,1069.0,959.0,642.0,1151.6,1300.6,1931.1,1000.1,1050.7
total-depreciation-amortization-cash-flow,1000.0,1032.0,717.0,641.0,451.0,459.0,397.0,325.0,313.0,254.0,225.8,220.0,314.9,297.6,295.6
other-non-cash-items,-398.0,568.0,440.0,276.0,422.0,144.0,1005.0,216.0,169.0,363.0,403.9,142.6,-574.2,666.1,510.3
total-non-cash-items,602.0,1600.0,1157.0,917.0,873.0,603.0,1402.0,541.0,482.0,617.0,629.7001,362.6,-259.3,963.7,805.9001
change-in-accounts-receivable,-751.0,-871.0,-665.0,-866.0,-870.0,925.0,216.0,-129.0,-457.0,21.0,-713.6,-296.1,-780.6,-895.3,-15.9
change-in-inventories,-551.0,-1211.0,-673.0,-1179.0,-779.0,142.0,-370.0,-495.0,-665.0,477.0,-431.2,634.3,219.6,-356.1,71.6
change-in-accounts-payable,1864.0,2574.0,564.0,2815.0,1948.0,-196.0,426.0,319.0,1356.0,451.0,768.1,-848.2,224.4,1538.0,1142.5
change-in-assets-liabilities,,,,,,,,,,,,,-130.8,-113.1,-183.9
total-change-in-assets-liabilities,755.0,909.0,-1267.0,623.0,452.0,755.0,-9.0,-434.0,-46.0,875.0,-357.4001,-121.5,-438.1,157.0,999.1
cash-flow-from-operating-activities,2722.0,2768.0,1184.0,2971.0,2540.0,2524.0,1727.0,1176.0,1395.0,2134.0,1423.9,1541.7,1233.7,2120.8,2855.7
net-change-in-property-plant-equipment,,,,,,,,,,,,,,,
net-acquisitions-divestitures,681.0,-5280.0,-129.0,-3601.0,-503.0,-519.0,-2239.0,-174.0,-2300.0,126.0,7.6,44.4,-1629.8,-362.2,-273.2
net-change-in-short-term-investments,-18.0,-9.0,-194.0,-200.0,,,,,,,,,,,
net-change-in-long-term-investments,3.0,65.0,305.0,186.0,-99.0,-82.0,59.0,57.0,560.0,271.0,,132.0,366.5,-398.6,-99.8
net-change-in-investments-total,-15.0,56.0,111.0,-14.0,-99.0,-82.0,59.0,57.0,560.0,271.0,,132.0,366.5,-398.6,-99.8
investing-activities-other,,,,,,,,,,-10.0,-129.3,-747.0,3147.1,-100.0,-182.2
cash-flow-from-investing-activities,338.0,-5608.0,-405.0,-4080.0,-849.0,-850.0,-2375.0,-377.0,-2028.0,127.0,-542.9,-726.4,1537.2,-1187.2,-876.1
net-long-term-debt,-1102.0,-951.0,4861.0,-6.0,1451.0,-2.0,981.0,245.0,266.0,-1552.0,-301.4,296.4,669.4,336.8,-660.0
net-current-debt,,-50.0,3.0,26.0,-12.0,114.0,-1.0,13.0,46.0,,,,-38.9,-37.0,-551.2
debt-issuance-retirement-net-total,-1102.0,-1001.0,4864.0,20.0,1439.0,112.0,980.0,258.0,312.0,-1552.0,-301.4,296.4,630.5,299.8,-1211.2
net-common-equity-issued-repurchased,-600.0,-550.0,-600.0,-651.0,-1036.0,-673.0,-329.0,-408.0,-207.0,-190.0,39.2,-953.7,-3109.4,-1259.1,-389.8
net-total-equity-issued-repurchased,-600.0,-550.0,-600.0,-651.0,-1036.0,-673.0,-329.0,-408.0,-207.0,-190.0,39.2,-953.7,-3109.4,-1259.1,-389.8
total-common-preferred-stock-dividends-paid,-577.0,-581.0,-577.0,-512.0,-460.0,-415.0,-353.0,-300.0,-274.0,-253.0,-200.4,-173.1,-144.4,-101.8,-51.7
financial-activities-other,-14.0,-144.0,59.0,4.0,117.0,266.0,-23.0,-4.0,-24.0,1268.0,-5.6,27.2,-15.5,28.9,-4.6
cash-flow-from-financial-activities,-2293.0,-2276.0,3746.0,-1139.0,60.0,-710.0,275.0,-454.0,-193.0,-727.0,-468.2,-803.2,-2638.8,-1032.2,-1657.3
net-cash-flow,768.0,-5116.0,4523.0,-2260.0,1751.0,964.0,-373.0,345.0,-826.0,1534.0,412.8,12.1,132.1,-98.6,322.3
stock-based-compensation,82.0,85.0,96.0,111.0,110.0,96.0,93.0,85.0,80.0,100.0,109.9,107.9,138.1,207.8,8.5
common-stock-dividends-paid,-577.0,-581.0,-577.0,-512.0,-460.0,-415.0,-353.0,-300.0,-274.0,-253.0,-200.4,-173.1,-144.4,-101.8,-51.7
