,2019-03-31,2018-03-31,2017-03-31,2016-03-31,2015-03-31,2014-03-31,2013-03-31,2012-03-31,2011-03-31,2010-03-31,2009-03-31,2008-03-31,2007-03-31,2006-03-31,2005-03-31
net-income-loss,255.0,297.0,5153.0,2310.0,1543.0,1258.0,1338.0,1403.0,1202.0,1263.0,823.0,990.0,913.0,751.0,-157.0
total-depreciation-amortization-cash-flow,3028.0,3168.0,1200.0,893.0,1258.0,735.0,581.0,493.0,496.0,474.0,441.0,371.0,295.0,262.0,245.0
other-non-cash-items,139.0,-858.0,-2775.0,436.0,879.0,661.0,584.0,556.0,482.0,18.0,733.0,-745.0,56.0,162.0,802.0
total-non-cash-items,3167.0,2310.0,-1575.0,1329.0,2137.0,1396.0,1165.0,1049.0,978.0,492.0,1174.0,-374.0,351.0,424.0,1047.0
change-in-accounts-receivable,-967.0,1175.0,-762.0,-1957.0,-2821.0,-868.0,318.0,-768.0,-673.0,-133.0,-708.0,-288.0,-209.0,-519.0,-325.0
change-in-inventories,-368.0,-458.0,320.0,-1251.0,-2144.0,-1182.0,-60.0,-882.0,367.0,-782.0,370.0,-676.0,-928.0,601.0,-654.0
change-in-accounts-payable,1976.0,271.0,2070.0,3302.0,4718.0,2412.0,-125.0,2037.0,533.0,1340.0,-189.0,762.0,872.0,1104.0,1316.0
change-in-assets-liabilities,,,-150.0,-120.0,-141.0,-81.0,-44.0,97.0,42.0,27.0,-55.0,98.0,181.0,439.0,147.0
total-change-in-assets-liabilities,546.0,1659.0,1624.0,-104.0,-610.0,499.0,-9.0,503.0,302.0,540.0,-629.0,232.0,143.0,1572.0,597.0
cash-flow-from-operating-activities,4036.0,4345.0,4744.0,3672.0,3112.0,3136.0,2483.0,2950.0,2338.0,2316.0,1351.0,869.0,1539.0,2738.0,1543.0
net-change-in-property-plant-equipment,,,,,,,,,,,,,,,
net-acquisitions-divestitures,,,,,,,,,,,,,,,
investing-activities-other,-20.0,106.0,1299.0,-1050.0,23.0,-90.0,64.0,-53.0,-53.0,86.0,-40.0,961.0,-43.0,-961.0,-25.0
cash-flow-from-investing-activities,-1381.0,-2993.0,-3269.0,-1557.0,-677.0,-5046.0,-2209.0,-1502.0,-624.0,-309.0,-727.0,-5.0,-2108.0,-1813.0,-360.0
net-long-term-debt,-13.0,-877.0,223.0,-1598.0,-350.0,3776.0,655.0,-430.0,-41.0,-218.0,695.0,-162.0,966.0,-24.0,-268.0
net-current-debt,-3.0,-183.0,170.0,-127.0,-52.0,-52.0,-400.0,400.0,,-1.0,,,,,
debt-issuance-retirement-net-total,-16.0,-1060.0,393.0,-1725.0,-402.0,3724.0,255.0,-30.0,-41.0,-219.0,695.0,-162.0,966.0,-24.0,-268.0
net-common-equity-issued-repurchased,-1564.0,-1577.0,-2191.0,-1489.0,-298.0,47.0,-1048.0,-1707.0,-1683.0,-111.0,-405.0,-1344.0,-604.0,-390.0,223.0
net-total-equity-issued-repurchased,-1564.0,-1577.0,-2191.0,-1489.0,-298.0,47.0,-1048.0,-1707.0,-1683.0,-111.0,-405.0,-1344.0,-604.0,-390.0,223.0
total-common-preferred-stock-dividends-paid,-292.0,-262.0,-253.0,-244.0,-227.0,-214.0,-194.0,-195.0,-171.0,-131.0,-116.0,-70.0,-72.0,-73.0,-70.0
financial-activities-other,-355.0,-185.0,-18.0,5.0,-41.0,62.0,31.0,27.0,54.0,40.0,4.0,106.0,89.0,-96.0,24.0
cash-flow-from-financial-activities,-2227.0,-3084.0,-2069.0,-3453.0,-968.0,3619.0,-956.0,-1905.0,-1841.0,-421.0,178.0,-1470.0,379.0,-583.0,-91.0
net-cash-flow,309.0,-1582.0,-738.0,-1293.0,1148.0,1737.0,-693.0,-463.0,-119.0,1622.0,747.0,-592.0,-185.0,339.0,1092.0
stock-based-compensation,,,,123.0,174.0,160.0,167.0,154.0,137.0,114.0,99.0,91.0,60.0,16.0,
common-stock-dividends-paid,-292.0,-262.0,-253.0,-244.0,-227.0,-214.0,-194.0,-195.0,-171.0,-131.0,-116.0,-70.0,-72.0,-73.0,-70.0
