,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,2368.0,477.0,1400.0,4423.0,2284.0,2576.0,5963.0,4728.0,4626.172,5745.838,4880.719,3606.314,1716.755,3372.065
total-depreciation-amortization-cash-flow,3310.0,3933.0,1518.0,1472.0,1548.0,1719.0,2782.0,3044.0,2624.305,2089.51,1838.829,1854.886,1558.75,1358.939
other-non-cash-items,770.0,-755.0,1798.0,-2773.0,333.0,266.0,2428.0,1197.0,826.72,-218.806,314.758,786.008,2534.645,172.599
total-non-cash-items,4080.0,3178.0,3316.0,-1301.0,1881.0,1985.0,5210.0,4241.0,3451.025,1870.704,2153.587,2640.894,4093.395,1531.538
change-in-accounts-receivable,-190.0,-207.0,-177.0,-171.0,-195.0,-113.0,36.0,-670.0,-394.665,-387.749,-948.314,-431.846,-101.781,-98.216
change-in-inventories,,,,,,,,,,,,,,
change-in-assets-liabilities,23.0,109.0,113.0,57.0,30.0,131.0,-35.0,413.0,553.145,-386.889,436.218,-418.344,-283.455,-406.858
total-change-in-assets-liabilities,-148.0,1915.0,-1513.0,-156.0,-490.0,-1237.0,-1859.0,1.0,658.7841,-341.382,-39.686,-1063.365,-548.061,143.801
cash-flow-from-operating-activities,6300.0,5570.0,3203.0,2966.0,3675.0,3324.0,9314.0,8970.0,8735.981,7275.16,6994.62,5183.843,5262.089,5047.404
net-change-in-property-plant-equipment,,,,,,,,,,,,,,
net-acquisitions-divestitures,,,,,,,,,,,,,,
net-change-in-long-term-investments,-58.0,-81.0,886.0,-821.0,4117.0,-2225.0,-3062.0,539.0,148.429,-232.664,-474.706,553.415,-2110.936,767.929
net-change-in-investments-total,-58.0,-81.0,886.0,-821.0,4117.0,-2225.0,-3062.0,539.0,148.429,-232.664,-474.706,553.415,-2110.936,767.929
investing-activities-other,48.0,2739.0,42.0,52.0,70.0,21.0,3.0,1886.0,-1888.426,-6.368,-75.061,-33.485,-25.712,14.6
cash-flow-from-investing-activities,-1356.0,-9618.0,-248.0,406.0,-202.0,-3929.0,-5560.0,661.0,-12188.32,-3698.71,-2087.491,-1136.277,-11397.63,-720.087
net-long-term-debt,-8424.0,-1908.0,14922.0,2428.0,-577.0,-294.0,3629.0,-2012.0,2326.002,516.824,-913.948,3058.988,467.592,1701.013
net-current-debt,-26.0,-1034.0,-1767.0,-1281.0,1343.0,2086.0,784.0,-1965.0,-203.854,3217.331,-324.739,-3603.481,5183.225,-1528.18
debt-issuance-retirement-net-total,-8450.0,-2942.0,13155.0,1147.0,766.0,1792.0,4413.0,-3977.0,2122.148,3734.155,-1238.687,-544.4929,5650.817,172.8329
net-common-equity-issued-repurchased,33.0,233.0,-274.0,-1923.0,-1766.0,-1210.0,-514.0,892.0,-538.414,-317.676,-72.963,191.011,-251.72,-1078.677
net-total-equity-issued-repurchased,33.0,-477.0,-274.0,-1923.0,-1766.0,-1210.0,-514.0,892.0,-538.414,-317.676,-72.963,191.011,-251.72,-1078.677
total-common-preferred-stock-dividends-paid,-1974.0,-1849.0,-1539.0,-1443.0,-1342.0,-882.0,-3183.0,-2938.0,-2671.475,-2414.46,-2174.252,-1959.15,-1777.17,-1686.472
financial-activities-other,,-13.0,-195.0,-17.0,-400.0,-6396.0,-521.0,-400.0,,,,,,
cash-flow-from-financial-activities,-10391.0,-5281.0,11147.0,-2236.0,-2742.0,-6696.0,195.0,-6423.0,-1087.741,1002.019,-3485.902,-2312.632,3621.927,-2592.316
net-cash-flow,-5563.0,-9213.0,13619.0,938.0,588.0,-7327.0,3989.0,3165.0,-5160.968,4697.317,1655.638,1935.192,-2372.495,1668.059
stock-based-compensation,477.0,406.0,310.0,292.0,246.0,262.0,433.0,383.0,387.183,366.357,347.015,429.677,329.957,30.14
common-stock-dividends-paid,-1974.0,-1849.0,-1539.0,-1443.0,-1342.0,-882.0,-3183.0,-2938.0,-2671.475,-2414.46,-2174.252,-1959.15,-1777.17,-1686.472
