,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,-57.564,-60.585,-62.906,-55.868,-38.755,-43.337,-15.917,-16.982,-16.911,-24.135,-29.181,-45.304,-4.779,13.064
total-depreciation-amortization-cash-flow,1.445,1.811,1.817,1.699,1.415,0.745,0.744,0.922,0.853,0.866,0.651,0.774,0.716,0.652
other-non-cash-items,11.651,10.146,8.51,0.288,-2.395,18.425,0.564,1.369,1.626,3.044,2.111,12.379,-7.465,-26.883
total-non-cash-items,13.096,11.957,10.327,1.987,-0.98,19.17,1.308,2.291,2.479,3.91,2.762,13.153,-6.749,-26.231
change-in-accounts-receivable,3.663,-5.547,-1.074,-0.301,0.632,-1.681,1.652,-1.304,-1.167,0.696,0.66,-2.493,-0.579,-0.664
change-in-inventories,0.806,-2.092,-1.781,3.991,3.033,-1.813,-3.74,-0.601,2.066,3.402,-4.047,-5.229,-1.833,
change-in-accounts-payable,5.683,2.487,3.261,-3.866,-0.973,-1.512,2.506,1.45,-1.193,0.102,-2.145,3.442,4.573,0.616
change-in-assets-liabilities,-2.972,2.052,-2.686,1.569,-1.386,0.39,-1.697,-0.15,0.002,-0.003,-0.02,-0.073,-7.29,-2.242
total-change-in-assets-liabilities,13.222,-3.607,-0.95,2.752,-0.076,-2.495,0.692,-0.941,0.164,5.678,-7.659,-5.153,-3.157,-1.78
cash-flow-from-operating-activities,-31.246,-52.235,-53.529,-51.129,-39.811,-26.662,-13.917,-15.632,-14.268,-14.547,-34.078,-37.304,-14.685,-14.947
net-change-in-property-plant-equipment,,,,,,,,,,,,,,
net-change-in-short-term-investments,,,,,,,,,,,,,,
net-change-in-investments-total,-42.704,0.774,-19.361,2.238,-1.066,-28.515,0.287,0.666,1.633,9.477,25.087,9.904,-6.832,16.169
investing-activities-other,,,,,,-0.014,-0.001,,,,,,,
cash-flow-from-investing-activities,-43.848,0.421,-19.924,1.516,-3.147,-29.192,0.205,0.563,-0.07,9.323,23.426,9.204,-7.94,15.364
net-long-term-debt,-0.133,10.375,-0.622,9.887,6.374,-7.568,-1.457,-5.008,-0.034,-0.005,-0.032,-0.084,-4.536,-34.499
net-current-debt,,,,,,3.102,1.81,7.21,4.811,,,,,
debt-issuance-retirement-net-total,-0.133,10.375,-0.622,9.887,6.374,-4.466,0.353,2.202,4.777,-0.005,-0.032,-0.084,-4.536,-34.499
net-common-equity-issued-repurchased,7.848,2.428,3.068,12.767,11.592,1.684,0.332,0.143,0.37,0.078,1.29,1.522,67.668,0.693
net-total-equity-issued-repurchased,,,,,,,,,,,,,,
financial-activities-other,85.036,30.197,22.121,75.3,18.488,61.425,14.226,9.273,20.852,12.135,0.072,,,
cash-flow-from-financial-activities,92.751,43.0,24.567,97.954,36.454,58.643,14.911,11.618,25.999,12.208,1.33,1.438,63.132,-33.806
net-cash-flow,17.657,-8.814,-48.886,48.341,-6.504,2.789,1.199,-3.451,11.661,6.984,-9.322,-26.662,40.507,-33.389
stock-based-compensation,,,,,,,,,,,,,,
