,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
net-income-loss,-39.164,34.818,27.104,66.063,65.352,32.718,55.155,24.927
total-depreciation-amortization-cash-flow,100.152,55.047,40.447,24.845,19.88,15.517,12.899,11.229
other-non-cash-items,18.286,4.425,8.688,-4.33,5.228,1.759,4.16,5.709
total-non-cash-items,118.438,59.472,49.135,20.515,25.108,17.276,17.059,16.938
change-in-accounts-receivable,,,,,,,,
change-in-accounts-payable,-6.007,8.252,-3.463,4.474,2.12,-1.468,5.758,-2.637
change-in-assets-liabilities,2.354,-10.182,11.489,-0.67,-2.174,-2.215,2.116,-0.447
total-change-in-assets-liabilities,11.127,3.416,16.591,-19.024,-4.932,16.021,-18.509,4.319
cash-flow-from-operating-activities,90.401,97.706,92.83,67.554,85.528,66.015,53.705,46.184
net-change-in-property-plant-equipment,,,,,,,,
net-acquisitions-divestitures,-1082.74,-3.49,-88.509,-114.718,,,,
net-change-in-short-term-investments,258.36,175.591,167.336,-627.259,0.0,,,
net-change-in-long-term-investments,-39.469,-32.977,-19.668,-19.951,-15.164,-9.664,-9.581,-5.778
net-change-in-investments-total,,,,,,,,
cash-flow-from-investing-activities,-889.354,106.559,39.799,-768.32,-22.619,-18.863,-15.084,-12.859
net-long-term-debt,,,,,,,,
debt-issuance-retirement-net-total,725.399,-30.113,-15.116,-18.862,299.87,-0.115,-0.178,-0.157
net-common-equity-issued-repurchased,1.833,-88.619,-100.066,658.914,-308.363,-19.73,0.009,0.12
net-total-equity-issued-repurchased,1.833,-88.619,-100.066,658.914,-308.363,-19.73,0.009,0.12
total-common-preferred-stock-dividends-paid,,,,,-2.852,-23.511,-46.963,-18.604
financial-activities-other,-21.632,-4.272,-3.798,12.181,0.409,0.437,,
cash-flow-from-financial-activities,705.6,-123.004,-118.98,652.233,-10.936,-42.919,-47.132,-18.641
net-cash-flow,-93.353,81.261,13.649,-48.533,51.973,4.233,-8.511,14.684
stock-based-compensation,16.162,17.318,10.054,7.415,2.894,1.842,2.56,3.767
common-stock-dividends-paid,,,,,-2.852,-23.511,-46.963,-18.604
