,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,37.729,30.518,9.756,30.76,30.518,23.979,16.178,10.389,4.892,0.444,12.724,43.295,10.365,-2.074
total-depreciation-amortization-cash-flow,53.642,53.101,59.952,25.639,20.272,18.365,13.325,7.983,8.619,9.428,8.954,4.602,3.717,4.199
other-non-cash-items,23.313,-8.985,15.527,15.159,14.24,13.911,12.319,10.433,8.69,8.649,12.713,-6.289,12.51,2.839
total-non-cash-items,76.955,44.116,75.479,40.798,34.512,32.276,25.644,18.416,17.309,18.077,21.667,-1.687,16.227,7.038
change-in-accounts-receivable,-6.192,-40.598,9.932,-17.941,-21.858,-3.609,-9.311,5.863,-1.317,17.19,-21.866,-2.102,-7.645,-7.732
change-in-inventories,-6.763,-26.84,-3.362,-10.032,1.96,-5.41,2.536,-9.434,0.077,-0.693,0.174,2.004,-4.336,-1.761
change-in-accounts-payable,-9.154,19.709,-4.963,-2.841,1.611,-1.784,1.751,-2.242,2.859,0.936,-0.853,0.892,1.775,-0.43
change-in-assets-liabilities,-11.251,-6.973,-31.603,-5.682,12.638,0.062,-2.273,8.996,-0.562,9.471,6.064,3.876,-1.047,0.737
total-change-in-assets-liabilities,-10.718,-49.8,-35.335,-33.072,0.133,-0.992,-2.338,2.438,-1.603,27.75,-20.093,-4.381,-7.085,-6.822
cash-flow-from-operating-activities,103.966,24.834,49.9,38.486,65.163,55.263,39.484,31.243,20.598,46.271,14.298,37.227,19.507,-1.858
net-change-in-property-plant-equipment,-54.374,-30.381,-27.793,-19.674,-22.275,-20.096,-20.148,-12.877,-9.097,-6.684,-12.837,-6.637,-3.109,-2.094
net-change-in-intangible-assets,,-0.16,-1.372,-0.415,-0.327,-0.356,-0.373,-0.235,-0.198,-0.111,-0.2,-0.331,-0.677,-0.723
net-acquisitions-divestitures,,-4.446,-312.158,-25.507,-20.723,,-156.312,,-5.703,,,-27.251,,
net-change-in-short-term-investments,,,,,,,,,,,,,,
net-change-in-investments-total,,,,,,,,,,,,,,
cash-flow-from-investing-activities,-54.374,-34.987,-341.323,-45.596,-43.325,-20.452,-168.711,-13.066,-23.057,-6.795,-13.037,-34.219,-3.798,8.347
net-long-term-debt,,,,,,,,,,,,,,
debt-issuance-retirement-net-total,-77.0,-45.606,252.551,,,,,,,,,,,
net-common-equity-issued-repurchased,30.611,30.121,17.691,-32.93,-2.296,5.924,-2.173,-5.786,7.002,4.042,-57.114,105.948,15.611,3.565
net-total-equity-issued-repurchased,,,,,,,,,,,,,,
financial-activities-other,32.792,5.608,-6.49,-3.627,2.09,1.45,1.941,3.946,1.861,5.375,6.48,,,
cash-flow-from-financial-activities,-13.597,-9.877,263.752,-36.557,-0.206,7.374,-0.232,-1.84,8.863,9.417,-50.634,105.948,15.611,3.565
net-cash-flow,34.768,-22.064,-27.729,-43.671,21.357,42.218,-129.449,16.127,6.405,48.791,-49.373,108.956,31.32,10.054
stock-based-compensation,,,,,,,,,,,,,,
