,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,-22.935,-20.293,42.594,37.924,32.478,23.147,3.823,-11.179,11.94,11.382,17.282,9.78,-0.927,6.152
total-depreciation-amortization-cash-flow,48.709,30.098,16.879,15.987,11.759,12.848,12.615,30.192,9.103,7.884,6.764,4.947,3.921,1.988
other-non-cash-items,21.352,30.517,10.599,13.612,4.609,6.976,2.336,7.699,8.227,5.964,3.389,3.899,8.826,-0.977
total-non-cash-items,70.061,60.615,27.478,29.599,16.368,19.824,14.951,37.891,17.33,13.848,10.153,8.846,12.747,1.011
change-in-accounts-receivable,-5.199,-30.473,19.723,-15.272,-2.431,9.357,-22.031,3.673,-3.46,0.683,-8.336,-3.125,-5.683,-1.567
change-in-inventories,-7.443,7.581,-7.668,-12.232,-2.017,-2.679,5.259,3.741,-8.255,0.025,-2.296,-3.97,-1.767,0.865
change-in-accounts-payable,4.105,-1.385,-4.965,3.27,-7.648,-1.387,11.311,-7.062,-5.468,0.457,-2.782,-0.424,-0.201,-0.131
change-in-assets-liabilities,-3.042,-1.74,2.492,-0.26,-1.202,-6.164,0.885,2.826,-0.438,-0.187,0.438,0.813,-0.443,-0.305
total-change-in-assets-liabilities,-14.106,-20.596,2.615,-30.671,-6.703,-6.174,0.618,-3.96,-17.815,1.358,-15.633,-7.688,-8.587,0.72
cash-flow-from-operating-activities,33.02,19.726,72.687,36.852,42.143,36.797,19.392,22.752,11.455,26.588,11.802,10.938,3.233,7.883
net-change-in-property-plant-equipment,-7.875,-4.066,-3.186,-4.068,-4.239,-1.825,-2.246,-4.18,-4.152,-2.609,-3.593,-2.126,0.06,-0.931
net-change-in-intangible-assets,-0.665,,-0.21,-1.126,-1.481,-1.875,-5.094,-0.825,-0.344,-1.003,-1.451,-0.649,,
net-acquisitions-divestitures,0.151,-190.888,-15.849,-14.284,-4.925,-18.6,-55.123,-15.072,-13.415,-47.222,-28.996,-49.951,-71.773,-0.48
net-change-in-short-term-investments,,34.019,-34.019,0.0,,,,1.005,0.0,-0.965,0.0,,12.163,7.322
net-change-in-long-term-investments,,,,,,,,-0.3,,,,,,
net-change-in-investments-total,,34.019,-34.019,,,,,0.705,0.0,-0.965,0.0,,12.163,7.322
investing-activities-other,,,,,,,,,,,,,0.083,0.01
cash-flow-from-investing-activities,-8.389,-160.935,-53.264,-19.478,-10.645,-22.3,-62.463,-19.372,-17.911,-51.799,-34.04,-52.726,-59.467,5.921
net-long-term-debt,-50.0,15.0,124.0,,-38.017,-16.843,20.641,-3.013,-1.403,-0.429,-35.259,34.982,,
net-current-debt,,,16.0,,,22.0,11.3,2.553,,,,,,
debt-issuance-retirement-net-total,-50.0,15.0,140.0,,-38.017,5.157,31.941,-0.46,-1.403,-0.429,-35.259,34.982,,
net-common-equity-issued-repurchased,5.818,1.198,-15.659,-1.267,11.577,8.981,1.857,2.319,2.548,1.077,102.142,2.045,30.981,10.16
net-total-equity-issued-repurchased,,,,,,,,,,,,,,
financial-activities-other,-5.33,-10.372,-5.924,2.099,5.526,3.109,-0.381,-0.16,0.551,-0.159,2.222,0.598,1.051,
cash-flow-from-financial-activities,-49.512,5.826,118.417,0.832,-20.914,17.247,33.417,1.699,1.696,0.489,69.105,37.625,32.032,10.16
net-cash-flow,-32.577,-124.601,131.082,15.911,10.452,33.049,-9.759,4.433,-4.203,-24.329,44.999,-3.476,-24.654,23.807
stock-based-compensation,,,,,,,,,,,,,,
