,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31
net-income-loss,154.458,87.293,68.175,81.765,-35.742,-88.333,-2.707
total-depreciation-amortization-cash-flow,121.504,87.019,78.9,84.666,102.301,54.001,35.011
other-non-cash-items,73.771,72.685,48.443,-8.04,-10.425,1.825,20.323
total-non-cash-items,195.275,159.704,127.343,76.626,91.876,55.826,55.334
change-in-accounts-receivable,,,,,,,
change-in-assets-liabilities,-39.744,63.309,-9.992,31.155,-24.68,17.656,33.53
total-change-in-assets-liabilities,-19.941,-26.589,-35.471,-5.963,-22.1,57.776,46.632
cash-flow-from-operating-activities,329.792,220.408,160.047,152.428,34.034,25.269,99.259
net-change-in-property-plant-equipment,,,,,,,
net-acquisitions-divestitures,,,,,,,
net-change-in-long-term-investments,0.183,,,-23.0,,-4.609,
net-change-in-investments-total,0.183,,,-23.0,,-4.609,
investing-activities-other,0.181,-68.655,2.787,-13.68,15.851,,
cash-flow-from-investing-activities,-55.473,-687.42,-34.614,-71.686,-11.472,-1079.138,-18.058
net-long-term-debt,-91.5,91.5,,,-10.0,10.0,
debt-issuance-retirement-net-total,-315.894,506.761,-215.383,-40.0,-333.025,797.714,61.2
net-common-equity-issued-repurchased,31.382,7.236,0.655,0.081,333.983,470.505,
net-total-equity-issued-repurchased,31.382,7.236,0.655,0.081,333.983,470.505,
total-common-preferred-stock-dividends-paid,,,,,,-131.626,-101.607
financial-activities-other,-35.0,-6.988,113.133,-2.525,-6.914,-58.819,-1.75
cash-flow-from-financial-activities,-319.512,507.009,-101.595,-42.444,-5.956,1077.774,-42.157
net-cash-flow,-48.181,43.552,23.213,34.596,10.614,23.455,39.831
stock-based-compensation,29.143,12.616,7.067,5.276,3.467,24.741,11.61
common-stock-dividends-paid,,,,,,-131.626,-101.607
