,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2010-05-31,2009-05-31,2008-05-31,2007-12-31,2007-05-31,2006-12-31,2005-12-31
net-income-loss,407.807,-154.175,3.03,-2.056,-66.453,-104.026,-1.153,73.609,-5.565,62.87,26.022,25.399,20.563,3.854,11.895,9.71
total-depreciation-amortization-cash-flow,205.812,157.328,136.328,161.011,174.263,178.815,150.234,132.4,50.089,36.522,22.787,16.192,21.468,27.838,16.455,6.528
other-non-cash-items,-485.642,218.516,111.127,36.276,45.539,2.095,36.338,68.842,22.164,39.7,22.47,6.575,13.414,-1.516,12.408,1.208
total-non-cash-items,-279.83,375.844,247.455,197.287,219.802,180.91,186.572,201.242,72.253,76.222,45.257,22.767,34.882,26.322,28.863,7.736
change-in-accounts-receivable,-109.134,-95.189,-8.918,3.215,-14.644,-7.705,45.978,-30.731,-5.237,-26.798,-30.303,-11.289,-25.179,-6.009,-16.51,-8.277
change-in-inventories,,,,,,,,,0.321,,0.231,,-0.931,,1.291,0.198
change-in-accounts-payable,-19.159,-19.785,45.524,-11.953,-1.944,23.794,3.44,-8.546,-10.413,13.056,-2.924,-3.836,5.732,-0.531,-1.798,2.649
change-in-assets-liabilities,14.283,143.872,-4.799,37.803,19.046,-40.916,-28.665,39.365,13.597,-0.916,7.57,-14.046,2.671,-3.939,-1.902,1.153
total-change-in-assets-liabilities,-60.086,57.746,18.519,16.348,-49.853,4.103,37.251,-6.097,9.093,0.826,-35.202,-40.343,-24.928,-10.594,-13.345,-0.939
cash-flow-from-operating-activities,67.891,279.415,269.004,211.579,103.496,80.987,222.67,268.754,75.781,139.918,36.077,7.823,30.517,19.582,27.413,16.507
net-change-in-property-plant-equipment,,,,,,,,,,,,,,,,
net-acquisitions-divestitures,630.531,-169.823,-99.837,-9.372,-20.18,,,,170.102,,65.728,,-79.805,,-209.824,
net-change-in-short-term-investments,,,,,0.05,12.891,0.094,-12.845,1.589,3.009,6.181,0.0,21.302,,44.473,24.915
net-change-in-long-term-investments,-16.934,-5.606,-21.185,-215.786,-21.544,,,,,,8.0,-8.0,2.592,,,
net-change-in-investments-total,-16.934,-5.606,-21.185,-215.786,-21.494,12.891,0.094,-12.845,1.589,3.009,14.181,-8.0,23.894,,44.473,24.915
investing-activities-other,-220.967,-80.543,-908.698,3.778,,-148.875,,2.225,2.216,,-329.494,,-11.74,0.35,,-1.763
cash-flow-from-investing-activities,248.013,-412.972,-1154.006,-288.966,-108.688,-252.14,-123.037,-95.674,112.419,-32.007,-262.106,-9.167,-89.314,-0.832,-180.131,18.008
net-long-term-debt,-0.553,-1.283,-0.37,-0.598,-0.455,336.204,-0.822,-1.427,-0.83,-1.51,-12.238,-1.571,,-1.783,-0.015,-0.064
net-current-debt,-282.908,186.862,94.83,45.65,5.088,-148.61,73.136,-123.231,466.869,-43.995,-9.237,-0.003,49.952,3.235,,
debt-issuance-retirement-net-total,-283.461,185.579,94.46,45.052,4.633,187.594,72.314,-124.658,466.039,-45.505,-21.475,-1.574,49.952,1.452,-0.015,-0.064
net-common-equity-issued-repurchased,-137.645,-10.509,-121.157,103.631,1.487,-20.145,-220.442,-16.343,-668.574,3.594,-45.927,,10.169,,134.289,9.482
net-total-equity-issued-repurchased,,,,,,,,,,,,,,,,
financial-activities-other,128.123,23.515,891.968,-6.418,-10.4,-35.516,-6.776,-2.638,-0.457,6.251,364.265,1.873,,-31.281,,
cash-flow-from-financial-activities,-292.983,198.585,865.271,142.265,-4.28,131.933,-154.904,-143.639,-202.992,-35.66,296.863,0.299,60.121,-29.829,134.274,9.418
net-cash-flow,22.297,65.888,-20.263,63.7,-9.781,-41.002,-53.797,28.35,-14.007,72.251,70.834,-1.045,1.324,-11.079,-18.444,43.933
stock-based-compensation,,,,,,,,,,,,,,,,
