,2019-05-31,2018-05-31,2017-05-31,2016-05-31,2015-05-31,2014-05-31,2013-05-31,2012-05-31,2011-05-31,2010-05-31,2009-05-31,2008-05-31,2007-05-31,2006-05-31,2005-05-31
net-income-loss,61.34,16.335,5.008,-43.59,-3.388,2.347,-1.211,-5.183,8.117,12.312,9.932,10.889,-9.127,6.866,4.548
total-depreciation-amortization-cash-flow,25.88,23.163,24.811,28.115,36.261,28.479,31.072,15.814,19.041,12.527,12.055,8.869,3.409,1.082,0.771
other-non-cash-items,-48.516,-0.671,1.066,47.828,3.789,6.759,6.414,4.306,2.906,10.089,4.523,15.035,12.023,2.761,2.446
total-non-cash-items,-22.636,22.492,25.877,75.943,40.05,35.238,37.486,20.12,21.947,22.616,16.578,23.904,15.432,3.843,3.217
change-in-accounts-receivable,-3.177,5.044,8.479,3.131,2.095,-14.786,1.02,-2.395,2.77,-2.613,0.351,-6.134,-1.474,-3.827,-1.914
change-in-inventories,,,,,,,,,,,,,,,
change-in-assets-liabilities,-1.871,-1.231,-3.52,0.712,-1.17,1.208,0.977,-6.0,2.05,-1.307,-1.02,-9.297,12.465,-0.449,-1.662
total-change-in-assets-liabilities,-1.264,2.46,24.86,12.863,-10.977,-12.904,-9.623,-3.335,3.806,5.031,-6.568,-8.886,2.479,-7.49,-2.977
cash-flow-from-operating-activities,37.44,41.287,55.745,45.216,25.685,24.681,26.652,11.602,33.87,39.959,19.942,25.907,8.784,3.219,4.788
net-change-in-property-plant-equipment,-3.118,-2.391,-3.001,-2.326,-11.383,-11.172,-12.12,-2.492,-2.957,-5.042,-4.361,-6.711,-5.806,-3.183,-1.825
net-change-in-intangible-assets,,-1.265,,-3.268,-1.353,-1.435,-0.8,-0.55,-0.113,,,,,,
net-acquisitions-divestitures,-84.92,,,-2.0,,-4.169,-24.474,-237.191,-0.973,-5.411,-17.078,-18.694,-25.245,-2.893,
net-change-in-short-term-investments,1.35,,0.45,0.025,,0.328,11.855,70.499,-44.395,-42.436,5.672,-2.507,-17.066,-13.021,-11.813
net-change-in-long-term-investments,,,,,,,,,,41.112,,,,,
net-change-in-investments-total,1.35,,0.45,0.025,,0.328,11.855,70.499,-44.395,-1.324,5.672,-2.507,-17.066,-13.021,-11.813
investing-activities-other,169.242,,,,,,3.301,-6.5,-0.182,,0.068,1.718,-6.925,,0.101
cash-flow-from-investing-activities,82.554,-3.656,-2.551,-7.569,-12.736,-16.448,-22.238,-176.234,-48.62,-11.777,-15.699,-26.194,-55.042,-19.097,-13.537
net-long-term-debt,40.0,-5.0,-23.91,-16.25,-5.0,0.16,-7.5,143.45,-0.26,-0.265,-10.04,-0.315,4.795,-0.165,-0.155
net-current-debt,,,,,,,,,,,,,,,-3.0
debt-issuance-retirement-net-total,40.0,-5.0,-23.91,-16.25,-5.0,0.16,-7.5,143.45,-0.26,-0.265,-10.04,-0.315,4.795,-0.165,-3.155
net-common-equity-issued-repurchased,2.031,2.949,-2.859,2.437,5.757,2.444,1.214,1.252,2.08,2.875,1.774,4.238,4.579,65.805,25.604
net-total-equity-issued-repurchased,,,,,,,,,,,,,,,
financial-activities-other,-8.1,-9.5,-11.214,-9.85,-11.222,-16.62,,-2.364,0.102,0.108,,0.091,1.155,-0.218,-0.949
cash-flow-from-financial-activities,33.931,-11.551,-37.983,-23.663,-10.465,-14.016,-6.286,142.338,1.922,2.718,-8.266,4.014,10.529,65.422,21.5
net-cash-flow,153.545,26.552,15.211,13.942,2.286,-5.697,-1.937,-22.245,-12.779,30.854,-4.131,3.727,-35.729,49.544,12.751
stock-based-compensation,,,,,,,,,,,,,,,
