,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31
net-income-loss,-22.922,-16.363,-25.222,-26.634,-18.362,-18.369,-16.365
total-depreciation-amortization-cash-flow,0.995,1.483,1.314,1.508,0.747,0.505,0.434
other-non-cash-items,13.233,9.82,7.467,4.884,1.848,0.854,0.173
total-non-cash-items,14.228,11.303,8.781,6.392,2.595,1.359,0.607
change-in-accounts-receivable,-3.027,-2.168,-2.953,-3.131,-4.137,-2.901,-1.011
change-in-inventories,-2.52,-2.861,-1.664,-1.402,-0.35,-0.822,-1.004
change-in-accounts-payable,2.086,0.203,1.18,-0.23,0.645,0.36,0.331
change-in-assets-liabilities,-0.814,-1.155,-0.745,0.415,-0.475,0.221,0.023
total-change-in-assets-liabilities,-5.146,-2.981,-3.618,0.155,-2.187,-2.091,-0.39
cash-flow-from-operating-activities,-13.84,-8.041,-20.059,-20.087,-17.954,-19.101,-16.148
net-change-in-property-plant-equipment,,,,,,,
net-change-in-short-term-investments,,,,,,,
net-change-in-investments-total,-7.886,11.529,-4.788,-55.145,-35.152,,7.298
investing-activities-other,,,,,,,0.071
cash-flow-from-investing-activities,,,,,-1.452,-0.548,2.0
net-common-equity-issued-repurchased,13.469,8.771,1.966,98.162,56.034,0.122,0.089
net-total-equity-issued-repurchased,,,,,,,
cash-flow-from-financial-activities,13.469,8.771,1.966,98.162,54.582,29.802,2.302
net-cash-flow,-10.373,9.978,-24.95,21.406,1.109,10.234,-7.89
stock-based-compensation,,,,,,,
