,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,3553.0,1020.0,1647.0,1439.0,515.0,1006.0,1298.0,1345.0,1273.0,1107.0,1147.8,1017.4,777.7,643.6
total-depreciation-amortization-cash-flow,723.0,642.0,546.0,397.0,378.0,307.0,277.0,160.0,165.0,385.0,387.6,366.6,324.1,282.7
other-non-cash-items,-1424.0,344.0,245.0,529.0,1083.0,749.0,228.0,252.0,154.0,9.0,101.9,-89.5,51.0,27.2
total-non-cash-items,-701.0,986.0,791.0,926.0,1461.0,1056.0,505.0,412.0,319.0,394.0,489.4999,277.1,375.1,309.9
change-in-accounts-receivable,-60.0,-162.0,-192.0,-151.0,-89.0,-89.0,-20.0,-152.0,-121.0,-10.0,-131.2,-133.5,-105.2,-63.4
change-in-inventories,-385.0,-320.0,-299.0,-115.0,-173.0,-77.0,18.0,-166.0,-131.0,34.0,-180.2,-89.9,-86.8,-39.7
change-in-accounts-payable,116.0,21.0,-16.0,35.0,13.0,1.0,-48.0,44.0,96.0,-80.0,10.4,11.1,39.1,-2.6
change-in-assets-liabilities,-46.0,-780.0,-129.0,-1044.0,-170.0,72.0,-3.0,-112.0,44.0,-242.0,-188.0,-166.0,-140.4,-166.2
total-change-in-assets-liabilities,-242.0,-447.0,-523.0,-1384.0,-194.0,-176.0,-203.0,-323.0,-45.0,-40.0,-463.3,-274.4,-277.2,-181.3
cash-flow-from-operating-activities,2610.0,1559.0,1915.0,981.0,1782.0,1886.0,1657.0,1434.0,1547.0,1461.0,1175.9,1028.3,867.3,833.4
net-change-in-property-plant-equipment,,,,,,,,,,,,,,
net-acquisitions-divestitures,-2451.0,-831.0,-4332.0,-153.0,-916.0,-2320.0,-154.0,-2066.0,-265.0,-570.0,-14.2,89.9,-93.9,-56.7
net-change-in-short-term-investments,,,,,,,,,,,,,,
net-change-in-investments-total,168.0,-183.0,634.0,2379.0,-729.0,298.0,-372.0,90.0,-409.0,-628.0,470.8992,-1079.5,-428.1,-575.0
investing-activities-other,-2.0,-1.0,-3.0,,,,,,,,,-1.6,-11.2,-12.9
cash-flow-from-investing-activities,-2857.0,-1613.0,-4191.0,1956.0,-1878.0,-2217.0,-736.0,-2135.0,-795.0,-1328.0,310.1,-1178.2,-742.3,-903.0
net-long-term-debt,2457.0,499.0,2703.0,48.0,1159.0,1005.0,-4.0,737.0,1015.0,-3.0,6.7,0.8,-227.2,221.5
net-current-debt,-1.0,-200.0,209.0,,,,,,,,,,,
debt-issuance-retirement-net-total,2456.0,299.0,2912.0,48.0,1159.0,1005.0,-4.0,737.0,1015.0,-3.0,6.7,0.8,-227.2,221.5
net-common-equity-issued-repurchased,-300.0,-230.0,-13.0,-700.0,-100.0,-317.0,-108.0,-622.0,-426.0,,-949.9,69.5,48.6,30.4
net-total-equity-issued-repurchased,-300.0,-230.0,-13.0,-700.0,-100.0,-317.0,-108.0,-622.0,-426.0,,-949.9,69.5,48.6,30.4
total-common-preferred-stock-dividends-paid,-703.0,-636.0,-568.0,-521.0,-462.0,-401.0,-324.0,-279.0,-238.0,-198.0,-135.6,-89.7,-44.6,-36.2
financial-activities-other,-124.0,-227.0,-73.0,-50.0,32.0,13.0,-13.0,3.0,59.0,8.0,32.7,33.0,20.0,16.6
cash-flow-from-financial-activities,1329.0,-794.0,2258.0,-1223.0,629.0,300.0,-449.0,-161.0,410.0,-193.0,-1046.1,13.6,-203.2,232.3
net-cash-flow,1074.0,-774.0,-63.0,1584.0,456.0,-56.0,490.0,-853.0,1099.0,-42.0,410.6,-126.1,-74.6,141.8
stock-based-compensation,119.0,113.0,97.0,86.0,77.0,76.0,75.0,75.0,69.0,62.0,65.5,61.3,56.9,49.4
common-stock-dividends-paid,-703.0,-636.0,-568.0,-521.0,-462.0,-401.0,-324.0,-279.0,-238.0,-198.0,-135.6,-89.7,-44.6,-36.2
