,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,-127.1,-50.2,-65.6,-57.6,-22.4,-29.8,-54.5,-44.7,-55.2,-53.524,-58.856,-48.454,-46.599,-30.768
total-depreciation-amortization-cash-flow,29.1,16.1,15.0,10.8,8.4,7.7,7.5,4.7,3.1,3.51,3.196,2.501,2.325,1.052
other-non-cash-items,262.1,123.5,113.1,120.2,50.4,27.3,17.8,13.5,19.1,12.865,12.097,9.037,5.853,1.786
total-non-cash-items,291.2,139.6,128.1,131.0,58.8,35.0,25.3,18.2,22.2,16.375,15.293,11.538,8.178,2.838
change-in-accounts-receivable,-93.2,-31.8,-27.2,-31.7,-16.3,-6.5,-7.0,-5.9,-3.2,-2.372,-0.903,-0.095,-0.12,
change-in-inventories,,,,,,,,,,,,,,
change-in-assets-liabilities,-2.2,-1.9,1.1,1.0,0.0,-2.9,-0.3,0.3,-2.0,-3.472,9.035,0.78,-0.979,-0.13
total-change-in-assets-liabilities,-40.9,2.6,-6.3,-24.4,-12.8,-2.8,-3.9,-3.6,-9.7,-2.24,6.112,3.709,-5.314,5.376
cash-flow-from-operating-activities,123.2,92.0,56.2,49.0,23.6,2.4,-33.1,-30.1,-42.7,-39.389,-37.451,-33.207,-43.735,-22.554
net-change-in-property-plant-equipment,,,,,,,,,,,,,,
net-acquisitions-divestitures,,,,,,,,,,,,,,
net-change-in-long-term-investments,-61.4,-78.4,-0.5,-17.7,-0.6,28.8,37.9,-38.4,-18.7,-11.414,26.816,-5.001,-23.207,-13.493
net-change-in-investments-total,,,,,,,,,,,,,,
cash-flow-from-investing-activities,-139.8,-144.4,-55.9,-51.5,-16.8,20.9,28.4,-46.4,-25.6,-14.104,24.324,-8.444,-26.559,-18.17
net-long-term-debt,836.6,389.0,,-2.3,-2.2,-0.2,6.6,-0.5,-0.9,-1.931,0.95,56.652,3.026,
net-current-debt,-218.9,,,,,,,,,,,-10.95,,
debt-issuance-retirement-net-total,617.7,389.0,,-2.3,-2.2,-0.2,6.6,-0.5,-0.9,-1.931,0.95,45.702,3.026,
net-common-equity-issued-repurchased,94.6,10.1,10.4,19.1,24.0,12.0,3.6,74.7,70.5,46.31,1.762,0.897,48.188,50.741
net-total-equity-issued-repurchased,,,,,,,,,,,,,,
financial-activities-other,-1.9,,-2.3,,,,,,,,,,,
cash-flow-from-financial-activities,710.4,399.1,8.1,16.8,21.8,11.8,10.2,74.2,69.6,44.379,2.712,46.599,51.214,50.741
net-cash-flow,695.6,347.0,8.4,14.3,28.6,35.1,5.5,-2.3,1.3,-9.123,-10.415,4.948,-19.08,10.017
stock-based-compensation,,,,,,,,,,,,,,
