,2018-12-31,2017-12-31,2016-12-31,2015-12-31
net-income-loss,-85.288,-60.121,-30.291,-20.263
total-depreciation-amortization-cash-flow,0.175,0.089,0.067,0.042
other-non-cash-items,10.233,3.441,1.491,5.43
total-non-cash-items,,,,
change-in-assets-liabilities,0.129,-0.215,0.244,-0.789
total-change-in-assets-liabilities,0.573,6.072,3.592,0.946
cash-flow-from-operating-activities,-74.307,-50.519,-25.141,-13.845
net-change-in-property-plant-equipment,,,,
cash-flow-from-investing-activities,,,,
net-common-equity-issued-repurchased,340.494,107.32,0.007,0.053
net-total-equity-issued-repurchased,,,,
financial-activities-other,,,-0.249,-0.14
cash-flow-from-financial-activities,340.494,107.32,49.758,33.176
net-cash-flow,265.478,56.507,24.367,19.244
stock-based-compensation,,,,
