,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
net-income-loss,24.284,-138.469,112.63,117.047,-23.47,-41.529,-59.114,-59.547
total-depreciation-amortization-cash-flow,273.685,179.936,59.204,57.36,60.243,65.546,83.976,75.96
other-non-cash-items,9.223,109.764,16.708,22.575,49.197,7.028,-40.975,-39.952
total-non-cash-items,282.908,289.7,75.912,79.935,109.44,72.574,43.001,36.008
change-in-accounts-receivable,,,,,,,,
change-in-assets-liabilities,33.853,3.386,13.978,53.645,43.993,9.2,23.68,18.428
total-change-in-assets-liabilities,-3.744,47.027,-79.052,7.758,45.477,6.225,59.112,5.006
cash-flow-from-operating-activities,303.448,198.258,109.49,204.74,131.447,37.27,42.999,-18.533
net-change-in-property-plant-equipment,,,,,,,,
net-acquisitions-divestitures,,,,,,,,
investing-activities-other,,-0.567,,,,,,
cash-flow-from-investing-activities,-145.485,-1722.844,-31.353,-21.111,-27.853,-17.714,-12.974,-369.67
net-long-term-debt,,,,,,,,
debt-issuance-retirement-net-total,-236.669,1747.333,-5.0,79.547,-214.795,-3.992,-13.42,290.152
net-common-equity-issued-repurchased,-53.164,19.335,-46.609,-281.344,152.836,-1.083,-2.349,159.739
net-total-equity-issued-repurchased,-53.164,19.335,-46.609,-281.344,152.836,-1.083,-2.349,159.739
total-common-preferred-stock-dividends-paid,,,,,-0.375,-0.5,-0.5,-4.5
financial-activities-other,-29.523,-32.3,-1.707,-9.602,-5.364,-1.266,-2.663,-23.338
cash-flow-from-financial-activities,-319.356,1734.368,-53.316,-211.399,-67.698,-6.841,-18.932,422.053
net-cash-flow,-166.044,218.898,17.615,-41.442,29.481,15.609,10.403,30.223
stock-based-compensation,34.323,59.696,14.02,5.074,3.37,2.419,1.248,1.176
common-stock-dividends-paid,,,,,-0.375,-0.5,-0.5,-4.5
