,2018-12-31,2017-12-31,2016-12-31,2016-03-31,2015-03-31,2014-03-31,2013-03-31,2012-03-31,2011-03-31,2010-03-31,2009-03-31,2008-03-31,2007-03-31,2006-03-31,2005-12-31,2005-03-31
net-income-loss,-9.5556,-7.899,-13.1132,-9.8204,-7.0269,-19.5654,-6.3824,-7.8329,-6.1523,-5.6516,-16.7052,-4.5641,-2.3263,-1.5221,0.0,-1.0381
total-depreciation-amortization-cash-flow,0.8579,0.671,0.459,0.7223,1.5662,0.9905,0.4115,0.5403,0.7675,6.727,2.3474,1.344,0.1112,0.0888,,0.0926
other-non-cash-items,6.832,3.7455,7.4848,3.7105,0.9008,14.412,0.7448,0.605,0.4338,-4.5139,11.7889,1.2833,1.1778,0.1102,,0.075
total-non-cash-items,7.6899,4.4164,7.9437,4.4328,2.4671,15.4025,1.1562,1.1453,1.2013,2.2131,14.1363,2.6273,1.289,0.1989,,0.1676
change-in-accounts-receivable,-1.9584,-0.4416,-0.5812,-0.4698,-0.0766,-0.3236,-0.071,-0.0903,0.0252,-0.0785,0.0189,-0.0112,0.0121,-0.0264,,-0.0322
change-in-inventories,-0.1057,-0.0253,-0.0749,-0.0705,-0.04,0.0095,0.0125,-0.0075,0.016,0.081,-0.4083,0.0241,0.0443,-0.0393,,-0.0979
change-in-accounts-payable,0.4051,0.1232,0.0513,0.3132,0.2091,-0.2219,0.4436,-0.0622,-0.1097,0.2099,-0.0159,-0.0724,0.0836,0.0601,,-0.1314
change-in-assets-liabilities,-0.2304,-0.2615,0.002,-0.5148,0.0102,-0.0266,0.0349,0.1742,-0.1559,-0.0502,0.0073,-0.0495,-0.0061,0.0418,,-0.0439
total-change-in-assets-liabilities,-1.4867,-0.1005,-0.5494,-0.9181,0.4321,-0.2177,0.441,-0.0925,0.1396,0.5851,-0.0176,0.1165,0.327,0.1582,,-0.1476
cash-flow-from-operating-activities,-3.3524,-3.5831,-5.7189,-6.3057,-4.1277,-4.3807,-4.7851,-6.7801,-4.8114,-2.8534,-2.5865,-1.8203,-0.7103,-1.156,,-1.0181
net-change-in-property-plant-equipment,-2.914,-1.7149,-1.0629,-1.1193,-0.0701,-0.1389,-0.1562,-0.2626,-0.3414,-0.0319,-0.0586,-0.1821,,-0.0421,,-0.0149
net-change-in-intangible-assets,,,,,,,,,,,,,,,,
net-change-in-short-term-investments,,,,,,,,,,,,,,,,
net-change-in-investments-total,-9.9236,,,,,,,,,,,,,,,
investing-activities-other,,,,,,,,,,0.01,0.1088,-0.2,,,,
cash-flow-from-investing-activities,-12.8842,-1.8006,-1.0679,-1.1193,-0.0701,-0.1389,-0.1787,-0.3881,-0.4655,-0.1389,0.0005,-0.3825,,-0.0421,,-0.0149
net-long-term-debt,14.9853,,,,-0.05,4.5583,1.2117,-2.273,-0.4234,1.3215,1.0048,3.4366,0.12,,,0.19
net-current-debt,,-0.6562,-0.3994,-1.0334,0.6134,-0.096,-0.096,-0.192,-0.16,-0.264,-0.2115,-0.0745,-0.039,-0.008,,-0.0529
debt-issuance-retirement-net-total,14.9853,-0.6562,-0.3994,-1.0334,0.5634,4.4623,1.1157,-2.465,-0.5834,1.0576,0.7933,3.3621,0.081,-0.008,,0.1371
net-common-equity-issued-repurchased,15.8293,16.5576,,5.949,0.0926,0.3269,,5.2905,11.7845,5.484,0.0033,0.8074,0.9045,0.4905,,1.61
net-total-equity-issued-repurchased,,,,,,,,,,,,,,,,
financial-activities-other,7.7165,,6.4633,,-0.0301,-0.4632,-0.2063,-0.3182,-0.2757,-0.1692,-0.1919,,-0.0156,,,
cash-flow-from-financial-activities,38.5311,15.9014,6.0639,8.8123,5.2334,4.326,0.9094,2.5073,10.9254,6.3724,0.6047,4.1694,0.9699,0.4825,,1.7471
net-cash-flow,22.2849,10.5177,-0.7229,1.3873,1.0356,-0.1935,-4.0544,-4.6609,5.6486,3.3801,-1.9813,1.9666,0.2597,-0.7155,,0.7141
stock-based-compensation,,,,,,,,,,,,,,,,
