,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,375.4,350.2,318.1,252.8,281.7,381.4,235.9,254.6,939.8,128.8,281.8,718.7,-625.0,-446.0
total-depreciation-amortization-cash-flow,203.7,192.5,186.4,154.0,120.4,99.7,86.2,78.8,73.1,74.2,88.9,82.6,106.4,128.5
other-non-cash-items,128.1,119.6,165.7,229.6,132.4,35.5,150.1,65.6,-682.1,211.7,-87.0,-391.1,661.9,525.3
total-non-cash-items,331.8,312.1,352.1,383.6,252.8,135.2,236.3,144.4,-609.0,285.9,1.9,-308.5,768.3,653.8
change-in-accounts-receivable,,,,,,,,,,,,,,
change-in-accounts-payable,6.6,7.5,6.3,0.9,5.4,6.4,-4.4,0.8,-0.8,4.6,-4.2,-18.0,-11.5,-17.2
change-in-assets-liabilities,17.6,-7.8,8.5,0.3,-3.3,-1.9,-4.3,-27.9,1.8,-5.2,-13.3,-278.9,-240.7,-222.8
total-change-in-assets-liabilities,46.0,-7.4,-30.1,-133.8,-94.4,-50.6,-60.0,-64.2,-5.7,-9.1,-60.5,-179.4,-272.6,-236.2
cash-flow-from-operating-activities,762.4,658.3,640.2,502.0,444.9,470.3,411.5,342.7,331.0,406.1,227.2,230.6,-129.6,-26.7
net-change-in-property-plant-equipment,-270.1,-232.7,-179.0,-152.5,-187.7,-216.5,-159.7,-109.1,-69.3,-63.3,-1.8,-37.9,-52.0,-62.9
net-change-in-intangible-assets,,,,,,,,,,-8.0,-18.2,-0.1,-9.0,
net-acquisitions-divestitures,-143.9,-38.8,-48.1,-985.1,-694.8,-18.1,-3.1,-4.9,-34.1,,-14.6,1169.8,,
net-change-in-short-term-investments,,,,15.5,6.8,-3.1,-14.0,1.2,31.3,-11.7,7.5,63.1,161.2,58.0
net-change-in-long-term-investments,-1.7,-4.3,-1.2,-7.1,-3.5,-9.2,-9.1,-7.2,-26.0,-10.2,-4.8,-23.0,-93.2,-70.6
net-change-in-investments-total,-1.7,-4.3,-1.2,8.4,3.3,-12.3,-23.1,-6.0,5.3,-21.9,2.7,40.1,68.0,-12.6
investing-activities-other,-8.8,-7.2,-1.6,-0.6,2.3,20.7,7.1,95.4,-27.8,-39.8,-8.1,12.6,54.9,-24.5
cash-flow-from-investing-activities,-424.5,-283.0,-229.9,-1129.8,-876.9,-226.2,-178.8,-24.6,-125.9,-133.0,-40.0,1184.5,61.9,-100.0
net-long-term-debt,-415.3,-475.5,-528.4,846.6,596.3,-12.4,-13.3,-266.1,-163.2,-157.1,-252.2,-1332.4,-246.3003,-62.5
net-current-debt,325.0,273.3,335.0,,,,,,,,,,,
debt-issuance-retirement-net-total,-90.3,-202.2,-193.4,846.6,596.3,-12.4,-13.3,-266.1,-163.2,-157.1,-252.2,-1332.4,-246.3003,-62.5
net-common-equity-issued-repurchased,,-11.5,-65.6,-45.3,-43.1,-218.8,,,,,150.2,,,
net-total-equity-issued-repurchased,,-11.5,-65.6,-45.3,-43.1,-218.8,-46.0,,,,150.2,,400.0,
total-common-preferred-stock-dividends-paid,-100.8,-91.5,-83.8,-77.2,-72.1,-38.7,-24.6,-26.0,-26.0,-26.0,-26.0,-26.0,-15.7,
financial-activities-other,-130.1,-54.7,-73.6,-101.4,-46.9,-42.5,-46.1,-44.2,-48.3,-41.2,-48.0,-78.2,-207.8,-85.9
cash-flow-from-financial-activities,-321.2,-359.9,-416.4,622.7,434.2,-312.4,-130.0,-336.3,-237.5,-224.3,-176.0,-1436.6,-69.8,-148.4
net-cash-flow,16.7,15.4,-6.1,-5.1,2.2,-68.3,102.7,-18.2,-32.4,49.0,12.0,-21.4,-137.4,-258.5
stock-based-compensation,85.9,47.7,27.4,26.2,23.9,24.8,24.1,20.3,16.4,13.4,11.7,8.9,12.1,
common-stock-dividends-paid,-100.8,-91.5,-83.8,-77.2,-65.8,-15.7,0.0,,,,,,,
