,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,-63.306,54.481,17.431,52.032,65.306,55.506,53.9,58.036,66.801,68.78,24.79,58.518,54.533,28.433
total-depreciation-amortization-cash-flow,17.511,23.312,22.791,23.233,30.491,31.552,30.667,26.141,20.011,10.387,8.319,7.916,6.954,5.077
other-non-cash-items,24.57,-6.532,-17.847,6.09,-19.337,-12.109,-2.913,62.738,-9.846,-2.916,46.618,14.022,-0.26,80.99
total-non-cash-items,42.081,16.78,4.944,29.323,11.154,19.443,27.754,88.879,10.165,7.471,54.937,21.938,6.694,86.067
change-in-accounts-receivable,,,,,,,,,,,,,,
change-in-assets-liabilities,-172.547,660.685,18.31,119.28,-1.774,-4.523,39.228,-20.975,5.47,38.358,-65.821,62.416,27.224,-53.628
total-change-in-assets-liabilities,28.684,217.657,-15.904,147.739,-38.469,37.999,28.066,15.612,-39.31,-3.666,-82.709,35.438,14.359,-63.689
cash-flow-from-operating-activities,7.459,288.918,6.471,229.094,37.991,112.948,109.72,162.527,37.656,72.585,-2.982,115.894,75.586,50.811
net-change-in-property-plant-equipment,,,,,,,,,,,,,,
net-acquisitions-divestitures,,,,,,,,,,,,,,
net-change-in-long-term-investments,-12.6218,-154.5991,-80.886,-41.641,34.579,-65.935,-91.244,-13.214,-23.736,-16.683,-178.593,1.023,-9.267,-94.661
net-change-in-investments-total,-12.6218,-154.5991,-80.886,-41.641,34.579,-65.935,-91.244,-13.214,-23.736,-16.683,-178.593,1.023,-9.267,-94.661
investing-activities-other,-0.392,-0.513,-0.663,-0.641,-0.555,-0.313,0.146,-0.42,0.053,-0.489,0.03,-0.287,-0.415,
cash-flow-from-investing-activities,-32.854,-176.471,-86.299,-51.376,29.241,-82.852,-105.861,-84.651,-42.905,-35.878,-200.974,-8.654,-49.346,-102.235
net-long-term-debt,-3.236,-0.872,-1.742,-37.64,-14.835,-11.969,-26.955,-51.64,-1.367,-1.64,-1.639,-12.141,32.497,54.86
net-current-debt,,,,,,-30.0,30.0,-15.575,15.575,,,,-1.74,0.04
debt-issuance-retirement-net-total,-3.236,-0.872,-1.742,-37.64,-14.835,-41.969,3.045,-67.215,14.208,-1.64,-1.639,-12.141,30.757,54.9
net-common-equity-issued-repurchased,-22.377,-20.22,-21.371,-48.287,-11.337,-18.25,-1.983,-11.1,-6.235,-32.355,-7.645,70.279,,
net-total-equity-issued-repurchased,-22.377,-20.22,-21.371,-48.287,-11.337,-18.25,-1.983,-11.1,-6.235,-32.355,-7.645,70.279,,
total-common-preferred-stock-dividends-paid,,,,,,,,,,,,-2.448,-6.231,
financial-activities-other,-30.389,4.158,8.551,-4.01,-5.379,14.915,12.809,27.252,1.921,-8.431,19.182,-4.341,-18.252,10.35
cash-flow-from-financial-activities,-56.002,-16.934,-14.562,-89.937,-31.551,-45.304,13.871,-51.063,9.894,-42.426,9.898,51.349,6.274,65.25
net-cash-flow,-81.397,95.513,-94.39,87.781,35.681,-15.208,17.73,26.813,4.645,-5.719,-194.058,158.589,32.514,13.826
stock-based-compensation,3.357,7.076,2.463,8.29,2.371,2.781,2.626,2.072,1.894,3.924,3.268,0.2,,
common-stock-dividends-paid,,,,,,,,,,,,-2.448,-6.231,
