,2019-03-31,2018-03-31,2017-03-31,2016-03-31,2015-03-31,2014-03-31,2013-03-31,2012-03-31,2011-03-31,2010-03-31,2009-03-31,2008-03-31,2007-03-31,2006-03-31,2005-03-31
net-income-loss,7.484,-2.962,11.183,11.169,9.583,9.0,8.45,7.919,6.183,4.769,4.79,4.61,3.958,2.8,2.31
total-depreciation-amortization-cash-flow,9.428,9.471,8.737,7.174,5.656,3.844,3.432,2.215,1.844,0.786,0.788,0.742,0.669,0.09,0.09
other-non-cash-items,6.131,12.591,0.874,-1.485,1.283,-0.643,0.821,0.556,-0.031,0.314,0.472,0.255,0.128,,
total-non-cash-items,15.559,22.062,9.611,5.689,6.939,3.201,4.253,2.771,1.813,1.1,1.26,0.997,0.797,0.09,0.09
change-in-accounts-receivable,1.592,0.68,0.994,-1.958,-2.291,0.697,-1.51,0.493,-0.931,-0.043,-0.494,-0.082,-0.703,,
change-in-inventories,2.194,4.76,0.295,-1.202,-3.164,-1.3,-0.228,1.276,-0.072,-0.143,-0.479,-0.723,-0.397,,
change-in-accounts-payable,1.092,0.212,-0.655,-0.15,0.41,0.754,0.437,-0.15,-0.001,0.184,0.123,-0.084,-0.033,,
change-in-assets-liabilities,-2.844,0.559,-1.058,0.49,0.2,-1.171,-0.189,0.038,0.18,-0.063,0.101,-0.304,0.194,,
total-change-in-assets-liabilities,7.511,6.619,-3.49,0.045,-5.706,0.172,-1.301,1.799,0.872,0.111,-0.975,-0.991,-0.723,-0.81,0.02
cash-flow-from-operating-activities,30.554,25.719,17.304,16.903,10.816,12.373,11.402,12.489,8.868,5.98,5.075,4.616,4.032,2.3,2.5
net-change-in-property-plant-equipment,,,,,,,,,,,,,,,
net-acquisitions-divestitures,-4.84,-15.518,-6.8,-24.111,-20.543,-22.758,-16.66,-0.737,-17.973,-2.578,,,-2.997,0.0,0.0
net-change-in-short-term-investments,,,,,,,,,,,,,,,
net-change-in-investments-total,,,,,,,,,,,0.145,-0.145,,,
cash-flow-from-investing-activities,-3.88,-17.184,-18.405,-31.84,-23.371,-23.138,-17.568,-1.42,-20.618,-3.164,-0.531,-0.352,-3.532,0.54,0.12
net-long-term-debt,,,,,,,,,,,,,,0.0,0.0
debt-issuance-retirement-net-total,-23.625,-8.625,9.55,19.0,9.75,12.5,4.0,-6.5,6.222,,,,,0.0,0.0
net-common-equity-issued-repurchased,5.095,2.919,3.513,1.923,1.504,1.823,0.796,0.721,0.091,-0.172,0.033,-0.729,-0.349,,
net-total-equity-issued-repurchased,5.095,2.919,3.513,1.923,1.504,1.823,0.796,0.721,0.091,-0.172,0.033,-0.729,-0.349,-1.81,-1.03
total-common-preferred-stock-dividends-paid,-2.462,-2.413,-2.355,-2.303,-2.182,-1.989,-1.815,-1.645,-1.488,-1.343,-1.272,-1.14,-1.271,-1.55,-1.28
financial-activities-other,-0.68,-0.905,-9.554,,,,,,,0.059,0.036,0.029,,,
cash-flow-from-financial-activities,-21.672,-9.024,1.154,18.62,9.072,12.334,2.981,-7.424,4.825,-1.456,-1.203,-1.84,-1.62,-3.36,-2.31
net-cash-flow,4.716,-0.351,0.125,3.661,-3.541,1.569,-3.185,3.645,-6.925,1.36,3.341,2.424,-1.12,-0.51,0.3
stock-based-compensation,4.212,1.672,1.411,1.327,0.993,0.84,1.112,0.464,0.383,0.282,0.276,0.246,0.216,,
common-stock-dividends-paid,-2.462,-2.413,-2.355,-2.303,-2.182,-1.989,-1.815,-1.645,-1.488,-1.343,-1.272,-1.14,-1.271,,
