,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,17.632,-17.416,3.933,18.343,32.92,32.7432,29.9735,25.8334,18.7379,15.1833,15.438,12.9156,15.8145,14.5692
total-depreciation-amortization-cash-flow,12.627,41.524,13.917,3.174,3.665,3.4291,3.1642,2.5003,1.8537,1.7723,1.8111,1.9685,1.9763,1.7973
other-non-cash-items,12.527,13.348,11.087,3.768,3.035,3.446,2.4328,1.807,2.492,1.3802,1.909,0.9476,0.6797,2.0301
total-non-cash-items,25.154,54.872,25.004,6.942,6.7,6.8751,5.597,4.3074,4.3457,3.1525,3.7201,2.9161,2.656,3.8274
change-in-accounts-receivable,-3.898,-7.847,-3.927,-0.166,-3.956,-0.9741,1.5163,3.0142,-6.8437,-4.9483,-2.6051,-0.3282,-1.63,-1.3531
change-in-inventories,-0.081,0.28,0.014,-0.102,0.158,0.0933,-0.255,-0.446,-0.508,-1.4753,0.0759,0.218,0.3201,-0.513
change-in-accounts-payable,-1.952,0.779,-5.588,0.6,0.777,0.2335,0.511,-0.1482,0.4053,0.3826,0.1126,0.5126,-0.8469,1.0817
change-in-assets-liabilities,-9.996,-8.402,-17.611,4.741,4.101,-11.8822,-4.1762,1.5734,2.7251,-3.3832,-0.457,2.0451,-2.2157,0.2809
total-change-in-assets-liabilities,-18.857,-13.813,-26.832,5.591,-0.67,-10.5711,-3.3637,3.3994,-3.4419,-9.5235,-3.449,3.3063,-4.0015,-0.6002
cash-flow-from-operating-activities,23.929,23.643,2.105,30.876,38.95,29.0472,32.2067,33.5402,19.6417,8.8123,15.709,19.138,14.4691,17.7965
net-change-in-property-plant-equipment,,,,,,,,,,,,,,
net-acquisitions-divestitures,,,-162.611,,,,,,,,,,,
net-change-in-short-term-investments,,,,,,,,,,,,,,
net-change-in-investments-total,,,,,,,,,,,,,,
cash-flow-from-investing-activities,-0.978,-0.726,-151.789,-0.598,-1.523,-3.6848,1.4817,-14.0255,-5.3089,-2.1554,-1.5874,-1.7712,-2.4456,-12.8582
net-long-term-debt,-13.42,-6.634,118.201,,,,,,,,,,,
net-current-debt,1.71,-5.723,33.0,,,,,,,,,,,
debt-issuance-retirement-net-total,-11.71,-12.357,151.201,,,,,,,,,,,
net-common-equity-issued-repurchased,,0.001,1.134,,,,,,,1.3036,1.1523,0.9966,0.3378,2.2284
net-total-equity-issued-repurchased,,0.001,1.134,,,,,,,1.3036,1.1523,0.9966,0.3378,2.2284
total-common-preferred-stock-dividends-paid,-5.62,-11.636,-25.092,-28.943,-25.531,-22.6424,-31.4416,-15.8949,-15.7937,-15.7675,-15.6169,-15.5268,-15.481,-9.2823
financial-activities-other,-0.409,-0.625,-0.29,-0.176,0.167,0.0968,0.0012,0.1048,0.0139,0.4493,0.2814,0.2094,0.2102,
cash-flow-from-financial-activities,-17.739,-24.617,126.953,-29.119,-25.364,-22.5457,-31.4404,-15.7901,-15.7797,-14.0146,-14.1832,-14.3209,-14.933,-7.0539
net-cash-flow,5.212,-1.7,-22.731,1.159,12.063,2.8167,2.248,3.7246,-1.4469,-7.3577,-0.0616,3.0459,-2.9096,-2.1157
stock-based-compensation,9.715,7.166,5.156,5.556,4.005,1.6991,1.2648,0.9282,0.8558,0.92,0.9141,1.025,1.3762,0.051
common-stock-dividends-paid,-5.62,-11.636,-25.092,-28.943,-25.531,-22.6424,-31.4416,-15.8949,-15.7937,-15.7675,-15.6169,-15.5268,-15.481,-9.2823
