,2019-06-30,2018-06-30,2017-06-30,2016-06-30,2015-06-30,2014-06-30,2013-06-30,2012-06-30,2011-06-30,2010-06-30,2009-06-30,2008-06-30,2007-06-30,2006-06-30,2005-06-30
net-income-loss,96.072,126.15,76.086,104.476,107.735,110.948,112.561,112.331,112.302,109.776,105.242,103.558,85.111,73.351,66.132
total-depreciation-amortization-cash-flow,78.171,64.463,60.036,42.764,37.226,19.175,12.321,12.467,8.7,8.13,7.766,7.259,6.994,6.955,6.108
other-non-cash-items,32.802,-22.918,20.835,12.237,5.922,7.888,3.186,5.657,6.246,0.898,1.931,2.082,1.211,-6.88,0.978
total-non-cash-items,110.973,41.545,80.871,55.001,43.148,27.063,15.507,18.124,14.946,9.028,9.697,9.341,8.205,0.075,7.086
change-in-accounts-receivable,-15.0,-2.7,-19.686,-22.981,-11.747,1.145,-2.334,-2.096,-3.624,-4.034,0.049,-1.718,-5.004,-2.153,-1.034
change-in-inventories,-13.647,-13.327,-0.732,-6.626,-4.714,-2.895,-2.216,-1.577,-1.021,-2.368,-2.123,-1.062,0.205,1.111,-0.325
change-in-accounts-payable,6.101,5.026,5.695,8.924,2.154,1.368,0.243,1.581,-0.591,-0.074,1.394,-0.93,1.38,0.253,0.153
change-in-assets-liabilities,-0.698,2.782,-2.088,-0.381,-0.62,-0.554,-0.033,-0.476,0.256,-0.186,-0.042,0.096,-0.117,0.169,0.051
total-change-in-assets-liabilities,-27.751,1.896,-15.451,-15.041,-11.367,-1.841,-5.269,-3.939,-0.279,-7.766,-4.076,2.21,-2.981,12.034,1.111
cash-flow-from-operating-activities,181.619,170.367,143.721,144.157,139.359,136.762,123.562,126.746,127.194,111.26,111.321,115.317,90.503,85.589,74.433
net-change-in-property-plant-equipment,,,,,,,,,,,,,,,
net-acquisitions-divestitures,-289.492,-67.851,-253.785,-91.423,-420.102,-109.18,,,-131.766,,,,,-19.587,
net-change-in-short-term-investments,-21.896,27.819,3.01,0.776,13.466,182.664,-9.102,-15.285,22.154,-110.021,26.494,-8.614,-23.816,-36.777,65.146
net-change-in-long-term-investments,,21.574,-40.0,,,-10.0,,,,,,-1.723,-7.9,-9.75,
net-change-in-investments-total,-21.896,49.393,-36.99,0.776,13.466,172.664,-9.102,-15.285,22.154,-110.021,26.494,-10.337,-31.716,-46.527,65.146
investing-activities-other,,0.68,,-0.025,0.049,0.025,0.352,-0.366,-0.943,0.05,1.34,-0.808,-0.125,,-0.461
cash-flow-from-investing-activities,-336.799,-38.712,-305.954,-107.57,-426.492,49.688,-31.204,-21.668,-114.185,-114.615,21.278,-27.51,-39.917,-70.717,53.275
net-long-term-debt,,,,,,,,,,,,,-13.427,-1.189,-1.241
net-current-debt,166.5,-4.5,252.0,18.5,68.036,,,,,,,,,,
debt-issuance-retirement-net-total,166.5,-4.5,252.0,18.5,68.036,,,,,,,,-13.427,-1.189,-1.241
net-common-equity-issued-repurchased,22.545,19.17,5.257,5.458,9.731,8.326,-1.289,-23.658,2.556,-12.319,-91.357,-57.115,1.518,-14.723,-95.922
net-total-equity-issued-repurchased,22.545,19.17,5.257,5.458,9.731,8.326,-1.289,-23.658,2.556,-12.319,-91.357,-57.115,1.518,-14.723,-95.922
total-common-preferred-stock-dividends-paid,-48.364,-47.973,-47.325,-47.607,-47.107,-45.394,-43.463,-41.018,-39.691,-38.388,-28.194,,,,
financial-activities-other,-6.297,-65.885,-20.819,0.279,0.615,0.262,0.075,0.051,0.847,0.196,0.107,0.524,0.534,7.989,
cash-flow-from-financial-activities,134.384,-99.188,189.113,-23.37,31.275,-36.806,-44.677,-64.625,-36.288,-50.511,-119.444,-56.591,-11.375,-7.923,-97.163
net-cash-flow,-21.104,30.378,27.375,9.705,-264.036,154.782,47.111,39.062,-16.526,-66.801,-6.052,31.507,45.851,9.29,29.143
stock-based-compensation,32.28,28.24,14.631,9.43,5.957,3.523,1.864,1.641,1.138,1.135,1.478,1.727,1.576,1.628,
common-stock-dividends-paid,-48.364,-47.973,-47.325,-47.607,-47.107,-45.394,-43.463,-41.018,-39.691,-38.388,-28.194,,,,
