,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31
net-income-loss,-147.9579,-10.9822,-2.4554,-34.0664,-30.8831,-5.5326,-6.1719,-2.0289,-3.5326,-5.2287,-2.1959,-3.8914
total-depreciation-amortization-cash-flow,,,,,,,,,,0.0037,0.0075,0.006
other-non-cash-items,132.4355,2.2404,-4.3108,29.6133,28.9087,2.9023,2.3747,0.6643,1.4465,3.4101,0.9887,2.2984
total-non-cash-items,,,,,,,,,,,,
change-in-assets-liabilities,-0.1987,0.019,-0.0013,0.0137,-0.0675,0.1004,0.1927,0.1209,-0.0005,0.062,0.096,-0.0125
total-change-in-assets-liabilities,1.0425,0.3024,0.2562,0.1097,-0.2127,1.9357,2.2085,0.0548,1.1611,0.6932,0.4853,0.3382
cash-flow-from-operating-activities,-14.4799,-8.4394,-6.5099,-4.3434,-2.1871,-0.6946,-1.5886,-1.3099,-0.925,-1.1217,-0.7144,-1.2488
net-change-in-property-plant-equipment,,,,,,,,,,,,
cash-flow-from-investing-activities,,,,,,,,,,,,
net-current-debt,,,-0.048,,0.403,0.7402,0.605,0.7245,0.5639,0.485,0.122,0.5832
debt-issuance-retirement-net-total,,,-0.048,,0.403,0.7402,0.605,0.7245,0.5639,0.485,0.122,0.5832
net-common-equity-issued-repurchased,71.245,5.7175,7.8326,11.684,1.8775,,0.555,0.6835,,0.7,0.06,0.4575
net-total-equity-issued-repurchased,,,,,,,,,,,,
financial-activities-other,,,,-0.906,,-0.0309,0.2122,0.1286,0.2432,0.0772,0.3659,0.2776
cash-flow-from-financial-activities,71.245,5.7175,7.7846,10.778,2.2805,0.7093,1.3722,1.5366,0.8071,1.2622,0.5479,1.3183
net-cash-flow,56.6175,-2.722,1.2747,6.4346,0.0934,0.0148,-0.2164,0.2267,-0.1179,0.1404,-0.1666,0.0471
stock-based-compensation,,,,,,,,,,,,
