,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,883.9,1232.9,712.9,438.7,512.6,575.4,584.8,533.1,571.6,555.6,477.8,476.8,431.6,386.2
total-depreciation-amortization-cash-flow,552.3,533.5,500.8,459.8,247.5,232.4,232.5,235.3,209.4,203.4,191.0,173.9,165.9,171.2
other-non-cash-items,-60.5,-390.6,156.3,112.4,55.1,85.4,99.1,59.7,63.3,50.8,106.3,53.5,89.2,13.5
total-non-cash-items,491.8,142.9,657.1,572.2,302.6,317.8,331.6,295.0,272.7,254.2,297.3,227.4,255.1,184.7
change-in-accounts-receivable,-30.8,-9.2,-89.6,-88.7,-31.1,-67.5,0.6,-37.1,-25.3,74.0,28.0,-78.7,-47.9,-15.0
change-in-inventories,-18.9,-16.4,-9.6,-0.2,-0.3,-15.3,-6.3,-6.1,-5.8,-4.3,-8.6,4.8,-18.8,0.1
change-in-accounts-payable,43.3,172.3,-8.7,30.7,-21.2,60.8,-30.0,-8.7,50.1,22.8,15.9,33.9,-17.6,24.1
change-in-assets-liabilities,-91.7,78.4,-7.7,67.7,-12.9,-32.3,7.1,9.8,-13.5,5.9,-15.1,-16.3,-16.0,-5.8
total-change-in-assets-liabilities,-70.3,122.3,-172.9,-28.5,-76.2,-74.5,-75.0,27.5,39.3,52.6,5.8,5.5,-54.4,3.3
cash-flow-from-operating-activities,1305.4,1498.1,1197.1,982.4,739.0,818.7,841.4,855.6,883.6,862.4,780.9,709.7,632.3,574.2
net-change-in-property-plant-equipment,-329.7,-307.4,-248.1,-255.2,-202.1,-201.1,-170.6,-142.0,-121.3,-113.8,-156.2,-141.2,-115.0,-92.1
net-change-in-intangible-assets,0.0,-2.5,0.0,,,0.0,-2.5,,-0.4,0.0,-0.8,-0.7,-0.6,-5.4
net-acquisitions-divestitures,-114.1,-1882.6,-548.6,-3736.0,-159.4,-159.5,-335.1,-138.3,-1185.8,-215.9,-348.9,-225.1,-40.0,-342.6
net-change-in-short-term-investments,,,13.5,8.0,,7.5,,,,,109.9,25.5,-117.7,141.5
net-change-in-long-term-investments,-22.3,-36.2,-12.5,-11.7,11.4,-6.5,-26.0,,-10.0,-4.3,,,,
net-change-in-investments-total,-22.3,-36.2,1.0,-3.7,11.4,1.0,-26.0,,-10.0,-4.3,109.9,25.5,-117.7,141.5
investing-activities-other,672.8,,,,,,,,,,,,,
cash-flow-from-investing-activities,206.7,-2228.7,-795.7,-3994.9,-350.1,-359.6,-534.2,-280.3,-1317.5,-334.0,-396.0,-341.5,-273.3,-298.6
net-long-term-debt,,,,,,,,,,-5.0,5.0,-34.9,34.9,
debt-issuance-retirement-net-total,-704.6,924.0,-653.4,3109.4,-20.3,328.1,431.8,29.0,787.2,-341.8,48.6,465.0,31.9,246.8
net-common-equity-issued-repurchased,-630.9,-264.5,26.7,98.9,-154.2,-841.6,-430.7,-525.5,-254.7,-248.2,-269.2,-843.6,-394.5,-521.6
net-total-equity-issued-repurchased,,,,,,,,,,,,,,
financial-activities-other,-54.4,-66.3,-44.3,-23.7,-26.1,-4.8,-1.9,-148.5,-17.2,-10.9,2.1,14.9,9.1,-2.4
cash-flow-from-financial-activities,-1389.9,593.2,-671.0,3184.6,-200.6,-518.3,-0.8,-645.0,515.3,-600.9,-218.5,-363.7,-353.5,-277.2
net-cash-flow,110.2,-117.0,-282.8,136.4,176.0,-62.8,307.5,-71.4,82.2,-71.2,163.3,4.9,6.1,-2.2
stock-based-compensation,,,,,,,,,,,,,,
