,2019-09-30,2018-09-30,2017-09-30,2016-09-30,2015-09-30,2014-09-30,2013-09-30,2012-09-30,2011-09-30,2010-09-30,2009-09-30,2008-09-30,2007-09-30,2006-09-30,2005-09-30
net-income-loss,292.2,150.3,219.2,399.7,412.0,403.7,438.248,427.049,398.933,360.422,319.022,279.484,239.456,245.091,206.576
total-depreciation-amortization-cash-flow,93.0,72.7,76.9,79.8,68.5,62.5,62.859,60.982,52.591,48.293,44.609,36.709,32.206,29.576,27.135
other-non-cash-items,139.3,130.0,115.7,27.0,54.2,70.8,39.822,55.856,76.959,76.262,28.791,48.624,49.164,-21.158,27.626
total-non-cash-items,232.3,202.7,192.6,106.8,122.7,133.3,102.681,116.838,129.55,124.555,73.4,85.333,81.37,8.418,54.761
change-in-accounts-receivable,-111.7,-76.1,-18.0,-167.7,-79.4,-74.5,-43.301,-87.434,-41.577,-12.874,-86.012,21.978,-4.697,-111.989,-68.383
change-in-inventories,-106.9,-16.4,-7.2,-42.3,-41.6,-43.3,-76.4,-42.459,-42.235,-53.328,-39.575,-56.062,-30.066,-22.907,-21.927
change-in-accounts-payable,49.7,21.9,5.5,9.7,6.5,2.0,7.784,19.275,35.524,2.959,6.042,10.462,5.281,5.704,11.748
change-in-assets-liabilities,30.7,-3.1,-5.7,-8.4,63.4,28.6,58.904,21.758,8.342,38.029,-15.583,27.987,10.818,39.022,50.487
total-change-in-assets-liabilities,-152.7,101.9,-12.7,-150.2,-65.1,-88.0,-85.744,-51.112,-55.704,-24.191,-87.989,7.41,-20.633,-51.751,-9.54
cash-flow-from-operating-activities,371.8,454.9,399.1,356.3,469.6,449.0,455.185,492.775,472.779,460.786,304.433,372.227,300.193,201.758,251.797
net-change-in-property-plant-equipment,,,,,,,,,,,,,,,
net-acquisitions-divestitures,-576.2,-109.0,-3.0,-21.1,-95.3,-31.5,,-28.241,-9.124,-1.8,-2.55,-2.092,-52.374,,-12.372
net-change-in-short-term-investments,8.5,-1.9,-13.4,5.3,-1.2,-7.1,-10.044,-30.503,-19.205,0.0,,,93.57,45.315,120.61
net-change-in-long-term-investments,-4.5,-16.0,-8.4,-0.6,,,,,-13.597,,,,,,
net-change-in-investments-total,4.0,-17.9,-21.8,4.7,-1.2,-7.1,-10.044,-30.503,-32.802,,,,93.57,45.315,120.61
investing-activities-other,-1.5,-0.1,-46.5,-12.4,-23.0,-4.9,-9.95,-2.448,-5.078,-5.47,-12.794,-4.069,-32.719,-16.603,-12.655
cash-flow-from-investing-activities,-631.7,-174.7,-130.4,-109.2,-210.9,-133.1,-96.271,-122.295,-117.932,-74.815,-77.906,-87.585,-55.658,-11.487,51.76
net-long-term-debt,-16.8,,,,145.0,,500.0,-9.876,,,,,,,
net-current-debt,410.0,-350.0,-314.5,167.1,-86.4,-68.8,-155.0,-26.4,154.136,6.593,-3.816,-49.971,26.453,-2.697,-5.34
debt-issuance-retirement-net-total,393.2,-350.0,-314.5,167.1,58.6,-68.8,345.0,-36.276,154.136,6.593,-3.816,-49.971,26.453,-2.697,-5.34
net-common-equity-issued-repurchased,-103.3,-121.2,-222.4,-400.7,-331.0,-528.0,-290.351,-197.108,-367.587,-413.069,-73.66,-132.815,-274.796,-196.921,-188.996
net-total-equity-issued-repurchased,,,,,,,,,,,,,,,
financial-activities-other,-10.7,-15.8,144.5,-12.2,-4.3,1.3,-3.003,-1.292,-97.884,-15.699,6.195,40.71,7.823,43.869,
cash-flow-from-financial-activities,279.2,-487.0,-392.4,-245.8,-276.7,-595.5,51.646,-234.676,-311.335,-422.175,-71.281,-142.076,-240.52,-155.749,-194.336
net-cash-flow,27.7,-202.1,-127.6,-2.0,-3.8,-268.6,413.291,140.113,44.236,-33.308,156.223,134.06,-9.262,29.422,110.216
stock-based-compensation,,,,,,,,,,,,,,,
