,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2011-03-31,2010-03-31,2009-03-31,2008-03-31,2007-03-31,2006-03-31,2005-03-31
net-income-loss,16.617,28.353,11.681,9.345,8.17,16.093,14.156,0.0,-0.0435,-4.0638,5.746,37.1065,-0.8893,0.6969,-2.9836
total-depreciation-amortization-cash-flow,15.778,10.507,5.334,4.594,4.02,3.114,3.5086,,1.6745,1.379,1.0773,0.8246,0.539,0.3984,0.7563
other-non-cash-items,14.508,-13.891,6.011,7.564,4.168,3.941,-1.8292,,1.0089,1.0077,0.8294,0.8339,0.8365,0.1198,0.0036
total-non-cash-items,30.286,-3.384,11.345,12.158,8.188,7.055,1.6794,,2.6834,2.3867,1.9067,1.6586,1.3756,0.5182,0.7599
change-in-accounts-receivable,-6.101,-6.888,-3.222,-3.729,-1.597,-0.774,-1.2113,,-0.6896,-0.0293,0.5208,0.2605,-0.5324,0.1755,0.228
change-in-inventories,-4.042,0.605,-6.163,-6.149,-0.86,-0.626,2.7342,,0.2472,0.2121,0.391,-1.2897,-0.049,-0.8323,0.2461
change-in-accounts-payable,2.266,0.807,-1.802,3.024,2.288,-0.734,1.0015,,-0.0604,-0.9316,-0.7993,1.5604,0.0951,0.0495,0.3027
change-in-assets-liabilities,-4.858,-0.049,-0.28,1.996,4.701,3.659,-7.0042,,0.7115,-0.8047,-2.2595,-0.5619,0.0591,0.1354,-0.2428
total-change-in-assets-liabilities,-14.133,-7.518,-15.505,-6.45,2.043,2.782,-2.3958,,0.5919,-0.7712,-1.3456,-0.2985,-0.0808,-0.7997,1.1111
cash-flow-from-operating-activities,32.77,17.451,7.521,15.053,18.401,25.93,13.4396,,3.2318,-2.4484,6.3071,38.4666,0.4055,0.4154,-1.1126
net-change-in-property-plant-equipment,-12.782,-5.454,-4.28,-2.628,-5.602,-4.635,-1.2636,,-0.5247,-0.5973,-1.34,-1.1026,-1.3265,-0.7355,-0.0527
net-change-in-intangible-assets,-1.255,,,,,,,,,,,,,,
net-acquisitions-divestitures,,-112.795,-44.614,,-21.236,,,,-0.3,-1.78,,,,,
net-change-in-short-term-investments,,,,,,,,,,,,,,,
net-change-in-investments-total,,19.553,-0.3,7.419,7.296,-13.271,4.1045,,-0.6793,12.2988,-30.8922,-13.1261,3.1011,2.1994,0.3976
investing-activities-other,,,,,-0.25,,,,,,,,,,
cash-flow-from-investing-activities,-14.037,-98.696,-49.194,4.791,-19.792,-17.906,2.8409,,-1.504,9.9214,-32.2322,-14.2287,1.7746,1.4639,0.3449
net-long-term-debt,,,,,,,,,,,,,,,
debt-issuance-retirement-net-total,-0.011,,111.07,,,,,,-0.0569,-0.0424,-0.0429,-0.04,-0.04,-0.0076,-0.0048
net-common-equity-issued-repurchased,3.418,131.66,1.841,0.866,1.68,2.45,1.1591,,0.0066,0.054,-1.5527,0.6377,0.158,0.3401,0.0305
net-total-equity-issued-repurchased,,,,,,,,,,,,,,,
financial-activities-other,,-1.715,-0.798,-0.099,,0.072,,,,,,,,,
cash-flow-from-financial-activities,3.407,129.945,112.113,0.767,1.68,2.522,1.1591,,-0.0503,0.0116,-1.5956,0.5977,0.118,0.3325,0.0257
net-cash-flow,20.063,51.076,68.141,18.729,-4.467,10.62,18.0421,,1.6775,7.4846,-27.5207,24.8356,2.298,2.2118,-0.742
stock-based-compensation,,,,,,,,,,,,,,,
