,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,-29.399,-92.732,-22.896,-107.979,-60.508,-19.435,-85.477,-109.224,-124.534,-153.204,-237.573,-143.166,-86.248,-67.901
total-depreciation-amortization-cash-flow,3.205,4.414,5.13,5.566,9.297,8.338,10.038,11.562,13.097,14.933,14.645,8.931,8.181,8.541
other-non-cash-items,-95.899,13.479,32.758,10.798,-40.29,-1.077,26.029,20.687,21.25,11.702,12.971,8.183,9.76,0.659
total-non-cash-items,-92.694,17.893,37.888,16.364,-30.993,7.261,36.067,32.249,34.347,26.635,27.616,17.114,17.941,9.2
change-in-accounts-receivable,-2.76,10.787,-12.246,0.781,6.407,-4.473,-5.26,2.878,-1.931,0.43,0.061,-1.591,0.538,21.742
change-in-inventories,,,,,,,,,,,,,,
change-in-assets-liabilities,-6.255,-4.393,-66.632,-5.187,-30.414,75.94,16.222,-3.043,45.447,-1.021,4.119,-7.616,-15.92,-9.886
total-change-in-assets-liabilities,-10.119,8.197,-76.468,-6.498,-9.897,84.974,5.363,-1.282,37.872,-29.356,18.518,-2.096,-2.71,15.842
cash-flow-from-operating-activities,-132.212,-66.642,-61.476,-98.113,-101.398,72.8,-44.047,-78.257,-52.315,-155.925,-191.439,-128.148,-71.017,-42.859
net-change-in-property-plant-equipment,,,,,,,,,,,,,,
net-change-in-short-term-investments,,,,,,,,,20.433,16.263,-25.9,4.994,39.12,0.44
net-change-in-long-term-investments,-253.975,-112.615,,,49.553,,,,,,,,,
net-change-in-investments-total,-253.975,-112.615,,,49.553,,,,20.433,16.263,-25.9,4.994,39.12,0.44
investing-activities-other,3.394,-0.451,-0.89,-9.264,0.209,0.439,-0.425,-0.086,0.048,0.17,0.179,-0.188,0.166,0.186
cash-flow-from-investing-activities,-251.273,-112.39,-0.75,-8.151,40.904,-8.665,-2.171,-0.672,16.317,11.365,-68.473,-12.596,25.056,-2.886
net-long-term-debt,-4.0,-3.518,-2.979,-2.492,-2.057,-1.664,-1.313,-0.998,-0.717,111.284,0.76,47.974,,
net-current-debt,,,,,,,-22.261,-48.799,-30.0,-10.0,,,,
debt-issuance-retirement-net-total,-4.0,-3.518,-2.979,-2.492,-2.057,-1.664,-23.574,-49.797,-30.717,101.284,0.76,47.974,,
net-common-equity-issued-repurchased,389.031,248.805,0.37,103.628,5.225,3.315,151.218,17.977,120.466,65.368,1.733,106.736,345.224,49.34
net-total-equity-issued-repurchased,,,,,,,,,,,,,,
financial-activities-other,,,0.32,,,,,,,,,,,
cash-flow-from-financial-activities,385.031,245.287,-2.289,101.136,3.168,1.651,144.106,-14.158,89.749,166.652,-53.341,154.71,345.224,60.84
net-cash-flow,2.2,68.125,-64.809,-7.025,-58.669,65.787,98.459,-93.037,55.936,21.404,-313.66,13.945,299.263,15.095
stock-based-compensation,,,,,,,,,,,,,,
