,2019-07-31,2018-07-31,2017-07-31,2016-07-31,2015-07-31,2014-07-31,2013-07-31,2012-07-31,2011-07-31,2010-07-31,2009-07-31,2008-07-31,2007-07-31,2006-07-31,2005-07-31
net-income-loss,55.042,91.041,71.378,59.953,47.953,43.265,39.239,31.337,20.425,19.941,15.569,8.693,8.446,23.697,15.505
total-depreciation-amortization-cash-flow,42.359,34.83,33.452,25.084,24.358,19.326,17.608,16.298,12.767,11.908,11.918,12.109,10.589,10.54,5.119
other-non-cash-items,11.56,3.171,10.064,5.739,2.518,0.52,-1.818,2.95,0.785,0.723,1.017,-0.324,-6.775,-13.447,2.825
total-non-cash-items,53.919,38.001,43.516,30.823,26.876,19.846,15.79,19.248,13.552,12.631,12.935,11.785,3.814,-2.907,7.944
change-in-accounts-receivable,-23.048,-3.7,-12.86,-12.729,-3.905,-6.149,-2.447,2.307,-13.449,-1.065,-0.185,1.189,-6.334,2.982,-1.676
change-in-inventories,,,,,,,,,,,,,,,
change-in-assets-liabilities,-2.364,-5.169,-0.957,-2.85,-2.996,-2.388,-1.387,-0.345,-0.418,0.436,-1.405,-1.052,-0.117,0.285,0.171
total-change-in-assets-liabilities,-42.03,-3.13,-6.701,-10.508,-15.759,1.161,-3.535,-0.005,-5.779,-3.539,2.488,-1.921,-6.293,1.271,1.324
cash-flow-from-operating-activities,66.931,125.912,108.193,80.268,59.07,64.272,51.494,50.58,28.198,29.033,30.992,18.557,5.967,22.061,24.773
net-change-in-property-plant-equipment,,,,,,,,,,,,,,,
net-acquisitions-divestitures,,,,,,,,,,,,,,,
investing-activities-other,,,,0.339,0.241,-0.358,-0.262,0.044,-0.314,-0.513,-0.195,0.043,0.006,0.332,-0.281
cash-flow-from-investing-activities,-133.029,-125.186,-97.062,-112.982,-52.294,-47.432,-52.046,-103.115,-35.721,-8.24,-11.45,-18.466,-41.535,-45.95,-3.626
net-long-term-debt,,,,,,,,,,,,,,,
debt-issuance-retirement-net-total,27.793,74.0,10.0,37.5,-2.0,-14.5,5.0,64.588,3.0,-22.3,-15.0,1.3,19.0,20.984,-9.25
net-common-equity-issued-repurchased,-4.741,-7.074,-6.91,-3.732,-3.119,-3.805,-0.435,0.468,1.265,1.713,0.913,0.296,1.376,-1.644,2.731
net-total-equity-issued-repurchased,-4.741,-7.074,-6.91,-3.732,-3.119,-3.805,-0.435,0.468,1.265,1.713,0.913,0.296,1.376,-1.644,2.731
total-common-preferred-stock-dividends-paid,-8.35,-7.091,-5.841,-5.005,-4.154,-3.721,-3.016,-2.523,-2.064,-1.683,,,,,
financial-activities-other,,-2.698,,1.179,3.168,3.077,2.875,1.97,0.776,0.424,0.267,0.286,0.706,0.787,
cash-flow-from-financial-activities,14.702,57.137,-2.751,29.942,-6.105,-18.949,4.424,64.503,2.977,-21.846,-13.82,1.882,21.082,20.127,-6.519
net-cash-flow,-49.562,57.513,8.217,-3.353,-0.061,-2.295,3.89,11.776,-4.202,-0.756,5.05,2.458,-14.038,-3.437,15.473
stock-based-compensation,15.562,9.615,8.844,8.361,5.867,5.409,3.733,3.84,3.35,3.13,3.187,1.961,1.482,1.178,
common-stock-dividends-paid,-8.35,-7.091,-5.841,-5.005,-4.154,-3.721,-3.016,-2.523,-2.064,-1.683,,,,,
