,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,782.0,678.0,428.0,458.0,353.351,125.308,151.254,86.628,124.891,72.281,39.416,-287.305,39.968,-20.874
total-depreciation-amortization-cash-flow,220.0,186.0,171.0,166.0,150.643,134.162,100.323,101.365,63.416,51.47,46.606,29.228,5.657,3.435
other-non-cash-items,175.0,-185.0,223.0,198.0,147.495,-39.263,58.018,125.171,86.64,64.242,90.252,301.21,12.433,16.363
total-non-cash-items,395.0,1.0,394.0,364.0,298.138,94.899,158.341,226.536,150.056,115.712,136.858,330.438,18.09,19.798
change-in-accounts-receivable,-105.0,-26.0,3.0,-96.0,-50.381,-15.928,-34.441,-7.011,-7.844,-18.578,-57.672,-37.06,-21.733,-7.039
change-in-inventories,-53.0,-33.0,-30.0,-81.0,-36.542,6.217,-23.707,22.152,-48.583,-20.557,-19.56,-27.13,-9.728,-6.502
change-in-accounts-payable,45.0,10.0,-2.0,46.0,-2.106,2.389,15.112,-21.097,23.15,11.778,4.84,12.262,2.438,3.193
change-in-assets-liabilities,-8.0,163.0,8.0,-8.0,-27.776,-10.758,0.675,2.038,-1.125,-8.442,6.82,47.602,-0.91,-1.798
total-change-in-assets-liabilities,-18.0,195.0,-45.0,-40.0,-165.836,153.403,-17.973,35.027,-2.374,-15.802,-88.392,13.161,-19.058,-7.932
cash-flow-from-operating-activities,1142.0,875.0,779.0,786.0,501.271,386.421,291.873,358.14,272.573,172.191,87.882,56.294,39.0,-9.008
net-change-in-property-plant-equipment,-296.0,-310.0,-260.0,-143.0,-105.996,-79.215,-68.781,-77.8,-49.818,-52.673,-59.693,-24.301,-15.114,-11.395
net-change-in-intangible-assets,,-2.0,-11.0,0.0,-36.22,-11.344,-12.228,-1.75,-6.65,-3.4,-36.0,-0.085,-0.1,
net-acquisitions-divestitures,-100.0,278.0,-18.0,-37.0,-3.285,-523.501,-83.156,-58.302,-98.211,-1.325,-24.666,72.075,,-2.388
net-change-in-short-term-investments,-15.0,-29.0,-14.0,-6.0,-11.755,95.58,40.881,-13.769,-27.677,,,,,
net-change-in-long-term-investments,-1402.0,-99.0,-212.0,79.0,-249.368,448.831,-26.728,-249.3781,-102.697,-199.171,-156.89,-115.375,-145.521,12.248
net-change-in-investments-total,-1417.0,-128.0,-226.0,73.0,-261.123,544.4109,14.153,-263.1471,-130.374,-199.171,-156.89,-115.375,-145.521,12.248
investing-activities-other,,-52.0,,,,,,,,,,,,
cash-flow-from-investing-activities,-1813.0,-214.0,-515.0,-107.0,-406.624,-69.649,-150.012,-400.999,-285.053,-256.569,-277.249,-67.686,-160.735,-1.535
net-long-term-debt,735.0,5.0,5.0,,1102.387,-10.852,,903.492,,,-0.015,390.174,-0.109,-0.083
net-current-debt,,,,,-1244.721,,,-349.874,,-10.0,,-139.04,,
debt-issuance-retirement-net-total,735.0,5.0,5.0,,-142.3339,-10.852,,553.618,,-10.0,-0.015,251.134,-0.109,-0.083
net-common-equity-issued-repurchased,-155.0,-180.0,-195.0,-202.0,-140.855,44.44,-28.164,-502.956,74.029,-128.181,319.186,-221.443,107.966,6.046
net-total-equity-issued-repurchased,,,,,,,,,,,,,,
financial-activities-other,14.0,-1.0,-106.0,-343.0,116.441,-72.307,17.409,46.354,42.445,39.319,18.501,118.601,1.439,
cash-flow-from-financial-activities,594.0,-176.0,-296.0,-545.0,-166.748,-38.719,-10.755,97.016,116.474,-98.862,337.672,148.292,109.296,5.963
net-cash-flow,-81.0,490.0,-34.0,133.0,-75.483,277.656,131.003,54.031,104.314,-182.391,152.083,136.555,-12.436,-3.967
stock-based-compensation,,,,,,,,,,,,,,
