,2019-06-30,2018-06-30,2017-06-30,2016-06-30,2015-06-30,2014-06-30,2013-06-30,2012-06-30,2011-06-30
net-income-loss,54.713,64.883,64.615,82.728,60.28,-3.127,24.891,6.976,-12.922
total-depreciation-amortization-cash-flow,28.446,27.826,27.016,24.441,22.571,22.901,20.949,19.272,18.529
other-non-cash-items,-0.047,11.177,6.251,-23.893,2.806,7.746,-9.148,1.022,-2.487
total-non-cash-items,28.399,39.003,33.267,0.548,25.377,30.647,11.801,20.294,16.042
change-in-accounts-receivable,-23.679,-11.9,-2.765,-13.086,-1.877,-14.683,-0.729,-3.775,-4.586
change-in-inventories,-20.982,-24.292,5.432,-16.439,-19.354,-3.186,-25.106,-0.745,-8.677
change-in-accounts-payable,12.092,2.446,-3.119,-3.245,4.796,1.682,-6.601,6.41,1.147
change-in-assets-liabilities,-7.472,-0.018,-4.516,-6.09,3.18,-8.741,-6.856,-9.197,5.223
total-change-in-assets-liabilities,-35.943,-33.878,0.503,-46.058,-16.953,-28.232,-33.817,5.2,-8.968
cash-flow-from-operating-activities,47.169,70.008,98.385,37.218,68.704,-0.712,1.437,31.988,-4.68
net-change-in-property-plant-equipment,,,,,,,,,
net-acquisitions-divestitures,-9.838,-15.0,,-46.576,-10.377,,-18.692,-3.384,
net-change-in-short-term-investments,,,,,,,,,
net-change-in-investments-total,26.0,-50.0,,,,,,,
investing-activities-other,-0.404,-1.064,-1.062,0.137,-4.029,0.434,0.281,0.465,
cash-flow-from-investing-activities,-14.133,-84.612,-21.942,-82.791,-34.464,-19.412,-38.358,-17.743,-19.463
net-long-term-debt,,,,,,,,,
debt-issuance-retirement-net-total,13.351,-1.401,-39.527,62.071,-1.09,-80.099,14.799,-8.218,68.324
net-common-equity-issued-repurchased,1.134,5.699,5.541,4.017,1.334,114.429,,,
net-total-equity-issued-repurchased,1.134,5.699,5.541,4.017,1.334,114.429,,,
total-common-preferred-stock-dividends-paid,-18.592,-16.073,-15.827,-15.708,-15.595,-25.0,-3.0,,-50.0
financial-activities-other,,,-3.925,,,-4.551,-0.924,,-8.161
cash-flow-from-financial-activities,-4.107,-11.775,-53.738,50.38,-15.351,4.779,10.875,-8.218,10.163
net-cash-flow,28.405,-26.915,22.478,4.389,17.395,-15.548,-26.531,5.302,-14.107
stock-based-compensation,2.259,0.334,,,,,,,
common-stock-dividends-paid,-18.592,-16.073,-15.827,-15.708,-15.595,-25.0,-3.0,,-50.0
