,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,-5086.2,-4118.9,14979.5,3919.4,-1630.5,-750.4,98.3,259.1,183.3,222.0,238.4,141.0,-445.005,138.557
total-depreciation-amortization-cash-flow,6771.2,7528.1,6724.4,7486.5,3901.4,1322.0,684.8,472.5,281.9,189.0,170.7,253.6,218.346,206.726
other-non-cash-items,5247.2,1735.9,-19531.7,-5527.6,404.0001,805.5,-40.3,25.0,5.6,60.4,59.6,46.2,582.088,69.676
total-non-cash-items,12018.4,9264.0,-12807.3,1958.9,4305.4,2127.5,644.5,497.5,287.5,249.4,230.3,299.8,800.434,276.402
change-in-accounts-receivable,-37.0,-188.3,-191.0,-1034.3,-611.1,19.1,371.1,-590.9,-57.1,-108.2,-39.1,120.6,66.172,-82.373
change-in-inventories,,,,,,,,,,,,,,
change-in-assets-liabilities,-69.4,57.0,-254.0,-66.4,-37.9,15.2,-47.8,1.4,59.8,14.5,22.1,-3.1,-3.808,1.705
total-change-in-assets-liabilities,-1292.1,933.9,-726.5,-1272.2,-431.9,-163.6,-80.3,-124.4,88.9,-87.0,-38.2,-17.7,116.297,-90.226
cash-flow-from-operating-activities,5640.1,6079.0,1445.7,4606.1,2243.0,1213.5,665.8,632.0,571.0,376.8,416.6,427.2,471.365,325.503
net-change-in-property-plant-equipment,-223.1,-342.8,-298.1,-314.8,-224.9,-170.8,-129.5,-120.0,-53.9,-52.4,-63.5,-60.7,-22.876,-78.833
net-change-in-intangible-assets,0.0,-614.3,-2.0,-154.7,-36.1,-130.0,-9.0,-18.7,-10.9,-16.5,-37.0,-0.8,-0.597,-3.001
net-acquisitions-divestitures,,-5290.4,32605.3,-37510.1,-5562.3,-15.1,-5742.8,-575.1,-67.5,-968.2,,,-1544.322,
net-change-in-short-term-investments,,,,,,,53.7,-7.5,104.9,1.0,-1.5,-3.2,147.339,215.905
net-change-in-long-term-investments,-2471.7,-9783.8,-15743.5,858.7,452.7,40.6,-156.7,,-49.2,,8.2,-1.1,1.037,-17.716
net-change-in-investments-total,-2471.7,-9783.8,-15743.5,858.7,452.7,40.6,-103.0,-7.5,55.7,1.0,6.7,-4.3,148.376,198.189
investing-activities-other,5793.3,15153.3,7771.6,,,,235.3,2.3,2.5,,0.4,1.5,,
cash-flow-from-investing-activities,3098.5,-878.0,24333.3,-37120.9,-5370.6,-275.3,-5749.0,-719.0,-74.1,-1036.1,-93.4,-64.3,-1419.419,116.355
net-long-term-debt,-6147.5,-2863.6,-9798.7,25003.5,3229.2,-792.2,4985.8,-428.8,-459.7,323.3,-95.6,-329.5,626.637,-1.484
net-current-debt,,,,,,,375.0,400.0,,,67.9,2.6,,
debt-issuance-retirement-net-total,-6147.5,-2863.6,-9798.7,25003.5,3229.2,-792.2,5360.8,-28.8,-459.7,323.3,-27.7,-326.9,626.637,-1.484
net-common-equity-issued-repurchased,-2673.0,-309.6,-14904.3,4183.1,-24.2,-132.4,2.7,40.7,48.4,29.8,7.5,14.4,8.137,-271.576
net-total-equity-issued-repurchased,-2673.0,-309.6,-14904.3,9112.801,-24.2,-132.4,2.7,40.7,48.4,29.8,7.5,14.4,8.137,-271.576
total-common-preferred-stock-dividends-paid,-1049.8,-1218.2,-278.4,-208.1,,,,,,,,,,
financial-activities-other,190.2,-737.8,-161.1,-540.9,-187.5,57.3,-173.9,4.5,,,,,,
cash-flow-from-financial-activities,-9680.1,-5129.2,-25142.5,33367.3,3017.5,-867.3,5189.6,16.4,-411.3,353.1,-20.2,-312.5,634.774,-273.06
net-cash-flow,-936.8,93.2,628.0,846.0,-79.0,10.0,109.7,-73.5,81.4,-306.2,303.0,50.4,-313.28,168.798
stock-based-compensation,239.8,293.3,334.5,690.4,368.0,133.6,48.8,39.8,23.5,19.1,18.5,14.2,13.336,2.289
common-stock-dividends-paid,-1049.8,-1218.2,-278.4,-208.1,0.0,0.0,,,,,,,,
