,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31
net-income-loss,284.0,1296.0,87.0,388.0,357.0,226.027,176.631,240.327,165.255
total-depreciation-amortization-cash-flow,1152.0,1063.0,350.0,147.0,128.0,129.329,107.525,122.02,102.783
other-non-cash-items,-76.0,-1134.0,148.0,9.0,-6.0,-17.946,39.086,-118.847,6.822
total-non-cash-items,1076.0,-71.0,498.0,156.0,122.0,111.383,146.611,3.173,109.605
change-in-accounts-receivable,,,,,,,,,
change-in-accounts-payable,368.0,90.0,160.0,104.0,46.0,107.047,58.345,67.382,38.914
change-in-assets-liabilities,-59.0,-122.0,222.0,69.0,-21.0,53.276,27.489,-74.343,70.793
total-change-in-assets-liabilities,-106.0,-255.0,275.0,-68.0,-46.0,55.961,12.459,-82.547,103.3
cash-flow-from-operating-activities,1254.0,970.0,860.0,476.0,433.0,393.371,335.701,160.953,378.16
net-change-in-property-plant-equipment,,,,,,,,,
net-acquisitions-divestitures,-309.0,-842.0,1887.0,32.0,-92.0,-144.97,-43.197,-227.115,-100.357
net-change-in-short-term-investments,-4.0,2.0,-40.0,,,,,,
net-change-in-long-term-investments,-23.0,,62.0,,6.0,0.06,-13.711,88.086,14.476
net-change-in-investments-total,-27.0,2.0,22.0,,6.0,0.06,-13.711,88.086,14.476
investing-activities-other,-15.0,19.0,-14.0,-21.0,-4.0,-4.94,-6.718,-13.106,22.129
cash-flow-from-investing-activities,-810.0,-1190.0,1731.0,-67.0,-173.0,-236.176,-132.233,-224.838,-141.434
net-long-term-debt,899.0,2357.0,-1485.0,188.0,242.0,-387.6572,440.1381,260.121,-78.4
net-current-debt,116.0,154.0,172.0,,,,,,
debt-issuance-retirement-net-total,1015.0,2511.0,-1313.0,188.0,242.0,-387.6572,440.1381,260.121,-78.4
net-common-equity-issued-repurchased,-1390.0,-2529.0,-1000.0,-451.0,-388.0,480.456,-9.897,-13.21,-9.269
net-total-equity-issued-repurchased,-1390.0,-2529.0,-1000.0,-451.0,-388.0,480.456,-9.897,-13.21,-9.269
total-common-preferred-stock-dividends-paid,,,,,,,-567.851,-288.322,-67.493
financial-activities-other,-77.0,-54.0,29.0,14.0,16.0,-21.842,-9.263,-17.898,2.081
cash-flow-from-financial-activities,-452.0,-72.0,-2284.0,-249.0,-130.0,70.957,-146.873,-59.309,-153.081
net-cash-flow,-68.0,-239.0,221.0,110.0,90.0,210.415,51.429,-130.316,80.841
stock-based-compensation,113.0,106.0,80.0,38.0,30.0,22.826,25.926,14.13,17.329
common-stock-dividends-paid,,,,,,,-567.851,-288.322,-67.493
