,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,-96.9678,-88.2058,-73.7403,-29.1028,-36.1401,-66.0835,-19.713,-15.3041,-17.6388,-24.4589,-12.9656,-11.2044,-12.3439,-15.2969
total-depreciation-amortization-cash-flow,5.0693,3.7889,3.3523,2.2672,1.6238,2.0988,1.9949,2.0117,2.1085,1.677,0.993,0.9546,0.9116,0.7993
other-non-cash-items,13.2406,21.9211,8.3625,1.141,3.2889,47.339,-3.414,-5.1866,-0.0564,12.3752,1.0331,-0.6234,1.4433,3.4189
total-non-cash-items,18.3099,25.71,11.7147,3.4082,4.9127,49.4378,-1.419,-3.1749,2.0521,14.0521,2.0261,0.3312,2.355,4.2182
change-in-accounts-receivable,,,,,,,,,,,,,,
change-in-assets-liabilities,2.0716,-13.4773,1.4319,11.1914,0.4745,1.2405,-0.1905,-1.0042,2.3563,-4.45,-0.068,0.4074,3.2373,-0.1219
total-change-in-assets-liabilities,5.1078,-0.7131,-0.5294,13.2558,1.4038,1.2643,-1.1748,-1.2767,3.6491,-3.6734,-0.187,-0.6405,2.9458,-1.2294
cash-flow-from-operating-activities,-73.5502,-63.2089,-62.5551,-12.4389,-29.8236,-15.3814,-22.3068,-19.7557,-11.9375,-14.0802,-11.1265,-11.5138,-7.0431,-12.308
net-change-in-property-plant-equipment,-2.085,-10.2939,-2.7385,-2.7815,-1.38,-0.1769,-0.241,-0.1612,-0.1491,-0.0484,-0.1219,-0.1416,-0.0467,-0.2869
net-change-in-intangible-assets,,1.0,-0.2,1.0,0.0,2.0,0.65,0.35,,,,-0.5041,-1.3184,-0.4478
net-acquisitions-divestitures,,,,,,,,,-0.125,1.4947,-0.4619,,,-2.341
net-change-in-short-term-investments,44.5049,-18.5372,19.2104,-53.0426,-34.4322,-11.0599,4.8666,-11.0887,11.71,,,,,
net-change-in-long-term-investments,,,,,,,,,,,3.5,-2.203,-14.7,
net-change-in-investments-total,,,,,,,,,,,,,,
cash-flow-from-investing-activities,,,,,,,,,,,,,,
net-current-debt,,,,,,,,,-12.1759,-0.1608,12.1094,,,
debt-issuance-retirement-net-total,,,,,,,,,-12.1759,-0.1608,12.1094,,,
net-common-equity-issued-repurchased,31.0373,95.6902,7.9365,84.5013,72.4617,52.6919,5.3251,28.0105,2.4828,28.7651,0.0011,16.2903,14.3257,15.3047
net-total-equity-issued-repurchased,31.0373,95.6902,7.9365,84.5013,72.4617,52.6919,5.3251,28.0105,2.4828,28.7651,0.0011,16.2903,14.3257,15.3047
total-common-preferred-stock-dividends-paid,,,,,,,,,,,,-0.0233,-0.1323,-0.6139
financial-activities-other,,,-0.1496,-0.1496,,,,,,,0.05,0.036,,
cash-flow-from-financial-activities,31.0373,95.6902,7.7869,84.3517,72.4617,52.6919,5.3251,28.0105,-9.6931,28.6043,12.1605,16.303,14.1934,14.6908
net-cash-flow,-0.0929,4.6501,-38.4962,17.0887,6.8242,28.0738,-11.7041,-2.6484,-10.2977,16.1809,3.8644,1.9293,-8.845,-0.7232
stock-based-compensation,,,,,,,,,,,,,,
