,2019-06-30,2018-06-30,2017-06-30,2016-06-30,2015-06-30,2014-06-30,2013-06-30,2012-06-30,2011-06-30,2010-06-30,2009-06-30,2008-06-30,2007-06-30,2006-06-30,2005-06-30
net-income-loss,-16.43,-23.899,-29.579,-25.504,-40.209,-35.448,-97.361,-71.35,-26.657,2.841,0.609,5.383,-5.616,-33.694,-25.189
total-depreciation-amortization-cash-flow,12.019,11.346,21.895,20.825,22.014,23.556,26.643,32.955,7.566,7.122,6.651,7.688,6.246,3.806,2.08
other-non-cash-items,21.488,20.84,19.793,22.244,23.39,19.142,15.19,10.868,15.196,11.176,23.564,13.165,12.845,8.885,9.05
total-non-cash-items,33.507,32.186,41.688,43.069,45.404,42.698,41.833,43.823,22.762,18.298,30.215,20.853,19.091,12.691,11.13
change-in-accounts-receivable,-46.165,7.223,-15.732,16.994,-7.172,-14.786,10.858,-9.162,8.698,-2.448,-2.817,-23.92,-0.936,-6.59,-0.293
change-in-inventories,-14.165,-8.685,7.675,-10.502,-21.094,-8.341,-5.147,11.927,-4.321,0.244,-9.679,-10.427,-8.77,-7.762,-5.896
change-in-accounts-payable,9.456,2.002,2.189,2.404,-1.822,-1.057,-1.14,-21.425,10.662,-5.364,1.833,-1.18,9.525,-0.707,2.077
change-in-assets-liabilities,-6.701,7.927,-14.937,6.408,19.098,-4.416,3.305,18.446,-8.509,-23.026,-28.825,-8.219,-4.822,48.629,30.625
total-change-in-assets-liabilities,-46.718,10.044,-12.489,13.36,-19.604,-6.904,-10.649,-10.752,16.298,-26.212,-34.567,-49.055,-1.878,43.096,28.472
cash-flow-from-operating-activities,-29.641,18.331,-0.38,30.925,-14.409,0.346,-66.177,-38.279,12.403,-5.073,-3.743,-22.819,11.597,22.093,14.413
net-change-in-property-plant-equipment,-4.311,-6.276,-5.031,-8.066,-10.445,-11.931,-15.126,-10.769,-4.022,-5.13,-4.232,-5.03,-7.23,-10.188,-2.647
net-change-in-intangible-assets,,-0.333,-0.333,,,,-0.232,,,,,,,,
net-acquisitions-divestitures,,,,,,,,,,,,,,,
net-change-in-long-term-investments,,24.375,23.187,16.328,14.134,20.423,-102.403,,105.704,15.657,1.798,-123.562,-0.283,,-0.25
net-change-in-investments-total,,24.375,23.187,16.328,14.134,20.423,-102.403,,105.704,15.657,1.798,-123.562,-0.283,,-0.25
investing-activities-other,,,,,,,,,,,,,0.001,1.157,-0.153
cash-flow-from-investing-activities,-4.311,17.766,17.823,8.262,3.689,8.492,-121.622,-12.153,31.417,10.527,-2.434,-128.592,-7.512,-9.031,-8.663
net-long-term-debt,19.968,66.111,48.253,-1.774,,-0.417,110.462,96.1,,,,,,,
net-current-debt,4.578,-97.66,-105.158,,,,,,,,,,,-2.932,
debt-issuance-retirement-net-total,24.546,-31.549,-56.905,-1.774,,-0.417,110.462,96.1,,,,,,-2.932,
net-common-equity-issued-repurchased,3.927,4.389,3.786,3.849,6.555,9.054,7.455,4.449,5.601,3.837,5.775,-16.668,172.306,0.684,1.565
net-total-equity-issued-repurchased,,,,,,,,,,,,,,,
financial-activities-other,,-0.293,-1.419,-2.832,-0.66,-0.26,,,,,,0.419,0.553,,
cash-flow-from-financial-activities,28.473,-27.453,-54.538,-0.757,5.895,8.377,117.917,100.549,5.601,3.837,5.775,-16.249,172.859,-2.248,1.565
net-cash-flow,-5.355,8.298,-36.898,37.424,-10.582,19.033,-70.191,47.598,50.472,8.599,-0.101,-167.894,176.974,10.834,7.302
stock-based-compensation,,,,,,,,,,,,,,,
