,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,466.0,-320.0,176.0,78.0,76.0,-104.0,133.0,94.0,1152.0,197.0,32.0,-84.0,-803.0,-724.0
total-depreciation-amortization-cash-flow,847.0,914.0,891.0,838.0,877.0,564.0,452.0,428.0,411.0,413.0,386.0,336.0,316.0,327.0
other-non-cash-items,110.0,2111.0,1197.0,1748.0,1392.0,1268.0,928.0,960.0,-203.0,561.0,524.0,702.0,985.0,1206.0
total-non-cash-items,957.0,3025.0,2088.0,2586.0,2269.0,1832.0,1380.0,1388.0,208.0,974.0,910.0,1038.0,1301.0,1533.0
change-in-accounts-receivable,-134.0,-1448.0,-1604.0,-1632.0,-1896.0,-987.0,-868.0,-850.0,-731.0,-645.0,-647.0,-623.0,-440.0,-609.0
change-in-inventories,,,,,,,,,,,,,,
change-in-assets-liabilities,-102.0,26.0,40.0,38.0,44.0,13.0,3.0,-5.0,-58.0,-13.0,-37.0,39.0,31.0,-22.0
total-change-in-assets-liabilities,-374.0,-1505.0,-1706.0,-1638.0,-1658.0,-1139.0,-920.0,-985.0,-888.0,-746.0,-734.0,-628.0,-960.0,-46.0
cash-flow-from-operating-activities,1049.0,1200.0,558.0,1026.0,687.0,589.0,593.0,497.0,472.0,425.0,208.0,326.0,-462.0,763.0
net-change-in-property-plant-equipment,,,,,,,,,,,,,,
net-acquisitions-divestitures,86.0,-14.0,-55.0,-880.0,-376.0,-1495.0,-194.0,-84.0,19.0,67.0,-92.0,-36.0,-28.0,
net-change-in-short-term-investments,,,,,,,,,,-17.0,-26.0,-652.0,-43.0,-43.0
net-change-in-long-term-investments,416.0,759.0,534.0,415.0,-6.0,11.0,45.0,59.0,19.0,221.0,384.0,797.0,259.0,177.0
net-change-in-investments-total,416.0,759.0,534.0,415.0,-6.0,11.0,45.0,59.0,19.0,204.0,358.0,145.0,216.0,134.0
investing-activities-other,,-17.0,-34.0,-10.0,-7.0,11.0,-5.0,-3.0,18.0,60.0,7.0,114.0,126.0,52.0
cash-flow-from-investing-activities,-115.0,21.0,-430.0,-1317.0,-1322.0,-2164.0,-662.0,-503.0,-420.0,-125.0,-274.0,-520.0,-379.0,-392.0
net-long-term-debt,,,,-220.0,-185.0,405.0,-80.0,80.0,,,,,,
debt-issuance-retirement-net-total,-289.0,-344.0,606.0,889.0,740.0,1779.0,764.0,137.0,-285.0,-406.0,-1.0,-22.0,-20.0,335.0
net-common-equity-issued-repurchased,-631.0,-722.0,-182.0,-293.0,26.0,-378.0,-115.0,-371.0,,,,,,
net-total-equity-issued-repurchased,-631.0,-722.0,-182.0,-293.0,26.0,-378.0,-407.0,-371.0,,334.0,,,,
total-common-preferred-stock-dividends-paid,-288.0,-258.0,-218.0,-110.0,-45.0,-27.0,-29.0,-34.0,-32.0,-7.0,-3.0,-5.0,,
financial-activities-other,74.0,-2.0,26.0,-32.0,-6.0,-50.0,-8.0,-18.0,-20.0,-38.0,5.0,9.0,272.0,13.0
cash-flow-from-financial-activities,-1134.0,-1326.0,232.0,454.0,715.0,1324.0,320.0,-286.0,-337.0,-117.0,1.0,-18.0,252.0,348.0
net-cash-flow,-200.0,-105.0,360.0,163.0,80.0,-251.0,251.0,-292.0,-285.0,183.0,-65.0,-212.0,-589.0,719.0
stock-based-compensation,46.0,59.0,68.0,69.0,51.0,36.0,32.0,24.0,22.0,23.0,33.0,40.0,50.0,48.0
common-stock-dividends-paid,-288.0,-258.0,-218.0,-110.0,-45.0,-27.0,-15.0,-10.0,-8.0,-7.0,-3.0,-5.0,,
