,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
net-income-loss,-102.678,-59.731,-47.903,117.237,-110.938,-34.625,-30.3439,-3.2683
total-depreciation-amortization-cash-flow,22.448,19.798,17.888,19.84,6.485,0.216,0.1249,0.0004
other-non-cash-items,44.599,43.605,21.309,-127.499,46.003,15.327,24.3681,1.9793
total-non-cash-items,67.047,63.403,39.197,-107.659,52.488,15.543,24.493,1.9797
change-in-accounts-receivable,0.152,4.945,-6.09,-4.504,-7.959,,,
change-in-inventories,-2.773,-1.706,-0.568,-1.174,-0.282,,,
change-in-accounts-payable,-2.708,2.06,-2.916,3.379,20.604,2.842,2.9789,0.3401
change-in-assets-liabilities,-1.358,-2.702,-2.447,-0.966,0.237,-1.349,0.1352,-0.007
total-change-in-assets-liabilities,11.069,3.814,5.211,-11.372,12.6,1.493,3.1141,0.5029
cash-flow-from-operating-activities,-24.958,7.403,-3.441,-1.389,-45.85,-17.589,-2.7367,-0.7857
net-change-in-property-plant-equipment,-0.727,-0.887,-1.428,148.389,-0.663,-0.117,-0.0248,-0.0029
net-change-in-intangible-assets,-18.974,-13.122,-10.496,-7.008,-3.301,-5.433,-1.1681,
net-acquisitions-divestitures,,,-0.615,-33.43,-29.15,,,
net-change-in-short-term-investments,-168.59,12.111,-24.591,-188.553,-3.749,-1.145,,
net-change-in-long-term-investments,-15.0,,,,-0.4,1.329,-0.3729,-0.01
net-change-in-investments-total,-183.59,12.111,-24.591,-188.553,-4.149,0.184,-0.3729,-0.01
investing-activities-other,,47.5,47.5,,,-0.04,-0.1338,
cash-flow-from-investing-activities,-203.291,45.602,10.37,-80.602,-37.263,-5.406,-1.6996,-0.0129
net-long-term-debt,235.797,,,,54.007,,,
net-current-debt,,,,-45.0,,-0.885,0.8848,
debt-issuance-retirement-net-total,235.797,,,-45.0,54.007,-0.885,0.8848,
net-common-equity-issued-repurchased,15.893,11.732,10.021,160.78,46.141,29.979,3.4757,0.7627
net-total-equity-issued-repurchased,,,,,,,,
financial-activities-other,-19.827,-6.287,-13.87,-14.178,-4.828,-0.113,0.0772,0.046
cash-flow-from-financial-activities,231.863,5.445,-3.849,101.602,95.32,28.981,4.4377,0.8087
net-cash-flow,3.479,58.392,3.197,19.601,12.207,5.986,0.0013,0.0101
stock-based-compensation,,,,,,,,
