,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31
net-income-loss,-67.698,-57.01,-10.38,-22.946,-16.829,-12.7
total-depreciation-amortization-cash-flow,1.288,1.379,1.111,0.965,0.712,0.478
other-non-cash-items,19.341,6.142,2.813,0.198,0.391,-0.891
total-non-cash-items,,,,,,
change-in-accounts-payable,0.671,0.367,-0.434,1.301,-0.34,0.063
change-in-assets-liabilities,-19.43,-4.703,31.034,-11.618,29.724,0.519
total-change-in-assets-liabilities,-17.746,39.651,-14.4,-10.317,29.384,0.582
cash-flow-from-operating-activities,-64.815,-9.838,-20.856,-32.1,13.658,-12.531
net-change-in-property-plant-equipment,,,,,,
net-change-in-long-term-investments,-96.475,-36.044,-16.06,,,
net-change-in-investments-total,-96.475,-36.044,-16.06,,,
investing-activities-other,,,,0.06,-0.26,
cash-flow-from-investing-activities,,,,,,
net-common-equity-issued-repurchased,188.071,136.227,61.654,56.132,0.165,0.318
net-total-equity-issued-repurchased,,,,,,
financial-activities-other,,-0.038,-0.153,,,
cash-flow-from-financial-activities,188.071,136.189,61.501,101.969,29.055,10.953
net-cash-flow,23.408,88.8,23.502,68.617,41.737,-2.747
stock-based-compensation,,,,,,
