,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,-175.149,-114.397,-167.211,-157.803,-100.048,-46.514,-52.421,-28.675,-11.556,-9.128,-9.741,-11.959,-12.915,-14.52
total-depreciation-amortization-cash-flow,45.353,14.0,11.011,8.544,4.258,-2.09,-2.627,-3.372,-5.051,-4.558,-0.725,-2.244,-3.008,-2.926
other-non-cash-items,61.727,35.735,24.371,16.537,11.082,10.499,6.645,4.071,2.228,4.41,1.076,2.891,3.006,1.417
total-non-cash-items,107.08,49.735,35.382,25.081,15.34,8.409,4.018,0.699,-2.823,-0.148,0.351,0.647,-0.002,-1.509
change-in-accounts-receivable,,,,,,,,,,,,,,
change-in-accounts-payable,11.332,15.383,-2.598,0.661,1.886,-2.891,2.887,-0.263,0.873,-0.528,0.438,0.087,-0.31,0.103
change-in-assets-liabilities,-21.633,-20.07,0.605,-5.717,-5.346,-1.606,0.441,-0.788,-0.75,-2.756,2.335,1.311,0.772,0.682
total-change-in-assets-liabilities,-1.256,-7.062,1.763,-1.295,3.25,-2.177,3.881,0.512,0.938,-3.364,1.486,2.545,0.763,0.047
cash-flow-from-operating-activities,-69.325,-71.724,-130.066,-134.017,-81.458,-40.282,-44.522,-27.464,-13.441,-12.64,-7.904,-8.767,-12.154,-15.982
net-change-in-property-plant-equipment,-150.093,-48.48,-14.851,-20.084,-11.991,-8.748,-0.681,-2.115,-0.626,-0.462,0.27,-0.07,-0.149,-0.227
net-change-in-intangible-assets,-0.578,-20.76,0.0,-1.9,,,,,,,-0.1,-0.054,-0.245,-0.159
net-acquisitions-divestitures,-17.908,-2.98,,,,,,,,,,,,
net-change-in-short-term-investments,-613.335,-85.585,3.332,-42.771,-105.299,-26.221,-37.636,-41.292,-14.294,-2.405,8.078,8.16,4.919,16.146
net-change-in-long-term-investments,,-3.0,,,,,,,,,,,,
net-change-in-investments-total,,,,,,,,,,,,,,
cash-flow-from-investing-activities,-781.914,-160.805,-11.519,-64.755,-117.29,-34.969,-38.317,-43.407,-14.92,-2.867,8.248,8.036,4.525,15.76
net-long-term-debt,891.613,-0.174,-0.166,4.658,-0.351,-0.333,-0.107,,,1.0,,,,
net-current-debt,,,,,,,,,1.896,16.65,,,,
debt-issuance-retirement-net-total,891.613,-0.174,-0.166,4.658,-0.351,-0.333,-0.107,,1.896,17.65,,,,
net-common-equity-issued-repurchased,11.531,261.332,149.752,177.107,241.98,75.09,60.51,27.9,82.793,14.744,0.007,0.286,0.253,0.137
net-total-equity-issued-repurchased,,,,,,,,,,,,,,
financial-activities-other,30.998,-0.202,,,2.399,,,,0.5,0.1,0.1,0.1,0.22,-0.005
cash-flow-from-financial-activities,934.142,260.956,149.586,181.765,244.028,74.757,60.403,27.9,85.189,32.494,0.107,0.386,0.473,0.132
net-cash-flow,82.939,28.57,7.786,-16.996,45.28,-0.494,-22.436,-42.971,56.828,16.987,0.451,-0.345,-7.156,-0.09
stock-based-compensation,,,,,,,,,,,,,,
