,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,12.479,79.855,35.471,65.29,-17.496,6.985,2.442,-71.021,76.533,4.437,-27.528,-11.265,-47.91,-30.339
total-depreciation-amortization-cash-flow,149.888,141.714,125.434,83.766,82.327,78.442,66.478,44.166,38.23,31.334,23.105,12.952,8.35,4.359
other-non-cash-items,66.148,31.736,100.681,87.995,36.211,36.483,53.398,24.787,-21.628,25.873,47.431,13.919,21.917,16.919
total-non-cash-items,216.036,173.45,226.115,171.761,118.538,114.925,119.876,68.953,16.602,57.207,70.536,26.871,30.267,21.278
change-in-accounts-receivable,4.562,-26.61,-33.421,-9.463,-18.465,-17.384,-2.005,-9.929,-17.865,-7.828,-25.152,-8.725,-7.422,-5.219
change-in-inventories,,,,,,,,,,,,,,
change-in-assets-liabilities,-0.415,-15.731,-92.325,-35.031,24.817,-11.108,12.725,86.804,-2.105,0.006,0.274,0.349,-0.22,-0.37
total-change-in-assets-liabilities,-9.332,-76.336,-103.501,-148.324,14.506,-24.471,7.764,65.033,-27.308,-15.225,-48.01,-16.493,-7.962,-10.794
cash-flow-from-operating-activities,219.183,176.969,158.085,88.727,115.548,97.439,130.082,62.965,65.827,46.419,-5.002,-0.887,-25.605,-19.855
net-change-in-property-plant-equipment,-101.921,-110.221,-88.372,-75.732,-58.183,-47.597,-41.189,-53.37,-45.846,-32.878,-39.795,-24.403,-20.396,-12.675
net-change-in-intangible-assets,-7.682,-2.27,-5.918,-32.02,,-11.831,,,,,,,,
net-acquisitions-divestitures,-55.266,-62.37,-488.671,-1.357,-0.5,-2.987,-11.088,-37.574,-0.973,-46.055,-41.256,-6.97,,-8.8
net-change-in-short-term-investments,3.584,,278.076,-79.099,-46.142,-2.155,-102.696,-105.78,1.024,-48.97,-63.26,54.683,-66.985,43.648
net-change-in-long-term-investments,,,,,,,,,,,,-6.54,-1.996,
net-change-in-investments-total,3.584,,278.076,-79.099,-46.142,-2.155,-102.696,-105.78,1.024,-48.97,-63.26,48.143,-68.981,43.648
investing-activities-other,,,,180.694,,,7.079,-5.0,,,-0.304,-2.483,-0.452,-0.075
cash-flow-from-investing-activities,-161.285,-174.861,-304.885,-7.514,-104.825,-64.57,-147.894,-201.724,-45.795,-127.903,-144.615,14.287,-89.829,22.098
net-long-term-debt,,,,,,,,,,,,,,
debt-issuance-retirement-net-total,-19.45,-82.717,83.049,,,-74.311,,157.184,,,176.384,-0.3,-0.3,-0.018
net-common-equity-issued-repurchased,5.199,-1.869,29.608,-44.823,19.572,8.422,4.884,54.75,14.831,12.556,43.636,7.339,144.665,1.76
net-total-equity-issued-repurchased,,,,,,,,,,,,,,
financial-activities-other,-0.327,-2.442,-1.834,14.479,10.705,13.407,-27.44,-2.055,-7.749,1.902,,,,
cash-flow-from-financial-activities,-14.578,-87.028,110.823,-30.344,30.277,-52.482,-22.556,209.879,7.082,14.458,220.02,7.039,144.365,1.742
net-cash-flow,42.037,-82.85,-36.906,49.952,39.562,-20.474,-40.193,70.895,27.184,-66.905,70.403,20.439,28.931,3.985
stock-based-compensation,,,,,,,,,,,,,,
