,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,4.968,-2.139,-12.129,-6.533,-8.392,0.398,-1.763,1.348,0.053,-6.2,-23.195,-15.999,-15.044,-11.175
total-depreciation-amortization-cash-flow,2.464,3.354,2.892,2.401,2.463,2.161,1.977,2.266,2.642,3.754,3.481,2.508,2.37,2.49
other-non-cash-items,9.822,5.625,9.722,6.111,4.198,5.191,3.429,2.348,-2.48,3.127,7.473,2.905,1.736,0.855
total-non-cash-items,12.286,8.979,12.614,8.512,6.661,7.352,5.406,4.614,0.162,6.881,10.954,5.413,4.106,3.345
change-in-accounts-receivable,-6.04,-1.857,-0.771,-4.952,-0.934,-2.938,0.224,-0.435,-0.207,-0.604,-1.337,-0.21,-1.233,0.807
change-in-inventories,-4.194,0.312,0.213,-1.472,-3.943,-1.603,-1.02,-0.085,1.521,1.425,1.728,0.861,2.502,-0.45
change-in-accounts-payable,0.243,-2.501,1.007,0.014,0.972,0.367,1.014,0.48,-1.204,0.595,-2.738,-0.637,0.926,-1.155
change-in-assets-liabilities,5.504,0.059,0.115,2.269,-2.315,-0.221,-0.644,-0.576,-4.742,-0.67,6.36,-0.612,0.674,1.08
total-change-in-assets-liabilities,-4.487,-3.987,0.564,-4.141,-6.22,-4.395,-0.426,-0.616,-4.632,0.746,4.013,-0.598,2.869,0.282
cash-flow-from-operating-activities,12.767,2.853,1.049,-2.162,-7.951,3.355,3.217,5.346,-4.417,1.427,-8.228,-11.184,-8.069,-7.548
net-change-in-property-plant-equipment,,,,,,,,,,,,,,
net-acquisitions-divestitures,,,,,,,,,,,2.215,,,
net-change-in-short-term-investments,,,,,,,,,-0.132,0.174,-0.212,,-0.15,5.125
net-change-in-long-term-investments,,,,,,,,,,,,0.117,,
net-change-in-investments-total,,,,,,,,,-0.132,0.174,-0.212,0.117,-0.15,5.125
investing-activities-other,,,,,,,0.125,0.047,19.194,-7.257,-0.156,-4.173,1.076,0.145
cash-flow-from-investing-activities,-2.245,-1.046,-3.205,-2.043,-4.054,-3.448,-2.146,-0.889,18.771,-7.613,1.121,-4.675,0.14,4.067
net-long-term-debt,-2.654,-1.3,1.122,-0.391,-0.49,-0.841,-0.741,-0.575,-5.796,-1.653,-2.837,-0.274,-0.095,
net-current-debt,,,,,,,3.51,,,0.642,3.88,1.812,,-1.265
debt-issuance-retirement-net-total,-2.654,-1.3,1.122,-0.391,-0.49,-0.841,2.769,-0.575,-5.796,-1.011,1.043,1.538,-0.095,-1.265
net-common-equity-issued-repurchased,77.293,3.737,1.831,4.968,3.022,3.286,1.514,3.343,1.124,8.503,0.04,17.197,2.89,13.504
net-total-equity-issued-repurchased,,,,,,,,,,,,,,
financial-activities-other,,,,0.002,,,,,-0.05,-0.136,-0.086,,,
cash-flow-from-financial-activities,74.639,2.437,2.953,4.579,2.532,2.445,4.283,2.768,-11.522,7.356,0.997,18.735,2.795,12.239
net-cash-flow,85.358,4.523,0.597,0.389,-9.941,1.279,5.093,7.206,3.046,1.338,-5.903,3.137,-4.95,8.521
stock-based-compensation,,,,,,,,,,,,,,
