,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31
net-income-loss,-102.562,-92.189,-74.375,-31.696,-66.16,-79.293,-94.465,-109.388,-140.166,-87.703,-43.754,-21.518
total-depreciation-amortization-cash-flow,8.239,9.645,5.033,4.634,5.014,6.243,6.649,5.803,5.16,4.104,3.0,1.593
other-non-cash-items,22.228,21.052,19.415,10.567,10.45,9.553,11.0,12.61,10.149,3.824,2.128,1.566
total-non-cash-items,30.467,30.697,24.448,15.201,15.464,15.796,17.649,18.413,15.309,7.928,5.128,3.159
change-in-accounts-receivable,4.838,-2.012,-6.176,-1.738,-0.66,0.076,1.735,-4.216,-0.341,,,
change-in-inventories,3.623,-8.442,-6.151,-2.466,-1.285,-0.06,4.761,-11.409,-6.864,,,
change-in-accounts-payable,-2.239,0.764,3.402,-0.716,3.891,-1.271,-1.754,-4.773,3.637,3.891,-0.223,1.434
change-in-assets-liabilities,-0.557,3.664,-9.077,-26.474,-2.718,34.919,-4.748,8.399,6.429,1.046,0.546,0.193
total-change-in-assets-liabilities,5.665,-6.026,-18.002,-31.394,-0.772,33.664,-0.006,-11.999,2.861,4.937,0.323,1.627
cash-flow-from-operating-activities,-66.43,-67.518,-67.929,-47.889,-51.468,-29.833,-76.822,-102.974,-121.996,-74.838,-38.303,-16.732
net-change-in-property-plant-equipment,,,,,,,,,,,,
net-change-in-short-term-investments,,,,,,,,,,,,
net-change-in-investments-total,-36.561,8.843,-6.667,16.079,21.173,-32.208,63.495,15.73,-132.991,23.771,-4.69,-15.29
investing-activities-other,,,,-4.5,,,,,,,,
cash-flow-from-investing-activities,-38.415,-1.549,-14.864,8.606,19.564,-33.117,61.792,6.446,-138.25,18.594,-10.393,-18.338
net-long-term-debt,,-4.5,,,,19.766,,,,,,
net-current-debt,,,,,,,,,,-1.3,-0.4,-0.392
debt-issuance-retirement-net-total,,-4.5,,,,19.766,,,,-1.3,-0.4,-0.392
net-common-equity-issued-repurchased,107.182,73.309,65.929,36.463,41.991,23.006,2.705,7.743,212.519,0.303,0.489,0.161
net-total-equity-issued-repurchased,,,,,,,,,,,,
cash-flow-from-financial-activities,107.182,68.809,65.929,36.463,41.991,42.772,2.705,7.743,318.664,67.014,119.927,-0.225
net-cash-flow,2.337,-0.258,-16.864,-2.82,10.087,-20.178,-12.325,-88.785,58.418,10.77,71.231,-35.295
stock-based-compensation,,,,,,,,,,,,
