,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31
net-income-loss,17.503,13.681,12.16,11.623,12.243,19.145,7.635,-1.981,6.028,3.602,4.023,0.197
total-depreciation-amortization-cash-flow,9.248,8.529,7.004,4.814,3.984,2.326,2.759,19.767,4.225,5.503,6.575,6.366
other-non-cash-items,3.529,10.631,9.667,6.85,5.866,-7.049,3.562,-0.483,4.94,6.086,2.675,-0.262
total-non-cash-items,12.777,19.16,16.671,11.664,9.85,-4.723,6.321,19.284,9.165,11.589,9.25,6.104
change-in-accounts-receivable,,,,,,,,,,,,
change-in-accounts-payable,4.235,1.103,-0.776,0.57,-0.85,0.435,-1.149,1.962,-0.459,-0.116,0.502,-0.368
change-in-assets-liabilities,1.964,-2.364,-0.282,2.318,-0.873,1.061,-0.018,1.437,-0.815,-1.776,-6.078,3.006
total-change-in-assets-liabilities,2.923,19.93,-29.574,-19.181,-15.065,12.971,1.449,-1.356,-4.49,-24.116,-8.667,-2.814
cash-flow-from-operating-activities,33.203,52.771,-0.743,4.106,7.028,27.393,15.405,15.947,10.703,-8.925,4.606,3.487
net-change-in-property-plant-equipment,-5.349,0.086,-1.712,-2.213,-5.274,-0.887,-1.114,-0.551,-0.612,-0.671,-0.389,-0.73
net-change-in-intangible-assets,,,,-0.146,-0.05,0.0,,,,,,
net-acquisitions-divestitures,,,,,,,,,,,,
cash-flow-from-investing-activities,-67.789,-24.268,-21.738,-10.724,-12.496,2.893,-0.619,-1.051,-6.2,-14.848,-5.415,-12.127
net-long-term-debt,59.407,19.505,-2.113,-1.05,2.526,-0.208,-2.5,-2.292,5.0,-53.368,3.308,5.76
net-current-debt,-85.781,-3.425,25.0,,,-16.25,-12.569,-8.866,-9.054,26.495,3.865,3.325
debt-issuance-retirement-net-total,-26.374,16.08,22.887,-1.05,2.526,-16.458,-15.069,-11.158,-4.054,-26.873,7.173,9.085
net-common-equity-issued-repurchased,77.612,1.158,3.016,0.305,0.214,,,,,47.48,,
net-total-equity-issued-repurchased,77.612,1.158,3.016,0.305,0.214,,,,,47.48,,
total-common-preferred-stock-dividends-paid,,,,,,,,-2.5,,-1.673,,
financial-activities-other,,,0.487,-1.896,0.526,,,-0.034,-0.151,-0.756,-0.272,-0.427
cash-flow-from-financial-activities,51.238,17.238,26.39,-2.641,3.266,-16.458,-15.069,-13.692,-4.205,18.178,6.901,8.658
net-cash-flow,16.652,45.741,3.909,-9.259,-2.202,13.828,-0.283,1.204,0.298,-5.595,6.092,0.018
stock-based-compensation,,,,,,,,,,,,
