,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
stock-based-compensation,,,,,,,,,,,,,,
other-non-cash-items,7.603,-17.724,-2.67,12.696,-32.95,15.511,7.232,9.437,-2.928,9.36,-5.05,-2.992,-1.385,
total-non-cash-items,7.603,-17.724,-2.67,12.696,-32.95,15.511,7.232,9.437,-2.928,9.36,-5.05,-2.992,-1.385,
change-in-accounts-receivable,2326.31,2093.948,2074.024,1956.084,2162.52,2090.03,2063.805,2018.755,1877.483,1778.316,1765.667,1467.626,1247.779,1166.711
change-in-inventories,-22.703,-22.224,-22.756,,,,,,,,,,,
change-in-accounts-payable,-1989.685,-1916.119,-1808.687,-1730.062,-1806.526,-1804.028,-1664.491,-1639.848,-1536.935,-1386.382,-1495.669,-1225.968,-1058.977,-1003.264
change-in-assets-liabilities,26.383,18.392,14.597,-20.793,-20.793,-61.233,-46.369,-56.859,-56.209,-38.471,-24.418,-8.833,-53.116,-15.566
total-change-in-assets-liabilities,277.8911,121.8609,218.7358,173.514,306.262,153.6251,259.248,253.298,228.837,315.7141,196.4211,194.572,119.614,108.2841
cash-flow-from-operating-activities,285.494,104.137,216.066,186.21,273.312,169.136,266.48,262.735,225.909,325.074,191.371,191.58,118.229,108.284
net-change-in-property-plant-equipment,-125.51,-111.246,-141.038,-111.921,-120.774,-105.444,-136.544,-102.654,-87.263,-66.795,-84.809,-60.595,-52.987,-36.055
net-change-in-intangible-assets,-0.003,-3.795,-0.135,-1.372,-15.479,-0.7,-1.78,-0.436,-4.081,-9.566,-4.0,-2.075,,-5.0
net-acquisitions-divestitures,7.23,-76.645,-14.165,-4.356,-44.627,-72.054,-39.443,-158.538,-89.307,-35.99,-53.014,-387.673,-33.299,-4.344
net-change-in-short-term-investments,,,,,,,,,,,,,,
net-change-in-investments-total,-68.695,16.114,-58.542,-49.22,-9.631,179.117,-222.619,-124.704,-32.65,-61.081,1.106,200.026,-155.404,68.968
investing-activities-other,,,,,,,,,-3.211,-2.52,-5.39,-4.112,33.942,-29.741
cash-flow-from-investing-activities,-186.978,-175.572,-213.88,-166.869,-190.511,0.919,-400.386,-386.332,-216.512,-175.952,-146.107,-254.429,-207.748,-6.172
net-long-term-debt,-2.961,-0.316,-0.303,-0.282,-0.253,-300.228,-0.62,-226.835,217.927,287.927,-9.989,-17.696,-0.487,-0.447
net-current-debt,,-0.036,0.037,,-1.56,0.048,-0.191,-3.9,-0.83,-2.303,-1.642,-4.326,-0.659,-6.847
debt-issuance-retirement-net-total,-2.961,-0.352,-0.266,-0.282,-1.813,-300.18,-0.811,-230.735,217.097,285.624,-11.631,-22.022,-1.146,-7.294
net-common-equity-issued-repurchased,-34.779,11.684,11.28,8.236,15.051,11.237,10.51,14.249,12.73,10.286,12.912,11.58,9.923,8.915
net-total-equity-issued-repurchased,,,,,,,,,,,,,,
financial-activities-other,-10.94,-10.991,-1.994,0.627,-1.549,-22.754,2.889,2.926,-1.082,-1.977,5.05,2.992,1.385,-0.331
cash-flow-from-financial-activities,-48.68,0.341,9.02,8.581,11.689,-311.697,12.588,-213.56,228.745,293.933,6.331,-7.45,10.162,1.29
net-cash-flow,49.181,-72.188,-1.652,44.298,81.7,-131.837,-110.843,-332.32,256.613,445.414,42.76,-61.843,-73.109,100.982
