,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31
net-income-loss,-88.288,-70.698,-40.193,-29.672,-16.317,-3.833
total-depreciation-amortization-cash-flow,-0.046,1.571,1.308,1.052,0.184,
other-non-cash-items,16.745,9.397,8.201,15.816,2.968,0.067
total-non-cash-items,,,,,,
change-in-accounts-payable,-0.282,0.47,-0.062,-0.942,0.604,0.95
change-in-assets-liabilities,57.584,-6.99,-14.372,52.257,0.106,-0.014
total-change-in-assets-liabilities,55.702,-1.62,-11.798,54.103,1.247,1.041
cash-flow-from-operating-activities,-15.887,-61.35,-42.482,41.299,-11.918,-2.725
net-change-in-property-plant-equipment,,,,,,
net-change-in-long-term-investments,30.772,0.304,52.75,-193.739,,
net-change-in-investments-total,30.772,0.304,52.75,-193.739,,
investing-activities-other,,,,,-0.314,
cash-flow-from-investing-activities,,,,,,
net-common-equity-issued-repurchased,4.749,59.92,0.514,72.965,0.08,
net-total-equity-issued-repurchased,,,,,,
cash-flow-from-financial-activities,4.749,59.92,0.514,177.744,22.12,2.86
net-cash-flow,15.329,-5.111,5.753,24.274,6.9,0.135
stock-based-compensation,,,,,,
