,2019-09-30,2018-09-30,2017-09-30,2016-09-30,2015-09-30,2014-09-30,2013-09-30,2012-09-30,2011-09-30,2010-09-30,2009-09-30,2008-09-30,2007-09-30,2006-09-30,2005-09-30
net-income-loss,67.9749,-54.4505,-34.3803,-81.723,-91.9409,-58.6302,-31.1433,-21.1259,-3.1289,-5.774,-19.3084,-27.089,-29.9311,-18.9972,-6.8549
total-depreciation-amortization-cash-flow,5.5082,5.0824,4.6469,3.4919,3.4467,2.1395,1.8798,1.7584,0.26,0.2777,0.9946,1.1334,1.0039,0.887,0.644
other-non-cash-items,12.3933,8.0225,7.0012,8.0852,19.3788,16.0696,10.0906,3.8114,-4.794,1.3445,4.0251,-1.3959,5.0195,1.9636,-3.3331
total-non-cash-items,17.9015,13.1048,11.6482,11.5771,22.8255,18.2092,11.9705,5.5698,-4.534,1.6222,5.0197,-0.2625,6.0234,2.8506,-2.6891
change-in-accounts-receivable,,,,,,,,,,,,,,,
change-in-accounts-payable,4.8438,-1.2704,-3.51,2.5548,2.4978,1.4123,0.3216,0.2919,0.1571,-0.2033,-0.3287,-0.4376,0.5049,0.3704,-0.0688
change-in-assets-liabilities,80.1986,-5.3643,2.6977,4.1104,-3.5258,0.0393,-0.145,0.5132,0.1332,0.0554,0.2095,0.3305,-0.1304,0.6126,0.3039
total-change-in-assets-liabilities,87.1585,-5.8778,-1.2068,5.7184,3.4078,5.0047,0.14,0.2161,0.0069,-0.9015,-0.8248,-0.2332,0.0406,1.3554,0.4447
cash-flow-from-operating-activities,173.0349,-47.2234,-23.939,-64.4275,-65.7076,-35.4164,-19.0328,-15.3401,-7.656,-5.0534,-15.1135,-27.5847,-23.8671,-14.7912,-9.0993
net-change-in-property-plant-equipment,-12.0012,-1.4213,-7.9182,-3.8602,-1.9701,-1.7074,-0.2074,-0.1894,-0.0097,,0.0391,-0.6841,-0.7564,-0.7295,-0.6728
net-change-in-intangible-assets,,,,,,,,,,,,,,-0.2051,-0.0984
net-acquisitions-divestitures,,,,,-10.0,,,0.121,,,,0.1094,,,
net-change-in-short-term-investments,-35.7448,-6.0137,-40.726,17.308,26.091,-34.7744,-9.3135,0.509,,,,,,-18.5759,0.0508
net-change-in-long-term-investments,,,,,,,,,1.5347,,0.7,-2.0,,18.9684,2.9147
net-change-in-investments-total,-35.7448,-6.0137,-40.726,17.308,26.091,-34.7744,-9.3135,0.509,1.5347,,0.7,-2.0,,0.3925,2.9655
investing-activities-other,,,,,,,,,-1.7004,,0.0,0.0,0.0,,0.075
cash-flow-from-investing-activities,-47.746,-7.435,-48.6442,13.4478,14.1208,-36.4818,-9.5209,0.4406,-0.1754,,0.7391,-2.5747,-0.7564,-0.542,2.2693
net-long-term-debt,-2.4152,-0.2085,-0.1978,-0.2175,,-0.2254,-0.2148,-0.1886,,,3.706,8.8739,5.1363,,
net-current-debt,,,,,-0.214,,,,,,,,,,
debt-issuance-retirement-net-total,-2.4152,-0.2085,-0.1978,-0.2175,-0.214,-0.2254,-0.2148,-0.1886,,,3.706,8.8739,5.1363,,
net-common-equity-issued-repurchased,68.7972,60.2162,12.6919,55.9836,0.5045,185.5197,44.506,10.9582,6.2263,12.1652,2.759,7.259,15.5869,20.8865,20.7443
net-total-equity-issued-repurchased,,,,,,,,,,,,,,,
financial-activities-other,,-0.0547,-0.4388,-0.6342,,,,,,,,,,,
cash-flow-from-financial-activities,66.382,59.953,12.0553,55.1318,0.2905,185.2943,44.2912,10.7696,6.2263,12.1652,6.465,16.1329,20.7233,20.8865,20.7443
net-cash-flow,191.6709,5.2946,-60.5279,4.1521,-51.2963,113.3962,15.7372,-4.1301,0.6602,4.8269,-8.0734,-14.0265,-3.9002,5.5533,13.9144
stock-based-compensation,,,,,,,,,,,,,,,
