,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31
net-income-loss,73.185,39.122,13.425,-8.673,-15.572,24.844
total-depreciation-amortization-cash-flow,31.704,38.355,60.69,72.208,70.498,32.437
other-non-cash-items,10.441,7.7,11.535,18.947,3.506,11.713
total-non-cash-items,42.145,46.055,72.225,91.155,74.004,44.15
change-in-accounts-receivable,,,,,,
change-in-accounts-payable,1.342,4.816,0.691,2.481,14.266,0.628
change-in-assets-liabilities,65.306,10.963,20.137,0.812,15.096,32.205
total-change-in-assets-liabilities,39.601,12.881,7.101,3.63,17.716,34.437
cash-flow-from-operating-activities,156.584,97.385,91.732,85.87,75.202,98.142
net-change-in-property-plant-equipment,-16.024,-11.724,-13.537,-6.465,-5.315,-4.561
net-change-in-intangible-assets,,-0.569,,,,
net-acquisitions-divestitures,,,,,,
investing-activities-other,-0.949,0.056,0.115,0.033,0.301,0.089
cash-flow-from-investing-activities,-16.973,-12.237,-13.422,-6.432,-906.819,-4.472
net-long-term-debt,,,,,,
debt-issuance-retirement-net-total,-144.069,55.943,-391.585,-117.347,477.611,-96.431
net-common-equity-issued-repurchased,2.489,-153.771,338.621,0.858,414.0,1.629
net-total-equity-issued-repurchased,,,,,,
financial-activities-other,,,-5.044,,-9.408,-1.049
cash-flow-from-financial-activities,-141.58,-97.828,-58.008,-116.489,882.203,-95.851
net-cash-flow,-3.21,-10.915,19.67,-37.652,49.776,-2.022
stock-based-compensation,,,,,,
