,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31
net-income-loss,-372.882,-270.12,-158.987,-94.495,-33.811,-18.281,-9.632
total-depreciation-amortization-cash-flow,-8.749,0.238,0.567,0.115,0.051,0.047,0.044
other-non-cash-items,101.748,35.429,22.264,16.451,2.639,0.125,
total-non-cash-items,,,,,,,
change-in-accounts-payable,24.544,-3.693,7.796,2.59,0.441,0.674,0.609
change-in-assets-liabilities,-15.462,-1.127,-3.362,-0.681,-0.715,-0.317,0.071
total-change-in-assets-liabilities,19.212,15.176,17.478,7.248,4.079,0.593,0.662
cash-flow-from-operating-activities,-260.671,-219.277,-118.678,-70.681,-27.042,-17.516,-8.926
net-change-in-property-plant-equipment,,,,,,,
net-change-in-short-term-investments,,,,,,,
net-change-in-investments-total,,,,,,,
cash-flow-from-investing-activities,,,,,,,
net-common-equity-issued-repurchased,660.602,341.997,331.581,130.45,96.295,0.051,0.003
net-total-equity-issued-repurchased,,,,,,,
financial-activities-other,-1.244,-0.179,-0.599,-0.584,-2.285,,
cash-flow-from-financial-activities,659.358,341.818,330.982,129.866,146.87,22.783,8.997
net-cash-flow,-113.774,138.003,-17.711,58.987,119.7,5.264,-0.04
stock-based-compensation,,,,,,,
