,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,200.802,152.53,237.841,245.713,188.751,151.748,-189.102,324.967,202.455,314.011,154.602,177.162,139.43,138.817
total-depreciation-amortization-cash-flow,214.714,160.338,128.346,125.334,127.03,107.935,427.012,96.496,89.74,95.375,105.94,71.577,60.297,63.535
other-non-cash-items,82.67,-0.072,39.14,-43.381,-6.635,-5.808,-24.106,-208.107,-57.702,-151.53,-87.467,-80.701,-7.889,-27.258
total-non-cash-items,297.384,160.266,167.486,81.953,120.395,102.127,402.906,-111.611,32.038,-56.155,18.473,-9.124,52.408,36.277
change-in-accounts-receivable,-23.412,-11.039,-11.029,0.398,9.394,-1.294,-2.932,-43.561,-50.088,-4.325,13.67,1.083,30.619,39.857
change-in-inventories,,,,,,,,,,,,,,
change-in-assets-liabilities,-10.351,0.547,-3.613,-3.027,1.422,-5.926,9.595,-8.473,-7.865,-0.874,4.811,-0.707,-8.106,9.143
total-change-in-assets-liabilities,-44.297,131.974,18.574,-3.445,-9.937,-21.257,-15.41,-116.298,-66.464,-138.038,-102.559,61.159,5.665,67.266
cash-flow-from-operating-activities,435.086,426.301,410.59,303.446,290.241,231.299,194.618,94.357,143.834,120.101,83.665,234.329,198.463,238.385
net-change-in-property-plant-equipment,,,,,,,,,,,,,,
net-acquisitions-divestitures,,,,,,,,,,,,,,
net-change-in-long-term-investments,,,,,-0.04,-0.05,-0.08,-0.15,,,-0.32,0.446,2.597,0.062
net-change-in-investments-total,,,,,-0.04,-0.05,-0.08,-0.15,,,-0.32,0.446,2.597,0.062
investing-activities-other,1.548,,,,,,,,,,,,,
cash-flow-from-investing-activities,-196.394,-1832.855,-56.974,-154.848,-108.137,-372.638,-368.258,306.67,152.138,287.334,-29.613,-1513.14,-77.93,79.079
net-long-term-debt,-93.5,1223.924,-42.865,-15.657,-230.102,305.0,,59.2,-226.57,-347.59,-133.79,1156.609,-55.031,-161.127
net-current-debt,,,,,,,-0.706,-24.714,29.7,-1.452,-0.492,1.321,-59.912,18.092
debt-issuance-retirement-net-total,-93.5,1223.924,-42.865,-15.657,-230.102,305.0,-0.706,34.486,-196.87,-349.042,-134.282,1157.93,-114.943,-143.035
net-common-equity-issued-repurchased,22.655,5.571,9.068,,,,,34.009,10.657,1.553,7.955,24.171,-81.6,-23.345
net-total-equity-issued-repurchased,22.655,5.571,9.068,,,,,34.009,10.657,1.553,7.955,24.171,-81.6,-23.345
total-common-preferred-stock-dividends-paid,-62.165,-61.237,-58.96,-56.532,-56.258,-55.917,-55.589,-55.136,-54.312,-54.022,-53.047,-48.929,-44.096,-39.32
financial-activities-other,-73.423,-26.999,-25.935,-13.394,-1.343,-17.913,-9.358,-24.465,-94.974,-0.407,-1.395,-21.754,-0.129,-62.544
cash-flow-from-financial-activities,-206.433,1141.259,-118.692,-85.583,-287.703,231.17,-65.653,-11.106,-335.499,-401.918,-180.769,1111.418,-240.768,-268.244
net-cash-flow,23.603,-210.231,205.423,35.13,-128.748,94.945,-247.049,375.636,20.147,81.03,-94.067,-47.067,8.873,123.581
stock-based-compensation,22.438,19.407,16.871,14.467,12.227,11.871,8.623,4.532,8.521,7.776,8.119,7.352,5.858,
common-stock-dividends-paid,-62.165,-61.237,-58.96,-56.532,-56.258,-55.917,-55.589,-55.136,-54.312,-54.022,-53.047,-48.929,-44.096,-39.32
