,2019-09-30,2018-09-30,2017-09-30,2016-09-30,2015-09-30,2014-09-30,2013-09-30,2012-09-30,2011-09-30,2010-09-30,2009-09-30,2008-09-30,2007-09-30,2006-09-30,2005-09-30
net-income-loss,-203.6,-111.3,755.5,330.8,131.6,17.3,-1172.8,-73.6,157.15,-62.813,-2216.642,-415.588,94.578,27.423,28.256
total-depreciation-amortization-cash-flow,463.1,480.3,449.2,465.4,491.4,523.2,1633.4,351.6,304.736,371.491,2613.947,172.95,31.162,16.133,7.574
other-non-cash-items,546.3,390.1,-1093.2,-54.4,75.3,-76.6,-31.3,64.0,7.375,149.442,96.412,621.679,-9.402,-8.012,8.364
total-non-cash-items,1009.4,870.4001,-644.0,411.0001,566.7,446.6,1602.1,415.6,312.111,520.933,2710.359,794.629,21.76,8.121,15.938
change-in-accounts-receivable,-76.5,-38.2,-41.5,-31.8,-30.3,7.9,4.1,-11.0,-17.131,-20.211,57.581,-58.801,-45.367,-9.545,-9.31
change-in-inventories,-63.0,-50.6,-11.6,7.6,43.9,-44.7,25.2,-12.2,-32.158,-5.247,-14.336,-29.007,-7.997,-23.023,-4.381
change-in-accounts-payable,-5.5,23.9,-10.6,40.1,25.5,11.8,-6.4,3.8,2.589,7.151,-12.881,-10.189,14.265,3.94,3.623
change-in-assets-liabilities,8.4,-5.7,-13.0,-9.8,21.8,32.4,14.2,82.5,-0.952,21.019,19.063,21.36,16.93,2.765,5.08
total-change-in-assets-liabilities,-156.3,-26.2,-103.2,56.4,98.5,44.5,64.5,28.2,-13.237,-1.408,56.739,-16.825,37.589,-19.031,0.984
cash-flow-from-operating-activities,649.5,732.9,8.3,798.2,796.8,508.4,493.8,370.2,456.024,456.712,550.456,362.216,153.927,16.513,45.178
net-change-in-property-plant-equipment,-109.1,-105.6,-107.6,-94.5,-89.4,-70.1,-90.1,-78.7,-55.663,-46.658,-58.234,-78.885,-21.413,-12.989,-7.699
net-change-in-intangible-assets,-4.5,,,,,,60.0,8.0,10.229,70.5,-3.988,3.0,,-21.094,
net-acquisitions-divestitures,-110.6,-76.5,306.9,,,,62.0,-3772.2,-216.137,-85.357,-0.229,-2609.341,-29.926,-171.828,
net-change-in-short-term-investments,,,87.1,31.1,,,,,,,0.0,0.0,,,
net-change-in-long-term-investments,-21.2,-6.0,,,3.6,6.5,-5.6,-0.3,-5.421,-5.439,-5.872,-0.011,-2.172,,
net-change-in-investments-total,-21.2,-6.0,87.1,31.1,3.6,6.5,-5.6,-0.3,-5.421,-5.439,-5.872,-0.011,-2.172,,
investing-activities-other,-35.3,-7.1,-0.6,-5.0,-0.3,-3.4,-7.5,-7.6,0.405,-0.026,2.713,8.168,-6.393,13.929,-6.6
cash-flow-from-investing-activities,-280.7,-195.2,285.8,-68.4,-86.1,-67.0,18.8,-3850.8,-266.587,-66.98,-65.61,-2677.069,-59.904,-191.982,-14.299
net-long-term-debt,-266.7,-143.2998,-136.5,-692.8,-1143.6,-595.0,-265.0,3476.3,-1.362,,,1688.974,,,
net-current-debt,,,,50.0,175.0,,,,,-177.004,-301.258,389.2019,-53.995,52.052,-0.947
debt-issuance-retirement-net-total,-266.7,-143.2998,-136.5,-642.8,-968.5999,-595.0,-265.0,3476.3,-1.362,-177.004,-301.258,2078.176,-53.995,52.052,-0.947
net-common-equity-issued-repurchased,-212.9,-292.5,-219.8,-266.4,57.1,71.6,62.8,28.6,25.404,12.594,10.887,171.014,9.609,10.639,15.868
net-total-equity-issued-repurchased,,,,,,,,,,,,,,,
financial-activities-other,48.1,31.0,47.1,238.5,-35.9,-1.7,-46.6,-176.8,-16.368,-3.165,1.747,61.889,21.926,27.908,
cash-flow-from-financial-activities,-431.5,-404.8,-309.2,-670.7,-947.4,-525.1,-248.8,3328.1,7.674,-167.575,-288.624,2311.079,-22.46,90.599,14.921
net-cash-flow,-64.9,126.1,-7.8,57.1,-244.8,-86.4,262.1,-151.9,196.707,222.439,197.525,-4.742,70.48,-84.071,45.659
stock-based-compensation,,,,,,,,,,,,,,,
