,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,143.321,12.556,-1.636,227.444,10.892,11.42,-0.527,9.715,-10.373,-1.948,-98.114,281.688,-31.743,-36.399
total-depreciation-amortization-cash-flow,53.22,23.252,22.563,12.901,6.351,2.663,2.727,1.088,0.51,-17.217,-0.912,0.651,15.919,18.707
other-non-cash-items,39.303,69.198,52.511,-199.546,14.066,6.887,0.729,-6.105,7.502,3.711,79.723,-322.134,-113.517,-0.607
total-non-cash-items,92.523,92.45,75.074,-186.645,20.417,9.55,3.456,-5.017,8.012,-13.506,78.811,-321.483,-97.598,18.1
change-in-accounts-receivable,-29.544,-8.358,-8.525,6.489,-10.412,2.367,1.521,-3.915,-0.375,-0.618,,11.537,9.433,9.893
change-in-inventories,,,,,,,,,,,,,,
change-in-assets-liabilities,-5.14,-5.522,-1.567,-1.24,-1.785,-0.566,-0.518,8.494,-10.916,-6.722,6.032,-15.48,6.581,6.485
total-change-in-assets-liabilities,-41.785,-16.436,-12.705,0.821,-10.949,-0.702,-2.768,-5.875,-24.738,-18.329,-1.306,-58.419,-9.001,26.635
cash-flow-from-operating-activities,194.059,88.57,60.733,41.727,20.566,20.69,0.161,-1.172,-27.067,-33.801,-20.625,-97.727,-138.521,8.365
net-change-in-property-plant-equipment,-0.887,-2.156,-1.85,-0.093,-0.006,-0.377,-0.575,0.452,0.519,-0.414,-0.403,-0.118,45.103,-2.596
net-change-in-intangible-assets,-10.0,7.054,-17.695,-4.03,-1.0,-3.571,,,-1.247,0.0,,,,-33.0
net-acquisitions-divestitures,-5.856,-26.653,-93.202,-9.247,,,,-32.024,-2.834,9.796,4.135,,,
net-change-in-short-term-investments,-409.44,-57.624,-20.968,-92.752,2.342,0.0,10.0,9.346,18.456,14.955,-36.355,-5.449,7.171,1.867
net-change-in-long-term-investments,,,-1.0,,,,,,,,,,,
net-change-in-investments-total,-409.44,-57.624,-21.968,-92.752,2.342,,10.0,9.346,18.456,14.955,-36.355,-5.449,7.171,1.867
investing-activities-other,2.914,0.2,0.3,-6.74,-3.363,-1.026,-8.162,-2.906,-0.354,0.431,8.199,349.404,144.591,0.011
cash-flow-from-investing-activities,-423.269,-79.179,-134.415,-112.862,-2.027,-4.974,1.263,-25.132,14.54,24.768,-24.424,343.837,196.865,-33.718
net-long-term-debt,,,,,,,,,,,,,,
debt-issuance-retirement-net-total,532.304,,,,235.634,-19.586,-2.5,30.0,-0.091,-3.916,-1.527,-2.169,-13.346,-1.096
net-common-equity-issued-repurchased,-42.779,2.551,2.514,8.36,-51.755,3.128,6.416,-0.001,-0.068,0.228,-1.483,-35.223,9.05,0.93
net-total-equity-issued-repurchased,-42.779,2.551,2.514,8.36,-51.755,3.128,6.416,-0.001,-0.068,0.228,-1.483,-35.223,9.05,0.93
total-common-preferred-stock-dividends-paid,,,,,,,,,,,,-252.557,,
financial-activities-other,-160.94,-10.074,-7.508,,-53.854,,,,,,,-37.75,37.597,-0.035
cash-flow-from-financial-activities,328.585,-7.523,-4.994,8.36,130.025,-16.458,3.916,29.999,-0.159,-3.688,-3.01,-327.699,33.301,-0.201
net-cash-flow,99.375,1.868,-78.676,-62.775,148.564,-0.742,5.34,3.695,-12.686,-12.721,-48.059,-81.589,91.645,-25.554
stock-based-compensation,20.846,24.915,18.893,12.458,11.27,5.666,4.067,3.351,2.325,3.365,3.607,7.58,5.338,0.106
common-stock-dividends-paid,,,,,,,,,,,,-252.557,,
