,2019-08-31,2018-08-31,2017-08-31,2016-08-31,2015-08-31,2014-08-31,2013-08-31,2012-08-31,2011-08-31,2010-08-31,2009-08-31,2008-08-31,2007-08-31,2006-08-31,2005-08-31
net-income-loss,8.5833,8.9348,5.7876,4.9501,3.843,3.0255,2.8866,3.0279,2.7146,2.15,1.41,1.72,1.46,0.67,0.26
total-depreciation-amortization-cash-flow,2.7502,2.7213,2.1351,1.9323,1.9896,1.0374,0.767,0.7154,0.6904,0.68,0.56,0.54,0.51,0.36,0.2
other-non-cash-items,0.8878,-0.87,0.4816,0.3238,0.3512,1.4432,0.4119,-0.5469,0.6492,,,,,,
total-non-cash-items,3.638,1.8513,2.6167,2.2562,2.3408,2.4807,1.1789,0.1685,1.3397,0.68,0.56,0.54,0.51,0.36,0.2
change-in-accounts-receivable,,,,,,,,,,,,,,,
change-in-accounts-payable,-0.1475,0.1107,0.0993,-0.1013,0.0194,-0.0155,-0.0315,0.0014,0.0579,,,,,,
change-in-assets-liabilities,-0.8639,-0.3089,-1.0133,0.2731,-0.5545,-0.0747,-0.016,-0.0363,-0.0129,,,,,,
total-change-in-assets-liabilities,-0.583,-1.4989,-1.5265,-1.7911,0.9523,-0.2,-1.5031,0.5876,-0.5568,0.6,0.08,-0.38,0.9,0.11,0.98
cash-flow-from-operating-activities,11.6384,9.2872,6.8777,5.4152,7.136,5.3062,2.5624,3.784,3.4975,2.9,2.49,2.47,2.96,1.14,1.43
net-change-in-property-plant-equipment,-1.9057,-2.3287,-1.5597,-1.235,-1.2403,-1.3936,-1.1817,0.908,-0.8162,-0.93,-0.71,-0.81,-0.63,-0.54,-0.54
net-change-in-intangible-assets,-0.05,,,,,-2.5,,,,,,,,,
net-acquisitions-divestitures,,,,,,,,,,0.0,0.75,-0.75,0.0,0.0,0.0
investing-activities-other,,,,,,,,-0.0685,-0.2529,,,,0.006,-0.8,0.02
cash-flow-from-investing-activities,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
net-common-equity-issued-repurchased,0.7881,0.6356,0.1114,0.182,0.057,0.0986,0.028,0.3016,-1.9032,,,,,,
net-total-equity-issued-repurchased,0.7881,0.6356,0.1114,0.182,0.057,0.0986,0.028,0.3016,-1.9032,-0.93,-0.94,0.43,0.51,0.13,0.1
total-common-preferred-stock-dividends-paid,-4.1971,-4.1617,-3.4485,-3.4133,-3.3756,-3.0756,-4.0012,-2.383,,0.0,0.0,0.0,0.0,0.0,0.0
financial-activities-other,-4.239,-0.2473,-1.0,-0.75,-0.75,,0.0708,-0.0221,0.0241,1.13,,,,,
cash-flow-from-financial-activities,-7.6479,-3.7735,-4.3371,-3.9812,-4.0685,-2.977,-3.9024,-2.1034,-1.8791,0.19,-0.94,0.43,0.51,0.13,0.1
net-cash-flow,2.0348,3.185,-1.8146,-0.521,-0.0627,-1.5644,-2.5218,2.52,0.5493,2.15,1.58,1.35,2.85,-0.06,1.02
stock-based-compensation,1.0778,0.7091,0.6218,0.3471,0.2952,0.1443,0.1157,0.1277,0.1553,,,,,,
common-stock-dividends-paid,-4.1971,-4.1617,-3.4485,-3.4133,-3.3756,-3.0756,-4.0012,-2.383,,,,,,,
