,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31
net-income-loss,-10.878,-22.996,-8.558,-7.581,-19.071,-41.303,-30.857,-16.55,-8.541,-20.289,-45.127
total-depreciation-amortization-cash-flow,1.147,1.042,4.546,5.409,6.687,10.428,13.144,12.281,8.992,7.077,4.418
other-non-cash-items,7.98,6.893,5.631,4.844,6.51,5.903,7.236,9.356,10.023,5.399,3.359
total-non-cash-items,9.127,7.935,10.177,10.253,13.197,16.331,20.38,21.637,19.015,12.476,7.777
change-in-accounts-receivable,0.96,-5.298,1.405,-3.459,1.587,1.629,11.372,-3.583,-8.087,-1.054,0.226
change-in-inventories,0.447,-0.21,0.167,0.403,0.092,-0.185,3.186,-1.671,0.098,0.058,-1.382
change-in-accounts-payable,-0.524,-0.801,0.942,-1.274,0.713,0.308,-6.71,1.156,-2.105,1.068,4.941
change-in-assets-liabilities,-13.745,12.176,-6.976,0.84,4.333,0.092,-5.973,-0.157,-18.352,-3.479,-3.653
total-change-in-assets-liabilities,-12.343,6.306,-3.479,-3.105,6.195,1.974,-1.415,-5.577,-26.857,-0.973,1.034
cash-flow-from-operating-activities,-14.094,-8.755,-1.86,-0.433,0.321,-22.998,-11.892,-0.49,-16.383,-8.786,-36.316
net-change-in-property-plant-equipment,-2.766,-0.983,-0.846,-1.181,-0.135,-0.937,-2.933,-10.736,-6.975,-10.697,-8.537
net-change-in-intangible-assets,,,,,,,,,-20.705,,
net-acquisitions-divestitures,,,,,,,,,,,
net-change-in-long-term-investments,,,,,3.0,13.409,19.644,-38.027,23.249,-10.454,14.322
net-change-in-investments-total,,,,,3.0,13.409,19.644,-38.027,23.249,-10.454,14.322
investing-activities-other,,,,-0.076,0.282,0.8,,-0.045,-0.735,0.193,1.271
cash-flow-from-investing-activities,-2.766,-0.983,-0.846,-1.257,4.647,13.272,16.711,-48.808,-5.166,-20.958,7.056
net-long-term-debt,,,,,,,,,,,
debt-issuance-retirement-net-total,-0.238,-0.175,,,,,,,,,
net-common-equity-issued-repurchased,42.177,24.048,1.034,0.289,0.204,0.318,1.257,2.579,74.135,0.117,0.378
net-total-equity-issued-repurchased,,,,,,,,,,,
financial-activities-other,-3.37,-2.223,-1.524,-1.813,-0.815,-0.465,,,-11.896,-7.046,-4.264
cash-flow-from-financial-activities,38.569,21.65,-0.49,-1.524,-0.611,-0.147,1.257,2.579,62.239,39.997,-3.886
net-cash-flow,21.709,11.912,-3.196,-3.214,4.357,-9.873,6.241,-46.634,40.611,9.882,-33.172
stock-based-compensation,,,,,,,,,,,
