,2018-12-31,2017-12-31,2016-12-31,2015-12-31
net-income-loss,-88.96,-32.744,-3.085,-0.158
total-depreciation-amortization-cash-flow,0.35,0.02,,
other-non-cash-items,6.785,4.996,1.063,
total-non-cash-items,,,,
change-in-accounts-payable,6.392,3.642,0.529,0.004
change-in-assets-liabilities,4.184,-4.956,-0.266,-0.002
total-change-in-assets-liabilities,14.731,1.87,0.289,-0.007
cash-flow-from-operating-activities,-67.094,-25.858,-1.733,-0.165
net-change-in-property-plant-equipment,,,,
cash-flow-from-investing-activities,,,,
net-common-equity-issued-repurchased,10.197,221.447,4.985,
net-total-equity-issued-repurchased,10.197,221.447,4.985,
total-common-preferred-stock-dividends-paid,,,,
cash-flow-from-financial-activities,10.197,221.447,4.194,
net-cash-flow,-58.804,195.506,2.461,-0.165
stock-based-compensation,6.721,3.184,0.051,
common-stock-dividends-paid,,,-0.791,
