,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,206.9,150.7,143.6,95.6,127.1,112.3,80.7,75.5,65.3,72.6,86.6,71.2,67.1,46.4
total-depreciation-amortization-cash-flow,104.4,96.7,90.7,89.9,90.0,85.2,76.9,75.7,73.2,68.1,60.6,56.6,52.7,47.4
other-non-cash-items,5.6,57.3,43.8,37.7,-3.6,26.7,33.1,0.6,12.3,12.6,17.9,16.4,24.8,12.4
total-non-cash-items,110.0,154.0,134.5,127.6,86.4,111.9,110.0,76.3,85.5,80.7,78.5,73.0,77.5,59.8
change-in-accounts-receivable,-43.8,-39.7,-23.3,-14.1,-6.3,-9.1,-25.7,-25.5,9.4,-6.0,1.9,-20.5,2.8,-13.3
change-in-inventories,-7.0,-3.6,-21.2,-11.4,-16.2,-13.9,-8.9,-9.3,-20.7,-6.4,-13.4,-9.0,-22.8,-0.8
change-in-accounts-payable,0.4,12.6,6.1,17.2,-3.5,4.6,5.8,24.6,-0.3,-0.7,-3.3,16.0,15.8,7.1
change-in-assets-liabilities,22.1,-10.7,-20.3,-2.5,-4.6,14.7,25.5,-10.9,-0.9,-2.5,-15.3,-1.5,-1.0,-13.6
total-change-in-assets-liabilities,-28.3,-41.4,-58.7,-10.8,-30.6,-3.7,-3.3,-21.1,-12.5,-15.6,-30.1,-15.0,-5.2,-20.6
cash-flow-from-operating-activities,288.6,263.3,219.4,212.4,182.9,220.5,187.4,130.7,138.3,137.7,135.0,129.2,139.4,85.6
net-change-in-property-plant-equipment,-104.7,-130.8,-170.2,-131.6,-111.9,-151.9,-131.3,-95.4,-71.1,-104.9,-138.6,-129.4,-90.3,-54.1
net-change-in-intangible-assets,,,,,-0.2,,-0.7,-1.4,-2.7,-2.9,-0.5,-4.7,,
net-acquisitions-divestitures,,-6.0,,,,-3.9,,,-3.7,-16.9,,,,-174.8
net-change-in-short-term-investments,,,,,7.5,4.9,14.4,-25.6,,,,,,
net-change-in-long-term-investments,,,-8.4,-1.5,-0.5,,,,-7.2,2.6,16.8,-22.7,,
net-change-in-investments-total,,,-8.4,-1.5,7.0,4.9,14.4,-25.6,-7.2,2.6,16.8,-22.7,,
investing-activities-other,3.9,3.2,2.8,3.6,1.1,1.0,1.6,1.9,10.7,0.2,2.6,0.9,0.4,1.5
cash-flow-from-investing-activities,-100.8,-133.6,-175.8,-129.5,-104.0,-149.9,-116.0,-120.5,-74.0,-121.9,-119.7,-155.9,-89.9,-227.4
net-long-term-debt,-0.1,-34.9,-69.8,44.0,-22.3,305.4,520.5,192.9,26.6,16.4,9.5,137.2,-57.6,131.6
net-current-debt,,,,,,,,,-1.1,-4.3,3.1,0.3,-2.0,-10.0
debt-issuance-retirement-net-total,-0.1,-34.9,-69.8,44.0,-22.3,305.4,520.5,192.9,25.5,12.1,12.6,137.5,-59.6,121.6
net-common-equity-issued-repurchased,-38.5,-34.3,-26.2,10.3,13.0,19.0,6.2,2.3,1.6,3.7,1.0,-38.6,4.4,11.4
net-total-equity-issued-repurchased,-38.5,-34.3,-26.2,10.3,13.0,19.0,6.2,2.3,1.6,3.7,1.0,-38.6,4.4,11.4
total-common-preferred-stock-dividends-paid,-42.1,-39.1,-35.8,-32.4,-29.1,-26.7,-24.9,-23.2,-21.7,-20.1,-18.6,-17.5,-15.9,-14.1
financial-activities-other,,-0.7,17.9,-63.4,7.6,-302.8,-505.2,-196.7,-39.4,-18.3,-24.4,3.2,10.9,1.6
cash-flow-from-financial-activities,-80.7,-109.0,-113.9,-41.5,-30.8,-5.1,-3.4,-24.7,-34.0,-22.6,-29.4,84.6,-60.2,120.5
net-cash-flow,101.5,32.9,-71.6,19.3,25.3,68.1,70.1,-18.4,27.1,-4.1,-21.2,61.3,-1.7,-20.0
stock-based-compensation,15.1,16.1,19.5,29.6,18.6,21.2,15.5,8.4,7.8,7.5,6.4,5.1,14.5,8.1
common-stock-dividends-paid,-42.1,-39.1,-35.8,-32.4,-29.1,-26.7,-24.9,-23.2,-21.7,-20.1,-18.6,-17.5,-15.9,-14.1
