,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,421.8078,-36.2355,-39.698,-39.4513,-265.4631,-17.1773,-14.0595,29.0996,-50.3483,-19.4004,-10.1526,-5.6386,-9.8987,-2.2876
total-depreciation-amortization-cash-flow,0.0696,0.1322,0.1743,0.2474,0.3516,0.4631,0.4194,0.5683,0.6253,0.4751,0.4599,1.2489,1.5555,1.3274
other-non-cash-items,-355.8981,9.3804,4.0218,1.8489,1.8076,2.386,-6.8728,-48.0245,39.7591,9.6646,2.551,-0.8594,3.7174,-0.0928
total-non-cash-items,-355.8285,9.5126,4.196,2.0963,2.1591,2.8492,-6.4534,-47.4562,40.3844,10.1397,3.0109,0.3896,5.2729,1.2346
change-in-accounts-receivable,-0.0497,1.3523,0.5224,-3.1851,0.4904,3.7595,-2.1044,0.365,-0.5963,-0.4463,-0.9731,-0.3695,0.266,-0.7742
change-in-inventories,,,,,,,,,,,,,,
change-in-assets-liabilities,1.3192,-13.8595,-67.8932,43.1894,279.9557,76.4456,12.4855,40.9061,-0.1393,0.0543,0.018,-0.0046,-0.3403,0.2821
total-change-in-assets-liabilities,2.8919,8.3361,-81.3111,48.4644,277.4805,72.7647,0.2902,43.9307,-0.8615,0.7898,-0.0562,-0.1988,0.1878,-0.3395
cash-flow-from-operating-activities,68.8713,-18.3868,-116.813,11.1094,14.1765,58.4365,-20.2228,25.574,-10.8254,-8.4708,-7.1979,-5.4478,-4.438,-1.3925
net-change-in-property-plant-equipment,,,,,,,,,,,,,,
net-change-in-short-term-investments,,,,,,,,,,,,,,
net-change-in-investments-total,,,,,,,,14.9953,-9.9859,-4.9993,,,,
investing-activities-other,78.3388,,1.2126,4.0,-4.0,,-1.348,,,,,,,
cash-flow-from-investing-activities,78.2366,-0.1001,1.1887,3.891,-3.4584,-0.8573,-1.9362,14.7583,-10.5359,-5.34,-0.3402,-1.2431,-0.8842,-0.8619
net-long-term-debt,,,,-2.0,-2.0,-1.0,4.91,,,,,-0.1303,-0.1075,0.2142
net-current-debt,,,28.6944,,,,,,,18.5654,,,,
debt-issuance-retirement-net-total,,,28.6944,-2.0,-2.0,-1.0,4.91,,,18.5654,,-0.1303,-0.1075,0.2142
net-common-equity-issued-repurchased,0.2619,0.0055,34.5965,0.0122,0.102,2.8684,0.0096,3.9462,13.197,7.4202,3.1864,3.014,12.7623,1.7917
net-total-equity-issued-repurchased,,,,,,,,,,,,,,
financial-activities-other,-4.0744,-0.5911,-4.2036,-0.0155,-0.4159,-0.1553,,-1.3537,,,-0.159,,1.5345,
cash-flow-from-financial-activities,-3.8126,-0.5856,59.0874,-2.0033,-2.3139,1.7131,4.9196,2.5926,13.197,25.9857,3.0273,2.8837,14.1892,2.0059
net-cash-flow,143.2953,-19.0725,-56.537,12.9971,8.4042,59.2923,-17.2394,42.9249,-8.1643,12.1748,-4.5108,-3.8072,8.867,-0.2484
stock-based-compensation,,,,,,,,,,,,,,
