,2019-03-31,2018-03-31,2017-03-31,2016-03-31,2015-03-31,2014-03-31,2013-03-31,2012-03-31,2011-03-31,2010-03-31,2009-03-31,2008-03-31,2007-03-31,2006-03-31,2005-03-31
net-income-loss,55.019,45.572,-26.268,-55.579,16.897,35.148,38.8,66.886,79.98,58.37,59.304,51.98,49.109,68.396,39.233
total-depreciation-amortization-cash-flow,109.418,89.247,89.733,89.911,86.053,81.74,66.62,49.966,48.145,43.236,36.462,31.197,27.504,25.15,27.576
other-non-cash-items,57.594,5.552,90.456,113.734,28.869,25.709,16.856,15.906,14.342,24.985,15.514,5.197,16.294,6.512,4.91
total-non-cash-items,167.012,94.799,180.189,203.645,114.922,107.449,83.476,65.872,62.487,68.221,51.976,36.394,43.798,31.662,32.486
change-in-accounts-receivable,-38.064,5.087,3.155,-10.328,8.446,6.063,-38.08,-10.539,-3.92,4.364,0.002,-18.229,0.077,-10.305,3.025
change-in-inventories,,,,,,,,,,,,,,,
change-in-assets-liabilities,0.494,17.67,-18.253,3.121,-8.013,3.176,-6.187,3.156,-0.47,-13.809,-4.241,6.439,-2.755,-1.373,2.121
total-change-in-assets-liabilities,-62.75,79.979,5.817,-26.201,-4.641,-3.073,-37.202,-17.44,-19.012,4.077,5.084,-10.705,-9.344,-14.442,-0.512
cash-flow-from-operating-activities,159.281,220.35,159.738,121.865,127.178,139.524,85.074,115.318,123.455,130.668,116.364,77.669,83.563,85.616,71.207
net-change-in-property-plant-equipment,-116.148,-72.041,-73.313,-101.768,-121.768,-73.16,-60.22,-52.196,-45.201,-54.519,-53.996,-55.956,-37.595,-28.085,-8.613
net-change-in-intangible-assets,,,,,,,,,,,,,-1.02,-4.02,-5.609
net-acquisitions-divestitures,,9.0,,-3.0,,-32.67,-536.175,,-6.357,-77.816,-6.004,-46.891,-32.501,,
net-change-in-short-term-investments,,,,,,,,,,,,,,,38.65
net-change-in-long-term-investments,,,,,,,,,,,,,,,-5.0
net-change-in-investments-total,,,,,,,,,,,,,,,
cash-flow-from-investing-activities,-116.148,-63.041,-73.313,-104.768,-121.768,-105.83,-596.395,-52.196,-51.558,-132.335,-60.0,-102.847,-71.116,-32.105,19.428
net-long-term-debt,80.927,-61.654,-42.683,-21.342,-9.579,-38.027,474.114,-0.815,-0.632,-0.754,-0.694,-0.638,-6.303,-6.254,-6.171
net-current-debt,15.0,0.671,-50.727,2.272,0.843,-5.521,7.446,-0.288,-15.153,6.184,-5.58,-18.709,-4.127,1.342,-5.48
debt-issuance-retirement-net-total,95.927,-60.983,-93.41,-19.07,-8.736,-43.548,481.56,-1.103,-15.785,5.43,-6.274,-19.347,-10.43,-4.912,-11.651
net-common-equity-issued-repurchased,-146.555,-59.66,32.997,-42.611,-24.98,20.454,-18.341,-30.8,-5.423,-19.821,-31.933,-55.542,-27.324,16.61,26.182
net-total-equity-issued-repurchased,,,,,,,,,,,,,,,
financial-activities-other,,,,-0.943,0.556,2.395,-1.366,1.433,3.124,0.421,7.47,1.661,2.2,0.396,
cash-flow-from-financial-activities,-50.628,-120.643,-60.413,-62.624,-33.16,-20.699,461.853,-30.47,-18.084,-13.97,-30.737,-73.228,-35.554,12.094,14.531
net-cash-flow,-10.818,40.605,24.441,-45.539,-31.807,13.349,-49.741,32.154,55.145,-15.159,23.168,-95.674,-21.44,64.852,106.348
stock-based-compensation,,,,,,,,,,,,,,,
